Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2944x3712
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2944x3712
Scaled Tile Size: 64x64
Total Mask: 63.97%, Total Tissue: 36.03%
Tiles: 46x58 = 2668
   657 (24.63%) tiles >=80% tissue
   655 (24.55%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
156,4,18,26.25,MEDIUM,1088,192,1152,256,64,64,   1,1.00,0.20,0.0141
157,4,19,61.96,MEDIUM,1152,192,1216,256,64,64,   0,1.00,0.20,0.0000
158,4,20,63.43,MEDIUM,1216,192,1280,256,64,64,   2,1.00,0.20,0.1123
159,4,21,50.88,MEDIUM,1280,192,1344,256,64,64,   2,1.00,0.20,0.0659
163,4,25,22.92,MEDIUM,1536,192,1600,256,64,64,   1,1.00,0.20,0.0111
167,4,29,36.25,MEDIUM,1792,192,1856,256,64,64,   5,1.00,0.20,0.0825
168,4,30,63.43,MEDIUM,1856,192,1920,256,64,64,   8,1.00,0.20,0.2832
170,4,32,20.04,MEDIUM,1984,192,2048,256,64,64,   0,1.00,0.20,0.0000
171,4,33,36.21,MEDIUM,2048,192,2112,256,64,64,   1,1.00,0.20,0.0131
193,5,9,21.24,MEDIUM,512,256,576,320,64,64,   0,1.00,0.20,0.0000
194,5,10,30.86,MEDIUM,576,256,640,320,64,64,   0,1.00,0.20,0.0000
195,5,11,17.26,MEDIUM,640,256,704,320,64,64,   1,1.00,0.20,0.0031
196,5,12,44.14,MEDIUM,704,256,768,320,64,64,   0,1.00,0.20,0.0000
197,5,13,38.75,MEDIUM,768,256,832,320,64,64,   0,1.00,0.20,0.0000
200,5,16,43.02,MEDIUM,960,256,1024,320,64,64,   0,1.00,0.20,0.0000
201,5,17,56.98,MEDIUM,1024,256,1088,320,64,64,   0,1.00,0.20,0.0083
202,5,18,79.86,MEDIUM,1088,256,1152,320,64,64,   1,1.00,0.20,0.0993
203,5,19,66.77,MEDIUM,1152,256,1216,320,64,64,   0,1.00,0.20,0.0193
204,5,20,66.80,MEDIUM,1216,256,1280,320,64,64,  12,1.00,0.20,0.3516
205,5,21,79.39,MEDIUM,1280,256,1344,320,64,64,   5,1.00,0.20,0.3183
206,5,22,58.03,MEDIUM,1344,256,1408,320,64,64,  50,1.00,0.20,0.4465
207,5,23,49.80,MEDIUM,1408,256,1472,320,64,64,   0,1.00,0.20,0.0000
208,5,24,57.59,MEDIUM,1472,256,1536,320,64,64,   4,1.00,0.20,0.1723
209,5,25,63.48,MEDIUM,1536,256,1600,320,64,64,   0,1.00,0.20,0.0103
210,5,26,47.61,MEDIUM,1600,256,1664,320,64,64,   5,1.00,0.20,0.1299
211,5,27,71.19,MEDIUM,1664,256,1728,320,64,64,   0,1.00,0.20,0.0211
212,5,28,80.71,HIGH,1728,256,1792,320,64,64,   2,1.00,1.00,0.4331
213,5,29,42.36,MEDIUM,1792,256,1856,320,64,64,   4,1.00,0.20,0.0935
214,5,30,57.42,MEDIUM,1856,256,1920,320,64,64,   3,1.00,0.20,0.1319
215,5,31,78.88,MEDIUM,1920,256,1984,320,64,64,   2,1.00,0.20,0.1843
216,5,32,50.83,MEDIUM,1984,256,2048,320,64,64,   0,1.00,0.20,0.0034
217,5,33,62.40,MEDIUM,2048,256,2112,320,64,64,   1,1.00,0.20,0.0534
218,5,34,23.24,MEDIUM,2112,256,2176,320,64,64,   3,1.00,0.20,0.0247
236,6,6,21.58,MEDIUM,320,320,384,384,64,64,   0,1.00,0.20,0.0034
237,6,7,58.30,MEDIUM,384,320,448,384,64,64,  12,1.00,0.20,0.2966
238,6,8,63.82,MEDIUM,448,320,512,384,64,64,  43,1.00,0.20,0.4802
239,6,9,92.11,HIGH,512,320,576,384,64,64,  57,1.00,1.00,0.7748
240,6,10,72.44,MEDIUM,576,320,640,384,64,64,   2,1.00,0.20,0.1280
241,6,11,68.29,MEDIUM,640,320,704,384,64,64,   0,1.00,0.20,0.0358
242,6,12,69.97,MEDIUM,704,320,768,384,64,64,   1,1.00,0.20,0.0969
243,6,13,59.01,MEDIUM,768,320,832,384,64,64,   1,1.00,0.20,0.0582
244,6,14,62.26,MEDIUM,832,320,896,384,64,64,   1,1.00,0.20,0.0629
245,6,15,44.85,MEDIUM,896,320,960,384,64,64,   9,1.00,0.20,0.1676
246,6,16,71.12,MEDIUM,960,320,1024,384,64,64,   2,1.00,0.20,0.1469
247,6,17,65.97,MEDIUM,1024,320,1088,384,64,64,  32,1.00,0.20,0.4649
248,6,18,73.07,MEDIUM,1088,320,1152,384,64,64,   3,1.00,0.20,0.1830
249,6,19,89.16,HIGH,1152,320,1216,384,64,64,  58,1.00,1.00,0.7644
250,6,20,68.77,MEDIUM,1216,320,1280,384,64,64,   3,1.00,0.20,0.1703
