Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1664x1536
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 1664x1536
Scaled Tile Size: 64x64
Total Mask: 81.86%, Total Tissue: 18.14%
Tiles: 26x24 = 624
    54 ( 8.65%) tiles >=80% tissue
   124 (19.87%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
41,2,15,42.33,MEDIUM,896,64,960,128,64,64,   2,1.00,0.20,0.0463
42,2,16,51.39,MEDIUM,960,64,1024,128,64,64,  49,1.00,0.20,0.3857
62,3,10,17.82,MEDIUM,576,128,640,192,64,64,   4,1.00,0.20,0.0171
63,3,11,37.33,MEDIUM,640,128,704,192,64,64,   4,1.00,0.20,0.0787
64,3,12,49.68,MEDIUM,704,128,768,192,64,64,   3,1.00,0.20,0.1047
65,3,13,72.07,MEDIUM,768,128,832,192,64,64,   3,1.00,0.20,0.1913
66,3,14,96.29,HIGH,832,128,896,192,64,64,   9,1.00,1.00,0.6768
67,3,15,65.16,MEDIUM,896,128,960,192,64,64,  37,1.00,0.20,0.4753
68,3,16,19.82,MEDIUM,960,128,1024,192,64,64,  14,1.00,0.20,0.0501
87,4,9,58.89,MEDIUM,512,192,576,256,64,64,   3,1.00,0.20,0.1454
88,4,10,93.99,HIGH,576,192,640,256,64,64,   5,1.00,1.00,0.6136
89,4,11,96.29,HIGH,640,192,704,256,64,64,   4,0.49,1.00,0.5109
90,4,12,94.17,HIGH,704,192,768,256,64,64,   3,1.00,1.00,0.5351
91,4,13,93.60,HIGH,768,192,832,256,64,64,   3,1.00,1.00,0.5334
92,4,14,87.38,HIGH,832,192,896,256,64,64,  12,1.00,1.00,0.6627
111,5,7,24.98,MEDIUM,384,256,448,320,64,64,   3,1.00,0.20,0.0275
112,5,8,74.56,MEDIUM,448,256,512,320,64,64,   6,1.00,0.20,0.2946
113,5,9,97.97,HIGH,512,256,576,320,64,64,   8,0.49,1.00,0.5970
114,5,10,91.28,HIGH,576,256,640,320,64,64,   3,1.00,1.00,0.5395
115,5,11,83.54,HIGH,640,256,704,320,64,64,   1,1.00,1.00,0.3491
116,5,12,74.46,MEDIUM,704,256,768,320,64,64,   1,1.00,0.20,0.1068
117,5,13,78.71,MEDIUM,768,256,832,320,64,64,   0,1.00,0.20,0.0281
118,5,14,75.32,MEDIUM,832,256,896,320,64,64,   2,1.00,0.20,0.1406
136,6,6,72.85,MEDIUM,320,320,384,384,64,64,   3,1.00,0.20,0.2161
137,6,7,96.34,HIGH,384,320,448,384,64,64,   5,1.00,1.00,0.6221
138,6,8,91.36,HIGH,448,320,512,384,64,64,   3,1.00,1.00,0.5307
139,6,9,87.99,HIGH,512,320,576,384,64,64,   2,1.00,1.00,0.4721
140,6,10,79.57,MEDIUM,576,320,640,384,64,64,   0,1.00,0.20,0.0516
141,6,11,70.19,MEDIUM,640,320,704,384,64,64,   0,1.00,0.20,0.0041
142,6,12,56.05,MEDIUM,704,320,768,384,64,64,   0,1.00,0.20,0.0025
143,6,13,48.56,MEDIUM,768,320,832,384,64,64,   0,1.00,0.20,0.0020
161,7,5,85.23,HIGH,256,384,320,448,64,64,   9,1.00,1.00,0.6287
162,7,6,97.31,HIGH,320,384,384,448,64,64,  16,0.49,1.00,0.6725
163,7,7,84.42,HIGH,384,384,448,448,64,64,   5,1.00,1.00,0.5700
164,7,8,86.79,HIGH,448,384,512,448,64,64,   5,1.00,1.00,0.5705
165,7,9,73.78,MEDIUM,512,384,576,448,64,64,   0,1.00,0.20,0.0286
166,7,10,66.02,MEDIUM,576,384,640,448,64,64,   0,1.00,0.20,0.0036
167,7,11,64.75,MEDIUM,640,384,704,448,64,64,   0,1.00,0.20,0.0033
168,7,12,45.46,MEDIUM,704,384,768,448,64,64,   0,1.00,0.20,0.0014
169,7,13,16.72,MEDIUM,768,384,832,448,64,64,   0,1.00,0.20,0.0002
186,8,4,59.77,MEDIUM,192,448,256,512,64,64,   5,1.00,0.20,0.2093
187,8,5,98.34,HIGH,256,448,320,512,64,64,   5,0.49,1.00,0.5395
188,8,6,86.89,HIGH,320,448,384,512,64,64,   2,1.00,1.00,0.4722
189,8,7,89.87,HIGH,384,448,448,512,64,64,   5,1.00,1.00,0.6013
190,8,8,76.12,MEDIUM,448,448,512,512,64,64,   3,1.00,0.20,0.2148
191,8,9,38.84,MEDIUM,512,448,576,512,64,64,   2,1.00,0.20,0.0511
192,8,10,39.62,MEDIUM,576,448,640,512,64,64,   5,1.00,0.20,0.1013
193,8,11,45.17,MEDIUM,640,448,704,512,64,64,   0,1.00,0.20,0.0112
194,8,12,36.82,MEDIUM,704,448,768,512,64,64,   1,1.00,0.20,0.0160
211,9,3,18.95,MEDIUM,128,512,192,576,64,64,   2,1.00,0.20,0.0141
212,9,4,94.82,HIGH,192,512,256,576,64,64,   3,1.00,1.00,0.5664
213,9,5,77.95,MEDIUM,256,512,320,576,64,64,   3,1.00,0.20,0.2099
214,9,6,70.36,MEDIUM,320,512,384,576,64,64,   1,1.00,0.20,0.0680
215,9,7,75.63,MEDIUM,384,512,448,576,64,64,   0,1.00,0.20,0.0042
