Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3472x1368
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 3472x1368
Scaled Tile Size: 64x64
Total Mask: 65.48%, Total Tissue: 34.52%
Tiles: 55x22 = 1210
   243 (20.08%) tiles >=80% tissue
   346 (28.60%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
78,2,23,34.40,MEDIUM,1408,64,1472,128,64,64,  12,1.00,0.20,0.1256
79,2,24,38.01,MEDIUM,1472,64,1536,128,64,64,  11,1.00,0.20,0.1412
80,2,25,32.89,MEDIUM,1536,64,1600,128,64,64,  10,1.00,0.20,0.1033
119,3,9,68.82,MEDIUM,512,128,576,192,64,64,  14,1.00,0.20,0.3833
120,3,10,99.44,HIGH,576,128,640,192,64,64,  95,1.00,1.00,0.8186
121,3,11,93.58,HIGH,640,128,704,192,64,64,  84,1.00,1.00,0.7955
122,3,12,85.13,HIGH,704,128,768,192,64,64,  26,1.00,1.00,0.7054
123,3,13,86.16,HIGH,768,128,832,192,64,64,  85,1.00,1.00,0.7680
124,3,14,95.48,HIGH,832,128,896,192,64,64, 105,1.00,1.00,0.8096
125,3,15,93.33,HIGH,896,128,960,192,64,64,  43,1.00,1.00,0.7675
126,3,16,87.87,HIGH,960,128,1024,192,64,64,  17,1.00,1.00,0.6920
127,3,17,51.00,MEDIUM,1024,128,1088,192,64,64,  18,1.00,0.20,0.2840
128,3,18,40.50,MEDIUM,1088,128,1152,192,64,64,  27,1.00,0.20,0.2322
129,3,19,23.00,MEDIUM,1152,128,1216,192,64,64,  55,1.00,0.20,0.1160
131,3,21,32.84,MEDIUM,1280,128,1344,192,64,64,  47,1.00,0.20,0.2014
132,3,22,90.99,HIGH,1344,128,1408,192,64,64,  18,1.00,1.00,0.7096
133,3,23,99.63,HIGH,1408,128,1472,192,64,64,  41,1.00,1.00,0.7882
134,3,24,99.73,HIGH,1472,128,1536,192,64,64,  55,1.00,1.00,0.7999
135,3,25,99.66,HIGH,1536,128,1600,192,64,64,  20,1.00,1.00,0.7505
136,3,26,93.07,HIGH,1600,128,1664,192,64,64,  21,1.00,1.00,0.7275
137,3,27,62.94,MEDIUM,1664,128,1728,192,64,64,  20,1.00,0.20,0.3896
