Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3948x2618
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 3948x2618
Scaled Tile Size: 64x64
Total Mask: 82.53%, Total Tissue: 17.47%
Tiles: 62x41 = 2542
   321 (12.63%) tiles >=80% tissue
   288 (11.33%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
229,4,43,21.53,MEDIUM,2688,192,2752,256,64,64,4323,1.00,0.20,0.2387
230,4,44,21.73,MEDIUM,2752,192,2816,256,64,64, 822,1.00,0.20,0.1943
290,5,42,30.71,MEDIUM,2624,256,2688,320,64,64,3419,1.00,0.20,0.3811
291,5,43,87.06,HIGH,2688,256,2752,320,64,64,2984,1.00,1.00,0.8585
292,5,44,61.21,MEDIUM,2752,256,2816,320,64,64,1142,1.00,0.20,0.6706
293,5,45,71.51,MEDIUM,2816,256,2880,320,64,64,1211,1.00,0.20,0.7375
294,5,46,72.56,MEDIUM,2880,256,2944,320,64,64,2032,1.00,0.20,0.7598
295,5,47,82.86,HIGH,2944,256,3008,320,64,64,5059,1.00,1.00,0.8541
296,5,48,65.97,MEDIUM,3008,256,3072,320,64,64,7864,1.00,0.20,0.7621
297,5,49,40.82,MEDIUM,3072,256,3136,320,64,64,2934,1.00,0.20,0.5152
351,6,41,20.29,MEDIUM,2560,320,2624,384,64,64,4754,1.00,0.20,0.2201
352,6,42,82.79,HIGH,2624,320,2688,384,64,64,2235,1.00,1.00,0.8409
353,6,43,70.51,MEDIUM,2688,320,2752,384,64,64,1785,1.00,0.20,0.7451
354,6,44,67.16,MEDIUM,2752,320,2816,384,64,64, 556,1.00,0.20,0.6804
355,6,45,90.11,HIGH,2816,320,2880,384,64,64,7154,0.49,1.00,0.8689
356,6,46,97.19,HIGH,2880,320,2944,384,64,64,20196,0.49,1.00,0.8968
357,6,47,96.75,HIGH,2944,320,3008,384,64,64,16882,0.49,1.00,0.8941
358,6,48,97.95,HIGH,3008,320,3072,384,64,64,25481,0.49,1.00,0.9005
359,6,49,98.10,HIGH,3072,320,3136,384,64,64,18262,0.49,1.00,0.8975
360,6,50,62.06,MEDIUM,3136,320,3200,384,64,64,4601,1.00,0.20,0.7244
413,7,41,77.27,MEDIUM,2560,384,2624,448,64,64,3961,1.00,0.20,0.7994
414,7,42,89.87,HIGH,2624,384,2688,448,64,64,1173,1.00,1.00,0.8509
415,7,43,96.73,HIGH,2688,384,2752,448,64,64, 931,0.49,1.00,0.8514
416,7,44,92.43,HIGH,2752,384,2816,448,64,64,5367,0.49,1.00,0.8706
417,7,45,95.68,HIGH,2816,384,2880,448,64,64,5296,0.49,1.00,0.8780
418,7,46,98.71,HIGH,2880,384,2944,448,64,64,7333,0.49,1.00,0.8886
419,7,47,97.71,HIGH,2944,384,3008,448,64,64,19951,0.16,1.00,0.8851
420,7,48,99.49,HIGH,3008,384,3072,448,64,64,34376,0.16,1.00,0.8950
421,7,49,98.88,HIGH,3072,384,3136,448,64,64,19507,0.16,1.00,0.8872
422,7,50,99.37,HIGH,3136,384,3200,448,64,64,31392,0.49,1.00,0.9049
423,7,51,60.06,MEDIUM,3200,384,3264,448,64,64,7261,1.00,0.20,0.7243
425,7,53,53.81,MEDIUM,3328,384,3392,448,64,64,4980,1.00,0.20,0.6666
474,8,40,32.18,MEDIUM,2496,448,2560,512,64,64,2384,1.00,0.20,0.3898
475,8,41,74.44,MEDIUM,2560,448,2624,512,64,64,1787,1.00,0.20,0.7652
476,8,42,81.81,HIGH,2624,448,2688,512,64,64,1871,1.00,1.00,0.8345
477,8,43,97.80,HIGH,2688,448,2752,512,64,64,4945,0.49,1.00,0.8817
478,8,44,97.29,HIGH,2752,448,2816,512,64,64,6635,0.49,1.00,0.8845
479,8,45,98.27,HIGH,2816,448,2880,512,64,64,3882,0.49,1.00,0.8794
480,8,46,97.71,HIGH,2880,448,2944,512,64,64,3041,0.49,1.00,0.8746
481,8,47,97.49,HIGH,2944,448,3008,512,64,64,9649,0.49,1.00,0.8894
482,8,48,97.73,HIGH,3008,448,3072,512,64,64,18764,0.16,1.00,0.8844
483,8,49,98.90,HIGH,3072,448,3136,512,64,64,19320,0.16,1.00,0.8871
484,8,50,98.83,HIGH,3136,448,3200,512,64,64,22995,0.49,1.00,0.9011
