Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 5017x2208
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 5017x2208
Scaled Tile Size: 64x64
Total Mask: 97.97%, Total Tissue: 2.03%
Tiles: 79x35 = 2765
     1 ( 0.04%) tiles >=80% tissue
   156 ( 5.64%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
606,8,53,15.77,MEDIUM,3328,448,3392,512,64,64,6508,1.00,0.20,0.1514
624,8,71,19.56,MEDIUM,4480,448,4544,512,64,64,7218,1.00,0.20,0.2177
625,8,72,29.22,MEDIUM,4544,448,4608,512,64,64,3145,1.00,0.20,0.3550
640,9,8,15.58,MEDIUM,448,512,512,576,64,64,2089,0.49,0.20,0.1144
641,9,9,32.89,MEDIUM,512,512,576,576,64,64,5426,1.00,0.20,0.4305
646,9,14,18.38,MEDIUM,832,512,896,576,64,64,3394,1.00,0.20,0.1806
658,9,26,16.94,MEDIUM,1600,512,1664,576,64,64,22424,0.49,0.20,0.1809
659,9,27,13.82,MEDIUM,1664,512,1728,576,64,64,5237,0.49,0.20,0.1065
684,9,52,17.70,MEDIUM,3264,512,3328,576,64,64,5011,0.49,0.20,0.1626
685,9,53,46.90,MEDIUM,3328,512,3392,576,64,64,1776,1.00,0.20,0.5638
686,9,54,12.92,MEDIUM,3392,512,3456,576,64,64,3830,0.49,0.20,0.0900
688,9,56,17.02,MEDIUM,3520,512,3584,576,64,64, 406,1.00,0.20,0.1132
691,9,59,20.46,MEDIUM,3712,512,3776,576,64,64,2502,1.00,0.20,0.2065
697,9,65,22.05,MEDIUM,4096,512,4160,576,64,64,  47,1.00,0.20,0.1021
701,9,69,14.79,MEDIUM,4352,512,4416,576,64,64,1260,1.00,0.20,0.1080
720,10,9,41.31,MEDIUM,512,576,576,640,64,64,3409,1.00,0.20,0.5269
723,10,12,27.29,MEDIUM,704,576,768,640,64,64, 323,1.00,0.20,0.2377
724,10,13,37.26,MEDIUM,768,576,832,640,64,64,1073,1.00,0.20,0.4272
734,10,23,14.97,MEDIUM,1408,576,1472,640,64,64,4137,0.49,0.20,0.1186
764,10,53,43.31,MEDIUM,3328,576,3392,640,64,64,3339,1.00,0.20,0.5496
765,10,54,49.02,MEDIUM,3392,576,3456,640,64,64,2303,1.00,0.20,0.5959
768,10,57,46.78,MEDIUM,3584,576,3648,640,64,64, 174,1.00,0.20,0.4390
769,10,58,52.10,MEDIUM,3648,576,3712,640,64,64, 744,1.00,0.20,0.5762
779,10,68,24.71,MEDIUM,4288,576,4352,640,64,64,4138,1.00,0.20,0.2909
780,10,69,62.67,MEDIUM,4352,576,4416,640,64,64,2401,1.00,0.20,0.7081
783,10,72,27.76,MEDIUM,4544,576,4608,640,64,64,3061,1.00,0.20,0.3309
799,11,9,50.66,MEDIUM,512,640,576,704,64,64,6729,1.00,0.20,0.6490
