Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 6480x3240
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 6480x3240
Scaled Tile Size: 64x64
Total Mask: 97.07%, Total Tissue: 2.93%
Tiles: 102x51 = 5202
    94 ( 1.81%) tiles >=80% tissue
   140 ( 2.69%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
786,8,72,21.29,MEDIUM,4544,448,4608,512,64,64,  10,1.00,0.20,0.0468
787,8,73,47.63,MEDIUM,4608,448,4672,512,64,64,   9,1.00,0.20,0.1849
788,8,74,64.38,MEDIUM,4672,448,4736,512,64,64,  29,1.00,0.20,0.4410
789,8,75,63.06,MEDIUM,4736,448,4800,512,64,64,  30,1.00,0.20,0.4362
790,8,76,75.93,MEDIUM,4800,448,4864,512,64,64,  32,1.00,0.20,0.5345
791,8,77,54.74,MEDIUM,4864,448,4928,512,64,64,  11,1.00,0.20,0.2593
792,8,78,28.49,MEDIUM,4928,448,4992,512,64,64,  13,1.00,0.20,0.0943
810,8,96,59.06,MEDIUM,6080,448,6144,512,64,64,   6,1.00,0.20,0.2214
845,9,29,13.11,MEDIUM,1792,512,1856,576,64,64, 166,1.00,0.20,0.0572
846,9,30,30.98,MEDIUM,1856,512,1920,576,64,64,  50,1.00,0.20,0.1867
847,9,31,54.13,MEDIUM,1920,512,1984,576,64,64,  44,1.00,0.20,0.4017
848,9,32,62.45,MEDIUM,1984,512,2048,576,64,64,  47,1.00,0.20,0.4782
849,9,33,61.21,MEDIUM,2048,512,2112,576,64,64,  55,1.00,0.20,0.4817
850,9,34,52.91,MEDIUM,2112,512,2176,576,64,64,  54,1.00,0.20,0.4086
851,9,35,22.73,MEDIUM,2176,512,2240,576,64,64,  88,1.00,0.20,0.1311
