Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2464x2704
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2464x2704
Scaled Tile Size: 64x64
Total Mask: 83.16%, Total Tissue: 16.84%
Tiles: 39x43 = 1677
    86 ( 5.13%) tiles >=80% tissue
   370 (22.06%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
85,3,7,29.49,MEDIUM,384,128,448,192,64,64,   1,1.00,0.20,0.0179
87,3,9,53.81,MEDIUM,512,128,576,192,64,64,   7,1.00,0.20,0.2095
162,5,6,36.74,MEDIUM,320,256,384,320,64,64,   1,1.00,0.20,0.0153
174,5,18,27.69,MEDIUM,1088,256,1152,320,64,64,  11,1.00,0.20,0.0809
175,5,19,27.95,MEDIUM,1152,256,1216,320,64,64,  14,1.00,0.20,0.0938
176,5,20,30.10,MEDIUM,1216,256,1280,320,64,64,   9,1.00,0.20,0.0831
200,6,5,39.94,MEDIUM,256,320,320,384,64,64,   1,1.00,0.20,0.0400
201,6,6,69.48,MEDIUM,320,320,384,384,64,64,   1,1.00,0.20,0.0789
202,6,7,58.50,MEDIUM,384,320,448,384,64,64,   4,1.00,0.20,0.1654
212,6,17,23.66,MEDIUM,1024,320,1088,384,64,64,   1,1.00,0.20,0.0066
213,6,18,57.79,MEDIUM,1088,320,1152,384,64,64,   2,1.00,0.20,0.0880
214,6,19,36.28,MEDIUM,1152,320,1216,384,64,64,   2,1.00,0.20,0.0477
215,6,20,50.73,MEDIUM,1216,320,1280,384,64,64,   1,1.00,0.20,0.0620
216,6,21,76.20,MEDIUM,1280,320,1344,384,64,64,   2,1.00,0.20,0.1488
217,6,22,49.10,MEDIUM,1344,320,1408,384,64,64,   5,1.00,0.20,0.1504
238,7,4,55.83,MEDIUM,192,384,256,448,64,64,   8,1.00,0.20,0.2308
239,7,5,74.02,MEDIUM,256,384,320,448,64,64,  11,1.00,0.20,0.3947
240,7,6,44.07,MEDIUM,320,384,384,448,64,64,   3,1.00,0.20,0.0914
241,7,7,65.38,MEDIUM,384,384,448,448,64,64,   1,1.00,0.20,0.0683
242,7,8,41.33,MEDIUM,448,384,512,448,64,64,   3,1.00,0.20,0.0745
251,7,17,30.81,MEDIUM,1024,384,1088,448,64,64,   2,1.00,0.20,0.0362
252,7,18,65.77,MEDIUM,1088,384,1152,448,64,64,  11,1.00,0.20,0.3375
253,7,19,44.73,MEDIUM,1152,384,1216,448,64,64,  12,1.00,0.20,0.1989
254,7,20,54.32,MEDIUM,1216,384,1280,448,64,64,   4,1.00,0.20,0.1360
255,7,21,80.08,HIGH,1280,384,1344,448,64,64,   1,1.00,1.00,0.2707
256,7,22,71.41,MEDIUM,1344,384,1408,448,64,64,   3,1.00,0.20,0.1919
257,7,23,27.69,MEDIUM,1408,384,1472,448,64,64,   8,1.00,0.20,0.0702
277,8,4,37.96,MEDIUM,192,448,256,512,64,64,   1,1.00,0.20,0.0290
278,8,5,54.98,MEDIUM,256,448,320,512,64,64,   4,1.00,0.20,0.1394
279,8,6,40.92,MEDIUM,320,448,384,512,64,64,   3,1.00,0.20,0.0701
280,8,7,75.68,MEDIUM,384,448,448,512,64,64,   1,1.00,0.20,0.0898
281,8,8,66.19,MEDIUM,448,448,512,512,64,64,   1,1.00,0.20,0.0615
282,8,9,52.59,MEDIUM,512,448,576,512,64,64,   1,1.00,0.20,0.0588
291,8,18,35.84,MEDIUM,1088,448,1152,512,64,64,   1,1.00,0.20,0.0200
