Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1568x2184
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 1568x2184
Scaled Tile Size: 64x64
Total Mask: 62.83%, Total Tissue: 37.17%
Tiles: 25x35 = 875
   286 (32.69%) tiles >=80% tissue
    99 (11.31%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
91,4,16,27.71,MEDIUM,960,192,1024,256,64,64,   1,1.00,0.20,0.0120
92,4,17,22.39,MEDIUM,1024,192,1088,256,64,64,   2,1.00,0.20,0.0189
112,5,12,16.58,MEDIUM,704,256,768,320,64,64, 137,1.00,0.20,0.0843
113,5,13,76.03,MEDIUM,768,256,832,320,64,64,  18,1.00,0.20,0.4657
114,5,14,84.45,HIGH,832,256,896,320,64,64,  17,1.00,1.00,0.6754
116,5,16,62.26,MEDIUM,960,256,1024,320,64,64,   5,1.00,0.20,0.2153
117,5,17,66.50,MEDIUM,1024,256,1088,320,64,64,   5,1.00,0.20,0.2444
118,5,18,67.53,MEDIUM,1088,256,1152,320,64,64,   1,1.00,0.20,0.0771
119,5,19,31.69,MEDIUM,1152,256,1216,320,64,64,   2,1.00,0.20,0.0285
136,6,11,43.09,MEDIUM,640,320,704,384,64,64, 259,1.00,0.20,0.4241
137,6,12,90.43,HIGH,704,320,768,384,64,64,  32,1.00,1.00,0.7407
138,6,13,95.04,HIGH,768,320,832,384,64,64,   9,0.49,1.00,0.6024
139,6,14,92.50,HIGH,832,320,896,384,64,64,   8,1.00,1.00,0.6495
140,6,15,77.83,MEDIUM,896,320,960,384,64,64,   0,1.00,0.20,0.0000
141,6,16,70.53,MEDIUM,960,320,1024,384,64,64,   0,1.00,0.20,0.0370
142,6,17,75.02,MEDIUM,1024,320,1088,384,64,64,   0,1.00,0.20,0.0183
143,6,18,78.15,MEDIUM,1088,320,1152,384,64,64,   0,1.00,0.20,0.0147
144,6,19,73.71,MEDIUM,1152,320,1216,384,64,64,   0,1.00,0.20,0.0103
145,6,20,57.67,MEDIUM,1216,320,1280,384,64,64,   2,1.00,0.20,0.1014
160,7,10,59.91,MEDIUM,576,384,640,448,64,64, 147,1.00,0.20,0.5508
161,7,11,98.80,HIGH,640,384,704,448,64,64,  40,0.49,1.00,0.7473
162,7,12,94.58,HIGH,704,384,768,448,64,64,   3,0.49,1.00,0.4304
163,7,13,92.29,HIGH,768,384,832,448,64,64,   0,1.00,1.00,0.1497
164,7,14,93.46,HIGH,832,384,896,448,64,64,   6,1.00,1.00,0.6277
165,7,15,87.65,HIGH,896,384,960,448,64,64,   1,1.00,1.00,0.3722
166,7,16,87.74,HIGH,960,384,1024,448,64,64,   0,1.00,1.00,0.1262
167,7,17,85.23,HIGH,1024,384,1088,448,64,64,   0,1.00,1.00,0.1830
168,7,18,86.45,HIGH,1088,384,1152,448,64,64,   2,1.00,1.00,0.4073
169,7,19,81.67,HIGH,1152,384,1216,448,64,64,   0,1.00,1.00,0.2050
170,7,20,77.00,MEDIUM,1216,384,1280,448,64,64,   1,1.00,0.20,0.0774
171,7,21,19.58,MEDIUM,1280,384,1344,448,64,64,   5,1.00,0.20,0.0263
184,8,9,40.50,MEDIUM,512,448,576,512,64,64, 126,1.00,0.20,0.3490
185,8,10,98.88,HIGH,576,448,640,512,64,64,  27,1.00,1.00,0.7655
186,8,11,95.02,HIGH,640,448,704,512,64,64,   4,1.00,1.00,0.5907
187,8,12,94.58,HIGH,704,448,768,512,64,64,   3,1.00,1.00,0.5733
188,8,13,91.16,HIGH,768,448,832,512,64,64,   3,1.00,1.00,0.5487
