Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 5280x3240
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 5280x3240
Scaled Tile Size: 64x64
Total Mask: 93.91%, Total Tissue: 6.09%
Tiles: 83x51 = 4233
   165 ( 3.90%) tiles >=80% tissue
   176 ( 4.16%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
483,6,68,23.39,MEDIUM,4288,320,4352,384,64,64,   8,1.00,0.20,0.0482
484,6,69,23.19,MEDIUM,4352,320,4416,384,64,64,   5,1.00,0.20,0.0377
485,6,70,31.54,MEDIUM,4416,320,4480,384,64,64,   6,1.00,0.20,0.0731
564,7,66,31.74,MEDIUM,4160,384,4224,448,64,64,   8,1.00,0.20,0.0888
565,7,67,58.42,MEDIUM,4224,384,4288,448,64,64,  44,1.00,0.20,0.4381
566,7,68,82.81,HIGH,4288,384,4352,448,64,64,   3,1.00,1.00,0.4695
567,7,69,87.55,HIGH,4352,384,4416,448,64,64,   1,1.00,1.00,0.3382
568,7,70,95.21,HIGH,4416,384,4480,448,64,64,   1,1.00,1.00,0.2982
569,7,71,71.48,MEDIUM,4480,384,4544,448,64,64,  24,1.00,0.20,0.4748
570,7,72,58.45,MEDIUM,4544,384,4608,448,64,64,  20,1.00,0.20,0.3553
571,7,73,31.47,MEDIUM,4608,384,4672,448,64,64,   5,1.00,0.20,0.0607
572,7,74,51.29,MEDIUM,4672,384,4736,448,64,64,   5,1.00,0.20,0.1619
573,7,75,51.76,MEDIUM,4736,384,4800,448,64,64,   2,1.00,0.20,0.0914
647,8,66,72.85,MEDIUM,4160,448,4224,512,64,64,  42,1.00,0.20,0.5441
648,8,67,67.48,MEDIUM,4224,448,4288,512,64,64,  15,1.00,0.20,0.3896
649,8,68,78.17,MEDIUM,4288,448,4352,512,64,64,  12,1.00,0.20,0.4259
