Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3808x2520
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 3808x2520
Scaled Tile Size: 64x64
Total Mask: 89.43%, Total Tissue: 10.57%
Tiles: 60x40 = 2400
   148 ( 6.17%) tiles >=80% tissue
   250 (10.42%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
36,1,36,57.40,MEDIUM,2240,0,2304,64,64,64,4037,1.00,0.20,0.6880
37,1,37,17.11,MEDIUM,2304,0,2368,64,64,64,2367,0.49,0.20,0.1377
94,2,34,24.71,MEDIUM,2112,64,2176,128,64,64,1569,1.00,0.20,0.2599
95,2,35,27.27,MEDIUM,2176,64,2240,128,64,64,4960,1.00,0.20,0.3391
96,2,36,87.57,HIGH,2240,64,2304,128,64,64,1961,0.49,1.00,0.8405
97,2,37,82.93,HIGH,2304,64,2368,128,64,64,2854,1.00,1.00,0.8455
98,2,38,26.29,MEDIUM,2368,64,2432,128,64,64,6133,1.00,0.20,0.3297
154,3,34,41.04,MEDIUM,2112,128,2176,192,64,64,1619,1.00,0.20,0.4934
155,3,35,78.39,MEDIUM,2176,128,2240,192,64,64,4597,1.00,0.20,0.8075
156,3,36,97.78,HIGH,2240,128,2304,192,64,64,3590,1.00,1.00,0.8867
157,3,37,94.48,HIGH,2304,128,2368,192,64,64,3388,0.49,1.00,0.8688
158,3,38,82.71,HIGH,2368,128,2432,192,64,64, 975,1.00,1.00,0.8248
159,3,39,16.53,MEDIUM,2432,128,2496,192,64,64, 183,0.49,0.20,0.0743
213,4,33,50.39,MEDIUM,2048,192,2112,256,64,64,2357,1.00,0.20,0.6099
214,4,34,91.60,HIGH,2112,192,2176,256,64,64,1802,1.00,1.00,0.8628
215,4,35,99.22,HIGH,2176,192,2240,256,64,64,5029,0.49,1.00,0.8849
216,4,36,98.02,HIGH,2240,192,2304,256,64,64,5971,0.49,1.00,0.8846
217,4,37,84.72,HIGH,2304,192,2368,256,64,64,1292,1.00,1.00,0.8372
218,4,38,62.67,MEDIUM,2368,192,2432,256,64,64, 336,1.00,0.20,0.6239
270,5,30,19.38,MEDIUM,1856,256,1920,320,64,64,4602,1.00,0.20,0.2041
271,5,31,41.43,MEDIUM,1920,256,1984,320,64,64,3406,1.00,0.20,0.5283
272,5,32,68.82,MEDIUM,1984,256,2048,320,64,64,3510,1.00,0.20,0.7564
273,5,33,94.73,HIGH,2048,256,2112,320,64,64,2581,1.00,1.00,0.8758
274,5,34,99.22,HIGH,2112,256,2176,320,64,64,7157,0.49,1.00,0.8893
275,5,35,94.09,HIGH,2176,256,2240,320,64,64,2751,0.49,1.00,0.8645
276,5,36,87.11,HIGH,2240,256,2304,320,64,64, 804,0.49,1.00,0.8194
277,5,37,48.56,MEDIUM,2304,256,2368,320,64,64, 212,1.00,0.20,0.4708
329,6,29,22.73,MEDIUM,1792,320,1856,384,64,64,3194,1.00,0.20,0.2503
330,6,30,54.71,MEDIUM,1856,320,1920,384,64,64,2465,1.00,0.20,0.6499
331,6,31,83.33,HIGH,1920,320,1984,384,64,64,2679,1.00,1.00,0.8457
332,6,32,98.41,HIGH,1984,320,2048,384,64,64,2585,1.00,1.00,0.8839
333,6,33,96.83,HIGH,2048,320,2112,384,64,64,2965,1.00,1.00,0.8823
334,6,34,91.36,HIGH,2112,320,2176,384,64,64,2484,0.49,1.00,0.8557
335,6,35,75.61,MEDIUM,2176,320,2240,384,64,64, 455,1.00,0.20,0.7211
336,6,36,62.70,MEDIUM,2240,320,2304,384,64,64, 239,1.00,0.20,0.6044
337,6,37,15.82,MEDIUM,2304,320,2368,384,64,64, 227,0.49,0.20,0.0730
387,7,27,38.84,MEDIUM,1664,384,1728,448,64,64,1504,1.00,0.20,0.4628
388,7,28,60.91,MEDIUM,1728,384,1792,448,64,64,2342,1.00,0.20,0.6953
389,7,29,95.68,HIGH,1792,384,1856,448,64,64,1877,1.00,1.00,0.8734
390,7,30,97.66,HIGH,1856,384,1920,448,64,64,2870,0.49,1.00,0.8736
391,7,31,95.09,HIGH,1920,384,1984,448,64,64,3424,0.49,1.00,0.8704
392,7,32,93.29,HIGH,1984,384,2048,448,64,64,2434,1.00,1.00,0.8716
393,7,33,88.04,HIGH,2048,384,2112,448,64,64,1571,1.00,1.00,0.8508
394,7,34,77.88,MEDIUM,2112,384,2176,448,64,64, 332,1.00,0.20,0.7186
395,7,35,54.69,MEDIUM,2176,384,2240,448,64,64, 108,1.00,0.20,0.4828
396,7,36,24.63,MEDIUM,2240,384,2304,448,64,64, 445,0.49,0.20,0.1873
446,8,26,74.10,MEDIUM,1600,448,1664,512,64,64,1319,1.00,0.20,0.7539
447,8,27,95.61,HIGH,1664,448,1728,512,64,64,3055,0.49,1.00,0.8698
448,8,28,91.31,HIGH,1728,448,1792,512,64,64,3057,0.49,1.00,0.8591
449,8,29,85.72,HIGH,1792,448,1856,512,64,64,1511,0.49,1.00,0.8292
450,8,30,84.72,HIGH,1856,448,1920,512,64,64, 911,0.49,1.00,0.8141
451,8,31,72.49,MEDIUM,1920,448,1984,512,64,64, 345,0.49,0.20,0.6509
452,8,32,57.98,MEDIUM,1984,448,2048,512,64,64, 346,1.00,0.20,0.5883
453,8,33,55.00,MEDIUM,2048,448,2112,512,64,64, 164,1.00,0.20,0.5157
454,8,34,26.95,MEDIUM,2112,448,2176,512,64,64,  81,0.49,0.20,0.1374
504,9,24,60.18,MEDIUM,1472,512,1536,576,64,64,1507,1.00,0.20,0.6741
505,9,25,91.97,HIGH,1536,512,1600,576,64,64,1502,1.00,1.00,0.8609
506,9,26,93.85,HIGH,1600,512,1664,576,64,64,1839,0.49,1.00,0.8570
