Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 5552x11936
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 5552x11936
Scaled Tile Size: 64x64
Total Mask: 98.67%, Total Tissue: 1.33%
Tiles: 87x187 = 16269
    46 ( 0.28%) tiles >=80% tissue
   523 ( 3.21%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
1667,20,14,17.07,MEDIUM,832,1216,896,1280,64,64, 263,1.00,0.20,0.1039
1668,20,15,33.91,MEDIUM,896,1216,960,1280,64,64, 987,1.00,0.20,0.3782
1753,21,13,12.94,MEDIUM,768,1280,832,1344,64,64,36649,1.00,0.20,0.1297
1754,21,14,51.49,MEDIUM,832,1280,896,1344,64,64,2828,1.00,0.20,0.6270
1755,21,15,42.24,MEDIUM,896,1280,960,1344,64,64, 364,1.00,0.20,0.4342
1840,22,13,22.41,MEDIUM,768,1344,832,1408,64,64,18644,1.00,0.20,0.2923
1841,22,14,68.21,MEDIUM,832,1344,896,1408,64,64,6070,1.00,0.20,0.7677
1842,22,15,21.92,MEDIUM,896,1344,960,1408,64,64,11220,1.00,0.20,0.2705
1847,22,20,19.70,MEDIUM,1216,1344,1280,1408,64,64,1686,1.00,0.20,0.1844
1925,23,11,40.38,MEDIUM,640,1408,704,1472,64,64,1654,1.00,0.20,0.4863
1926,23,12,63.43,MEDIUM,704,1408,768,1472,64,64,1752,1.00,0.20,0.7022
1927,23,13,66.85,MEDIUM,768,1408,832,1472,64,64,3361,1.00,0.20,0.7442
1928,23,14,82.37,HIGH,832,1408,896,1472,64,64,2115,1.00,1.00,0.8386
1929,23,15,53.98,MEDIUM,896,1408,960,1472,64,64,2710,1.00,0.20,0.6472
1930,23,16,37.11,MEDIUM,960,1408,1024,1472,64,64,1433,1.00,0.20,0.4381
1931,23,17,41.19,MEDIUM,1024,1408,1088,1472,64,64,1408,1.00,0.20,0.4891
1932,23,18,63.04,MEDIUM,1088,1408,1152,1472,64,64, 278,1.00,0.20,0.6160
1933,23,19,46.51,MEDIUM,1152,1408,1216,1472,64,64,  85,1.00,0.20,0.3845
1934,23,20,48.29,MEDIUM,1216,1408,1280,1472,64,64, 650,1.00,0.20,0.5320
1935,23,21,43.16,MEDIUM,1280,1408,1344,1472,64,64, 208,1.00,0.20,0.4113
1938,23,24,46.22,MEDIUM,1472,1408,1536,1472,64,64,  11,1.00,0.20,0.1949
1939,23,25,70.07,MEDIUM,1536,1408,1600,1472,64,64,  44,1.00,0.20,0.5290
2012,24,11,53.98,MEDIUM,640,1472,704,1536,64,64,5991,1.00,0.20,0.6738
2013,24,12,98.36,HIGH,704,1472,768,1536,64,64,3841,1.00,1.00,0.8887
2014,24,13,79.20,MEDIUM,768,1472,832,1536,64,64,1396,1.00,0.20,0.7795
