Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2304x3552
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2304x3552
Scaled Tile Size: 64x64
Total Mask: 92.88%, Total Tissue: 7.12%
Tiles: 36x56 = 2016
    57 ( 2.83%) tiles >=80% tissue
   205 (10.17%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
53,2,17,30.86,MEDIUM,1024,64,1088,128,64,64,   3,1.00,0.20,0.0470
54,2,18,36.08,MEDIUM,1088,64,1152,128,64,64,   4,1.00,0.20,0.0722
88,3,16,36.91,MEDIUM,960,128,1024,192,64,64,   3,1.00,0.20,0.0669
89,3,17,22.22,MEDIUM,1024,128,1088,192,64,64,   6,1.00,0.20,0.0392
123,4,15,18.14,MEDIUM,896,192,960,256,64,64,   4,1.00,0.20,0.0198
124,4,16,31.40,MEDIUM,960,192,1024,256,64,64,   3,1.00,0.20,0.0485
159,5,15,53.17,MEDIUM,896,256,960,320,64,64,  10,1.00,0.20,0.2380
195,6,15,40.41,MEDIUM,896,320,960,384,64,64,   5,1.00,0.20,0.1076
230,7,14,15.77,MEDIUM,832,384,896,448,64,64,   5,1.00,0.20,0.0167
231,7,15,37.67,MEDIUM,896,384,960,448,64,64,   5,1.00,0.20,0.0948
267,8,15,43.92,MEDIUM,896,448,960,512,64,64,   8,1.00,0.20,0.1559
303,9,15,51.03,MEDIUM,896,512,960,576,64,64,   7,1.00,0.20,0.1878
339,10,15,35.28,MEDIUM,896,576,960,640,64,64,  11,1.00,0.20,0.1246
342,10,18,13.92,MEDIUM,1088,576,1152,640,64,64,   4,0.49,0.20,0.0059
375,11,15,19.65,MEDIUM,896,640,960,704,64,64,  11,1.00,0.20,0.0437
376,11,16,48.12,MEDIUM,960,640,1024,704,64,64,   4,1.00,0.20,0.1254
377,11,17,29.49,MEDIUM,1024,640,1088,704,64,64,  90,1.00,0.20,0.2040
379,11,19,13.18,MEDIUM,1152,640,1216,704,64,64,   6,0.49,0.20,0.0081
412,12,16,70.97,MEDIUM,960,704,1024,768,64,64,  62,1.00,0.20,0.5670
413,12,17,58.45,MEDIUM,1024,704,1088,768,64,64, 199,1.00,0.20,0.5588
414,12,18,17.90,MEDIUM,1088,704,1152,768,64,64,  56,0.49,0.20,0.0566
448,13,16,49.83,MEDIUM,960,768,1024,832,64,64,   6,1.00,0.20,0.1648
484,14,16,19.17,MEDIUM,960,832,1024,896,64,64,  18,1.00,0.20,0.0524
485,14,17,52.61,MEDIUM,1024,832,1088,896,64,64,   4,1.00,0.20,0.1308
521,15,17,53.71,MEDIUM,1024,896,1088,960,64,64,  12,1.00,0.20,0.2609
522,15,18,25.66,MEDIUM,1088,896,1152,960,64,64,   1,1.00,0.20,0.0134
523,15,19,24.51,MEDIUM,1152,896,1216,960,64,64,  10,1.00,0.20,0.0633
546,16,6,21.07,MEDIUM,320,960,384,1024,64,64,   1,1.00,0.20,0.0113
558,16,18,64.60,MEDIUM,1088,960,1152,1024,64,64,   5,1.00,0.20,0.2216
581,17,5,36.60,MEDIUM,256,1024,320,1088,64,64,   4,1.00,0.20,0.0679
582,17,6,21.48,MEDIUM,320,1024,384,1088,64,64,   7,0.49,0.20,0.0238
594,17,18,30.10,MEDIUM,1088,1024,1152,1088,64,64,  11,1.00,0.20,0.0955
595,17,19,27.05,MEDIUM,1152,1024,1216,1088,64,64,   4,1.00,0.20,0.0435
617,18,5,28.71,MEDIUM,256,1088,320,1152,64,64,  32,1.00,0.20,0.1415
618,18,6,69.92,MEDIUM,320,1088,384,1152,64,64,  35,1.00,0.20,0.5054
619,18,7,28.30,MEDIUM,384,1088,448,1152,64,64,  23,1.00,0.20,0.1216
620,18,8,25.68,MEDIUM,448,1088,512,1152,64,64,  42,1.00,0.20,0.1290
621,18,9,20.00,MEDIUM,512,1088,576,1152,64,64,  18,0.49,0.20,0.0386
635,18,23,24.17,MEDIUM,1408,1088,1472,1152,64,64,  19,1.00,0.20,0.0849
640,18,28,41.48,MEDIUM,1728,1088,1792,1152,64,64,   4,1.00,0.20,0.0856
641,18,29,58.18,MEDIUM,1792,1088,1856,1152,64,64,   3,1.00,0.20,0.1256
653,19,5,54.20,MEDIUM,256,1152,320,1216,64,64,   5,1.00,0.20,0.1716
