Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 5552x11408
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 5552x11408
Scaled Tile Size: 64x64
Total Mask: 98.16%, Total Tissue: 1.84%
Tiles: 87x179 = 15573
    10 ( 0.06%) tiles >=80% tissue
   792 ( 5.09%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
304,4,43,17.72,MEDIUM,2688,192,2752,256,64,64,   0,1.00,0.20,0.0000
390,5,42,34.64,MEDIUM,2624,256,2688,320,64,64, 168,1.00,0.20,0.2985
391,5,43,62.52,MEDIUM,2688,256,2752,320,64,64,   6,1.00,0.20,0.2258
412,5,64,16.89,MEDIUM,4032,256,4096,320,64,64,   0,1.00,0.20,0.0002
477,6,42,13.62,MEDIUM,2624,320,2688,384,64,64, 517,1.00,0.20,0.0794
478,6,43,13.04,MEDIUM,2688,320,2752,384,64,64, 267,0.49,0.20,0.0531
2044,24,43,21.97,MEDIUM,2688,1472,2752,1536,64,64,3199,1.00,0.20,0.2378
2190,26,15,35.45,MEDIUM,896,1600,960,1664,64,64,   2,1.00,0.20,0.0471
2191,26,16,31.10,MEDIUM,960,1600,1024,1664,64,64,   2,1.00,0.20,0.0318
2192,26,17,41.31,MEDIUM,1024,1600,1088,1664,64,64,   0,1.00,0.20,0.0128
2227,26,52,13.26,MEDIUM,3264,1600,3328,1664,64,64,   0,0.49,0.20,0.0000
2276,27,14,45.83,MEDIUM,832,1664,896,1728,64,64,   4,1.00,0.20,0.1062
2277,27,15,68.48,MEDIUM,896,1664,960,1728,64,64,   4,1.00,0.20,0.2148
2278,27,16,63.43,MEDIUM,960,1664,1024,1728,64,64,   2,1.00,0.20,0.0967
2279,27,17,54.15,MEDIUM,1024,1664,1088,1728,64,64,  23,1.00,0.20,0.3342
2280,27,18,47.95,MEDIUM,1088,1664,1152,1728,64,64,   2,1.00,0.20,0.0659
2308,27,46,66.99,MEDIUM,2880,1664,2944,1728,64,64,2552,1.00,0.20,0.7368
2309,27,47,34.38,MEDIUM,2944,1664,3008,1728,64,64,3182,1.00,0.20,0.4328
2363,28,14,89.11,HIGH,832,1728,896,1792,64,64,  11,1.00,1.00,0.6610
2364,28,15,64.36,MEDIUM,896,1728,960,1792,64,64,  11,1.00,0.20,0.3273
2365,28,16,69.04,MEDIUM,960,1728,1024,1792,64,64,   1,1.00,0.20,0.0675
2366,28,17,77.44,MEDIUM,1024,1728,1088,1792,64,64,   0,1.00,0.20,0.0346
2367,28,18,87.40,HIGH,1088,1728,1152,1792,64,64,   3,1.00,1.00,0.5284
2395,28,46,47.07,MEDIUM,2880,1728,2944,1792,64,64,6893,1.00,0.20,0.6156
2396,28,47,13.48,MEDIUM,2944,1728,3008,1792,64,64,3885,0.49,0.20,0.0974
2400,28,51,13.55,MEDIUM,3200,1728,3264,1792,64,64,   0,0.49,0.20,0.0008
2448,29,12,52.44,MEDIUM,704,1792,768,1856,64,64,  20,1.00,0.20,0.3060
2449,29,13,83.28,HIGH,768,1792,832,1856,64,64, 117,1.00,1.00,0.7680
2450,29,14,77.64,MEDIUM,832,1792,896,1856,64,64,  11,1.00,0.20,0.4069
2451,29,15,78.66,MEDIUM,896,1792,960,1856,64,64,   2,1.00,0.20,0.1829
2452,29,16,74.44,MEDIUM,960,1792,1024,1856,64,64,   1,1.00,0.20,0.1223
2453,29,17,82.30,HIGH,1024,1792,1088,1856,64,64,   8,1.00,1.00,0.6018
2454,29,18,85.67,HIGH,1088,1792,1152,1856,64,64,   4,1.00,1.00,0.5344
2487,29,51,15.94,MEDIUM,3200,1792,3264,1856,64,64,   1,0.49,0.20,0.0014
2535,30,12,47.24,MEDIUM,704,1856,768,1920,64,64,   4,1.00,0.20,0.1147
2536,30,13,68.16,MEDIUM,768,1856,832,1920,64,64,  94,1.00,0.20,0.5814
2537,30,14,70.21,MEDIUM,832,1856,896,1920,64,64, 162,1.00,0.20,0.6335
