Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 6480x3240
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 6480x3240
Scaled Tile Size: 64x64
Total Mask: 99.09%, Total Tissue: 0.91%
Tiles: 102x51 = 5202
    10 ( 0.19%) tiles >=80% tissue
    90 ( 1.73%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
1871,19,35,19.36,MEDIUM,2176,1152,2240,1216,64,64, 840,1.00,0.20,0.1613
1971,20,33,21.04,MEDIUM,2048,1216,2112,1280,64,64, 164,1.00,0.20,0.1349
2069,21,29,33.91,MEDIUM,1792,1280,1856,1344,64,64,  85,1.00,0.20,0.2498
2070,21,30,66.33,MEDIUM,1856,1280,1920,1344,64,64,  81,1.00,0.20,0.5555
2071,21,31,83.08,HIGH,1920,1280,1984,1344,64,64,  37,1.00,1.00,0.7157
2072,21,32,92.82,HIGH,1984,1280,2048,1344,64,64,  49,1.00,1.00,0.7716
2073,21,33,87.04,HIGH,2048,1280,2112,1344,64,64,  75,1.00,1.00,0.7665
2074,21,34,65.94,MEDIUM,2112,1280,2176,1344,64,64, 123,1.00,0.20,0.5849
2075,21,35,12.40,MEDIUM,2176,1280,2240,1344,64,64, 246,1.00,0.20,0.0568
2092,21,52,14.75,MEDIUM,3264,1280,3328,1344,64,64, 222,1.00,0.20,0.0766
2093,21,53,29.93,MEDIUM,3328,1280,3392,1344,64,64, 232,1.00,0.20,0.2570
2094,21,54,34.47,MEDIUM,3392,1280,3456,1344,64,64, 194,1.00,0.20,0.3046
2095,21,55,33.64,MEDIUM,3456,1280,3520,1344,64,64, 229,1.00,0.20,0.3033
2096,21,56,27.71,MEDIUM,3520,1280,3584,1344,64,64, 226,1.00,0.20,0.2274
2171,22,29,72.39,MEDIUM,1792,1344,1856,1408,64,64,  50,1.00,0.20,0.5560
2172,22,30,92.19,HIGH,1856,1344,1920,1408,64,64,  33,1.00,1.00,0.7494
2173,22,31,74.02,MEDIUM,1920,1344,1984,1408,64,64,  75,1.00,0.20,0.6028
2174,22,32,92.41,HIGH,1984,1344,2048,1408,64,64,  63,1.00,1.00,0.7803
2175,22,33,77.95,MEDIUM,2048,1344,2112,1408,64,64,  67,1.00,0.20,0.6180
2176,22,34,37.16,MEDIUM,2112,1344,2176,1408,64,64,  73,1.00,0.20,0.2753
2177,22,35,15.28,MEDIUM,2176,1344,2240,1408,64,64, 253,1.00,0.20,0.0843
2194,22,52,65.70,MEDIUM,3264,1344,3328,1408,64,64, 155,1.00,0.20,0.5992
2195,22,53,81.91,HIGH,3328,1344,3392,1408,64,64, 169,1.00,1.00,0.7750
2196,22,54,73.14,MEDIUM,3392,1344,3456,1408,64,64, 101,1.00,0.20,0.6203
2197,22,55,57.20,MEDIUM,3456,1344,3520,1408,64,64, 100,1.00,0.20,0.4987
2198,22,56,25.05,MEDIUM,3520,1344,3584,1408,64,64, 170,1.00,0.20,0.1823
2199,22,57,32.01,MEDIUM,3584,1344,3648,1408,64,64, 268,1.00,0.20,0.2906
2255,23,11,33.37,MEDIUM,640,1408,704,1472,64,64,  80,1.00,0.20,0.2397
2256,23,12,30.20,MEDIUM,704,1408,768,1472,64,64, 159,1.00,0.20,0.2415
2274,23,30,55.49,MEDIUM,1856,1408,1920,1472,64,64,  36,1.00,0.20,0.3943
2275,23,31,67.77,MEDIUM,1920,1408,1984,1472,64,64,  36,1.00,0.20,0.4903
2276,23,32,76.32,MEDIUM,1984,1408,2048,1472,64,64,  74,1.00,0.20,0.6166
2277,23,33,57.62,MEDIUM,2048,1408,2112,1472,64,64,  53,1.00,0.20,0.4489
2278,23,34,78.69,MEDIUM,2112,1408,2176,1472,64,64,  17,1.00,0.20,0.4819
2297,23,53,27.34,MEDIUM,3328,1408,3392,1472,64,64,  65,1.00,0.20,0.1645
2299,23,55,36.57,MEDIUM,3456,1408,3520,1472,64,64,   8,1.00,0.20,0.1156
2300,23,56,14.75,MEDIUM,3520,1408,3584,1472,64,64,   4,1.00,0.20,0.0137
2302,23,58,15.36,MEDIUM,3648,1408,3712,1472,64,64, 403,1.00,0.20,0.0940
2354,24,8,42.97,MEDIUM,448,1472,512,1536,64,64,  62,1.00,0.20,0.3239
2355,24,9,71.02,MEDIUM,512,1472,576,1536,64,64,  25,1.00,0.20,0.4763
2356,24,10,83.67,HIGH,576,1472,640,1536,64,64,  30,1.00,1.00,0.7061
2357,24,11,30.35,MEDIUM,640,1472,704,1536,64,64,  39,1.00,0.20,0.1664
2358,24,12,12.08,MEDIUM,704,1472,768,1536,64,64,  35,1.00,0.20,0.0293
2359,24,13,17.53,MEDIUM,768,1472,832,1536,64,64, 263,1.00,0.20,0.1090
2377,24,31,39.97,MEDIUM,1920,1472,1984,1536,64,64, 137,1.00,0.20,0.3481
2378,24,32,59.62,MEDIUM,1984,1472,2048,1536,64,64,  74,1.00,0.20,0.4955
2379,24,33,62.82,MEDIUM,2048,1472,2112,1536,64,64,  23,1.00,0.20,0.4043
2380,24,34,57.42,MEDIUM,2112,1472,2176,1536,64,64,   6,1.00,0.20,0.2013
2455,25,7,29.37,MEDIUM,384,1536,448,1600,64,64,  74,1.00,0.20,0.1925
