Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1792x4416
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 1792x4416
Scaled Tile Size: 64x64
Total Mask: 83.71%, Total Tissue: 16.29%
Tiles: 28x69 = 1932
   176 ( 9.11%) tiles >=80% tissue
   309 (15.99%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
97,4,13,37.33,MEDIUM,768,192,832,256,64,64,  46,1.00,0.20,0.2452
98,4,14,30.42,MEDIUM,832,192,896,256,64,64,  92,1.00,0.20,0.2150
100,4,16,28.25,MEDIUM,960,192,1024,256,64,64,  57,1.00,0.20,0.1670
103,4,19,55.62,MEDIUM,1152,192,1216,256,64,64,  72,1.00,0.20,0.4585
104,4,20,95.17,HIGH,1216,192,1280,256,64,64,  46,1.00,1.00,0.7775
105,4,21,57.71,MEDIUM,1280,192,1344,256,64,64,   9,1.00,0.20,0.2525
123,5,11,23.97,MEDIUM,640,256,704,320,64,64,  53,1.00,0.20,0.1231
124,5,12,87.35,HIGH,704,256,768,320,64,64,  42,1.00,1.00,0.7415
125,5,13,95.78,HIGH,768,256,832,320,64,64,   3,1.00,1.00,0.5583
126,5,14,81.49,HIGH,832,256,896,320,64,64,  46,1.00,1.00,0.7186
127,5,15,62.48,MEDIUM,896,256,960,320,64,64, 111,1.00,0.20,0.5513
128,5,16,16.65,MEDIUM,960,256,1024,320,64,64,  32,1.00,0.20,0.0525
130,5,18,37.89,MEDIUM,1088,256,1152,320,64,64,  65,1.00,0.20,0.2746
131,5,19,96.66,HIGH,1152,256,1216,320,64,64,  16,1.00,1.00,0.7256
132,5,20,87.01,HIGH,1216,256,1280,320,64,64,   9,1.00,1.00,0.6352
133,5,21,80.25,HIGH,1280,256,1344,320,64,64,   5,1.00,1.00,0.5454
134,5,22,25.10,MEDIUM,1344,256,1408,320,64,64,   7,1.00,0.20,0.0522
151,6,11,93.58,HIGH,640,320,704,384,64,64,  26,1.00,1.00,0.7436
152,6,12,95.65,HIGH,704,320,768,384,64,64,   5,0.49,1.00,0.5294
153,6,13,82.03,HIGH,768,320,832,384,64,64,   4,1.00,1.00,0.5184
154,6,14,43.82,MEDIUM,832,320,896,384,64,64, 147,1.00,0.20,0.3959
155,6,15,46.61,MEDIUM,896,320,960,384,64,64,  22,1.00,0.20,0.2659
158,6,18,86.65,HIGH,1088,320,1152,384,64,64,  40,1.00,1.00,0.7366
159,6,19,68.80,MEDIUM,1152,320,1216,384,64,64,   8,1.00,0.20,0.3103
160,6,20,64.18,MEDIUM,1216,320,1280,384,64,64,   0,1.00,0.20,0.0000
161,6,21,78.32,MEDIUM,1280,320,1344,384,64,64,   1,1.00,0.20,0.1385
162,6,22,25.56,MEDIUM,1344,320,1408,384,64,64,  33,1.00,0.20,0.1170
178,7,10,60.38,MEDIUM,576,384,640,448,64,64,  30,1.00,0.20,0.4134
179,7,11,96.90,HIGH,640,384,704,448,64,64,  13,1.00,1.00,0.7114
180,7,12,88.43,HIGH,704,384,768,448,64,64,   2,1.00,1.00,0.4366
181,7,13,85.64,HIGH,768,384,832,448,64,64,   0,1.00,1.00,0.0000
182,7,14,61.25,MEDIUM,832,384,896,448,64,64,   8,1.00,0.20,0.2564
183,7,15,40.41,MEDIUM,896,384,960,448,64,64,   1,1.00,0.20,0.0272
185,7,17,40.72,MEDIUM,1024,384,1088,448,64,64,  42,1.00,0.20,0.2709
186,7,18,94.48,HIGH,1088,384,1152,448,64,64,  19,1.00,1.00,0.7275
187,7,19,43.12,MEDIUM,1152,384,1216,448,64,64,  11,1.00,0.20,0.1803
188,7,20,54.30,MEDIUM,1216,384,1280,448,64,64,  31,1.00,0.20,0.3679
189,7,21,75.42,MEDIUM,1280,384,1344,448,64,64,   2,1.00,0.20,0.1787
190,7,22,20.00,MEDIUM,1344,384,1408,448,64,64,   0,1.00,0.20,0.0012
206,8,10,78.64,MEDIUM,576,448,640,512,64,64,  32,1.00,0.20,0.5525
207,8,11,96.66,HIGH,640,448,704,512,64,64,   0,0.49,1.00,0.1131
208,8,12,73.10,MEDIUM,704,448,768,512,64,64,   2,1.00,0.20,0.1569
209,8,13,81.74,HIGH,768,448,832,512,64,64,   7,1.00,1.00,0.5871
210,8,14,38.04,MEDIUM,832,448,896,512,64,64,   3,1.00,0.20,0.0564
213,8,17,81.25,HIGH,1024,448,1088,512,64,64,  76,1.00,1.00,0.7413
214,8,18,90.06,HIGH,1088,448,1152,512,64,64,  15,1.00,1.00,0.6931
