Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3904x7816
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 3904x7816
Scaled Tile Size: 64x64
Total Mask: 97.15%, Total Tissue: 2.85%
Tiles: 61x123 = 7503
    24 ( 0.32%) tiles >=80% tissue
   492 ( 6.56%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
66,2,5,13.45,MEDIUM,256,64,320,128,64,64,   0,1.00,0.20,0.0004
128,3,6,13.53,MEDIUM,320,128,384,192,64,64,   0,1.00,0.20,0.0002
205,4,22,27.12,MEDIUM,1344,192,1408,256,64,64,   0,1.00,0.20,0.0054
263,5,19,18.41,MEDIUM,1152,256,1216,320,64,64,   0,1.00,0.20,0.0009
444,8,17,15.77,MEDIUM,1024,448,1088,512,64,64,   0,1.00,0.20,0.0003
445,8,18,21.92,MEDIUM,1088,448,1152,512,64,64,   0,1.00,0.20,0.0005
446,8,19,20.00,MEDIUM,1152,448,1216,512,64,64,   1,1.00,0.20,0.0040
447,8,20,21.12,MEDIUM,1216,448,1280,512,64,64,   2,1.00,0.20,0.0119
448,8,21,18.68,MEDIUM,1280,448,1344,512,64,64,  20,1.00,0.20,0.0526
449,8,22,25.37,MEDIUM,1344,448,1408,512,64,64,   0,1.00,0.20,0.0008
769,13,37,16.94,MEDIUM,2304,768,2368,832,64,64,   0,1.00,0.20,0.0004
976,16,61,30.88,MEDIUM,3840,960,3904,1024,64,64,   0,1.00,0.20,0.0000
1127,19,29,13.18,MEDIUM,1792,1152,1856,1216,64,64,   0,1.00,0.20,0.0006
1178,20,19,42.07,MEDIUM,1152,1216,1216,1280,64,64,   0,1.00,0.20,0.0050
1179,20,20,55.69,MEDIUM,1216,1216,1280,1280,64,64,   0,1.00,0.20,0.0000
1180,20,21,35.57,MEDIUM,1280,1216,1344,1280,64,64,   0,1.00,0.20,0.0083
1181,20,22,17.36,MEDIUM,1344,1216,1408,1280,64,64,   0,1.00,0.20,0.0013
1186,20,27,16.65,MEDIUM,1664,1216,1728,1280,64,64,   0,1.00,0.20,0.0018
1187,20,28,15.80,MEDIUM,1728,1216,1792,1280,64,64,   0,1.00,0.20,0.0004
1193,20,34,13.79,MEDIUM,2112,1216,2176,1280,64,64,   0,1.00,0.20,0.0002
1194,20,35,22.29,MEDIUM,2176,1216,2240,1280,64,64,   0,1.00,0.20,0.0006
1197,20,38,16.48,MEDIUM,2368,1216,2432,1280,64,64,   1,1.00,0.20,0.0033
1201,20,42,13.62,MEDIUM,2624,1216,2688,1280,64,64,   0,1.00,0.20,0.0000
1203,20,44,14.14,MEDIUM,2752,1216,2816,1280,64,64,   1,1.00,0.20,0.0038
1206,20,47,14.48,MEDIUM,2944,1216,3008,1280,64,64,   0,1.00,0.20,0.0016
1237,21,17,35.91,MEDIUM,1024,1280,1088,1344,64,64,   2,1.00,0.20,0.0419
1238,21,18,54.57,MEDIUM,1088,1280,1152,1344,64,64,   0,1.00,0.20,0.0273
1239,21,19,73.24,MEDIUM,1152,1280,1216,1344,64,64,   1,1.00,0.20,0.0984
1240,21,20,71.97,MEDIUM,1216,1280,1280,1344,64,64,   2,1.00,0.20,0.1701
1241,21,21,57.69,MEDIUM,1280,1280,1344,1344,64,64,   2,1.00,0.20,0.0946
1242,21,22,62.38,MEDIUM,1344,1280,1408,1344,64,64,   3,1.00,0.20,0.1439
1243,21,23,81.20,HIGH,1408,1280,1472,1344,64,64,   1,1.00,1.00,0.2491
1244,21,24,25.02,MEDIUM,1472,1280,1536,1344,64,64,   0,1.00,0.20,0.0045
1245,21,25,27.34,MEDIUM,1536,1280,1600,1344,64,64,   1,1.00,0.20,0.0162
1246,21,26,21.07,MEDIUM,1600,1280,1664,1344,64,64,   1,1.00,0.20,0.0047
1247,21,27,32.35,MEDIUM,1664,1280,1728,1344,64,64,   0,1.00,0.20,0.0095
1266,21,46,15.67,MEDIUM,2880,1280,2944,1344,64,64,   0,1.00,0.20,0.0007
1296,22,15,15.28,MEDIUM,896,1344,960,1408,64,64,   0,1.00,0.20,0.0003
1297,22,16,54.03,MEDIUM,960,1344,1024,1408,64,64,   0,1.00,0.20,0.0094
1298,22,17,76.86,MEDIUM,1024,1344,1088,1408,64,64,   1,1.00,0.20,0.0819
1299,22,18,77.66,MEDIUM,1088,1344,1152,1408,64,64,   2,1.00,0.20,0.1576
1300,22,19,53.49,MEDIUM,1152,1344,1216,1408,64,64,   2,1.00,0.20,0.0898
1301,22,20,67.77,MEDIUM,1216,1344,1280,1408,64,64,   2,1.00,0.20,0.1155
1302,22,21,55.57,MEDIUM,1280,1344,1344,1408,64,64,   1,1.00,0.20,0.0487
1303,22,22,61.30,MEDIUM,1344,1344,1408,1408,64,64,   3,1.00,0.20,0.1427
1304,22,23,64.14,MEDIUM,1408,1344,1472,1408,64,64,   2,1.00,0.20,0.1419
1305,22,24,60.94,MEDIUM,1472,1344,1536,1408,64,64,   0,1.00,0.20,0.0293
1306,22,25,65.23,MEDIUM,1536,1344,1600,1408,64,64,   1,1.00,0.20,0.0773
1307,22,26,24.46,MEDIUM,1600,1344,1664,1408,64,64,   0,1.00,0.20,0.0008
1357,23,15,57.23,MEDIUM,896,1408,960,1472,64,64,   1,1.00,0.20,0.0532
1358,23,16,59.28,MEDIUM,960,1408,1024,1472,64,64,   2,1.00,0.20,0.0955
1359,23,17,60.94,MEDIUM,1024,1408,1088,1472,64,64,   2,1.00,0.20,0.1224
1360,23,18,68.19,MEDIUM,1088,1408,1152,1472,64,64,   3,1.00,0.20,0.1642
1361,23,19,74.05,MEDIUM,1152,1408,1216,1472,64,64,   3,1.00,0.20,0.1878
1362,23,20,74.15,MEDIUM,1216,1408,1280,1472,64,64,   2,1.00,0.20,0.1698
1363,23,21,59.40,MEDIUM,1280,1408,1344,1472,64,64,   2,1.00,0.20,0.0986
1364,23,22,62.16,MEDIUM,1344,1408,1408,1472,64,64,   2,1.00,0.20,0.1264
1365,23,23,52.98,MEDIUM,1408,1408,1472,1472,64,64,   3,1.00,0.20,0.1024
1366,23,24,64.62,MEDIUM,1472,1408,1536,1472,64,64,   1,1.00,0.20,0.0517
1367,23,25,65.41,MEDIUM,1536,1408,1600,1472,64,64,   1,1.00,0.20,0.0558
1368,23,26,35.35,MEDIUM,1600,1408,1664,1472,64,64,   1,1.00,0.20,0.0168
1416,24,13,31.03,MEDIUM,768,1472,832,1536,64,64,   0,1.00,0.20,0.0076
1417,24,14,66.65,MEDIUM,832,1472,896,1536,64,64,   1,1.00,0.20,0.0704
1418,24,15,71.66,MEDIUM,896,1472,960,1536,64,64,   2,1.00,0.20,0.1460
1419,24,16,76.51,MEDIUM,960,1472,1024,1536,64,64,   2,1.00,0.20,0.1918
1420,24,17,80.37,HIGH,1024,1472,1088,1536,64,64,   2,1.00,1.00,0.4435
1421,24,18,82.81,HIGH,1088,1472,1152,1536,64,64,   2,1.00,1.00,0.4330
1422,24,19,63.94,MEDIUM,1152,1472,1216,1536,64,64,   3,1.00,0.20,0.1539
