Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3968x2912
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 3968x2912
Scaled Tile Size: 64x64
Total Mask: 64.00%, Total Tissue: 36.00%
Tiles: 62x46 = 2852
   822 (28.82%) tiles >=80% tissue
   451 (15.81%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
60,1,60,25.00,MEDIUM,3776,0,3840,64,64,64,   0,0.49,0.20,0.0000
61,1,61,84.08,HIGH,3840,0,3904,64,64,64,   0,0.49,1.00,0.0000
108,2,46,16.58,MEDIUM,2880,64,2944,128,64,64,   3,1.00,0.20,0.0143
109,2,47,33.30,MEDIUM,2944,64,3008,128,64,64,  83,1.00,0.20,0.2411
110,2,48,49.15,MEDIUM,3008,64,3072,128,64,64,  54,1.00,0.20,0.3731
111,2,49,52.81,MEDIUM,3072,64,3136,128,64,64,   7,1.00,0.20,0.1911
112,2,50,57.57,MEDIUM,3136,64,3200,128,64,64,  41,1.00,0.20,0.4248
113,2,51,51.61,MEDIUM,3200,64,3264,128,64,64,  44,1.00,0.20,0.3781
114,2,52,37.55,MEDIUM,3264,64,3328,128,64,64,   1,1.00,0.20,0.0312
121,2,59,49.88,MEDIUM,3712,64,3776,128,64,64,   0,0.49,0.20,0.0000
122,2,60,37.82,MEDIUM,3776,64,3840,128,64,64,   0,0.49,0.20,0.0000
167,3,43,54.17,MEDIUM,2688,128,2752,192,64,64,  11,1.00,0.20,0.2512
168,3,44,61.25,MEDIUM,2752,128,2816,192,64,64,  48,1.00,0.20,0.4689
169,3,45,70.97,MEDIUM,2816,128,2880,192,64,64, 125,1.00,0.20,0.6214
170,3,46,89.01,HIGH,2880,128,2944,192,64,64, 124,1.00,1.00,0.7929
171,3,47,96.63,HIGH,2944,128,3008,192,64,64,  38,1.00,1.00,0.7733
172,3,48,97.44,HIGH,3008,128,3072,192,64,64,  23,1.00,1.00,0.7511
173,3,49,99.15,HIGH,3072,128,3136,192,64,64,  67,1.00,1.00,0.8059
174,3,50,93.68,HIGH,3136,128,3200,192,64,64, 109,1.00,1.00,0.8048
175,3,51,69.85,MEDIUM,3200,128,3264,192,64,64, 147,1.00,0.20,0.6250
176,3,52,35.77,MEDIUM,3264,128,3328,192,64,64,  26,1.00,0.20,0.1896
178,3,54,24.51,MEDIUM,3392,128,3456,192,64,64,   0,0.49,0.20,0.0000
179,3,55,27.95,MEDIUM,3456,128,3520,192,64,64,   0,0.49,0.20,0.0000
182,3,58,27.47,MEDIUM,3648,128,3712,192,64,64,  16,0.49,0.20,0.0673
183,3,59,57.50,MEDIUM,3712,128,3776,192,64,64,   0,0.49,0.20,0.0000
227,4,41,38.33,MEDIUM,2560,192,2624,256,64,64,   5,1.00,0.20,0.0912
228,4,42,80.93,HIGH,2624,192,2688,256,64,64,  18,1.00,1.00,0.6569
229,4,43,99.05,HIGH,2688,192,2752,256,64,64, 198,1.00,1.00,0.8386
230,4,44,98.93,HIGH,2752,192,2816,256,64,64, 205,1.00,1.00,0.8391
