Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2737x4058
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2737x4058
Scaled Tile Size: 64x64
Total Mask: 79.04%, Total Tissue: 20.96%
Tiles: 43x64 = 2752
   457 (16.61%) tiles >=80% tissue
   267 ( 9.70%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
51,2,8,37.82,MEDIUM,448,64,512,128,64,64,   0,1.00,0.20,0.0000
52,2,9,16.38,MEDIUM,512,64,576,128,64,64,   0,0.49,0.20,0.0000
76,2,33,29.54,MEDIUM,2048,64,2112,128,64,64,   0,1.00,0.20,0.0000
77,2,34,47.31,MEDIUM,2112,64,2176,128,64,64,   0,1.00,0.20,0.0000
78,2,35,49.56,MEDIUM,2176,64,2240,128,64,64,   0,1.00,0.20,0.0000
93,3,7,15.33,MEDIUM,384,128,448,192,64,64,   0,0.49,0.20,0.0000
94,3,8,18.99,MEDIUM,448,128,512,192,64,64,   0,0.49,0.20,0.0000
117,3,31,49.15,MEDIUM,1920,128,1984,192,64,64,   0,1.00,0.20,0.0000
118,3,32,97.83,HIGH,1984,128,2048,192,64,64,   0,0.49,1.00,0.0000
119,3,33,97.05,HIGH,2048,128,2112,192,64,64,   0,0.49,1.00,0.0000
120,3,34,98.12,HIGH,2112,128,2176,192,64,64,   1,0.49,1.00,0.2708
121,3,35,85.08,HIGH,2176,128,2240,192,64,64,   2,1.00,1.00,0.4503
122,3,36,65.55,MEDIUM,2240,128,2304,192,64,64,   0,1.00,0.20,0.0000
123,3,37,88.62,HIGH,2304,128,2368,192,64,64,   0,1.00,1.00,0.0000
124,3,38,92.46,HIGH,2368,128,2432,192,64,64,   0,0.49,1.00,0.0000
125,3,39,64.33,MEDIUM,2432,128,2496,192,64,64,   0,1.00,0.20,0.0000
126,3,40,14.40,MEDIUM,2496,128,2560,192,64,64,   0,0.49,0.20,0.0000
136,4,7,18.68,MEDIUM,384,192,448,256,64,64,   0,0.49,0.20,0.0000
159,4,30,20.61,MEDIUM,1856,192,1920,256,64,64,   0,1.00,0.20,0.0005
160,4,31,95.63,HIGH,1920,192,1984,256,64,64,   0,0.49,1.00,0.0000
161,4,32,88.43,HIGH,1984,192,2048,256,64,64,   0,1.00,1.00,0.0000
162,4,33,60.82,MEDIUM,2048,192,2112,256,64,64,   0,1.00,0.20,0.0094
163,4,34,74.51,MEDIUM,2112,192,2176,256,64,64,   3,1.00,0.20,0.1914
164,4,35,98.68,HIGH,2176,192,2240,256,64,64,   1,1.00,1.00,0.4563
165,4,36,80.13,HIGH,2240,192,2304,256,64,64,   0,1.00,1.00,0.1920
166,4,37,86.87,HIGH,2304,192,2368,256,64,64,  10,1.00,1.00,0.6438
167,4,38,89.72,HIGH,2368,192,2432,256,64,64,   4,1.00,1.00,0.5678
168,4,39,76.78,MEDIUM,2432,192,2496,256,64,64,   0,1.00,0.20,0.0087
169,4,40,26.42,MEDIUM,2496,192,2560,256,64,64, 567,1.00,0.20,0.2485
199,5,27,24.24,MEDIUM,1664,256,1728,320,64,64,   2,1.00,0.20,0.0196
200,5,28,28.74,MEDIUM,1728,256,1792,320,64,64,   0,1.00,0.20,0.0000
201,5,29,38.04,MEDIUM,1792,256,1856,320,64,64,   0,1.00,0.20,0.0000
203,5,31,21.68,MEDIUM,1920,256,1984,320,64,64,   0,1.00,0.20,0.0000
206,5,34,80.30,HIGH,2112,256,2176,320,64,64,   0,1.00,1.00,0.1909
207,5,35,98.68,HIGH,2176,256,2240,320,64,64,   0,0.49,1.00,0.1632
208,5,36,83.15,HIGH,2240,256,2304,320,64,64,   1,1.00,1.00,0.3278
209,5,37,94.48,HIGH,2304,256,2368,320,64,64,  10,1.00,1.00,0.6844
210,5,38,94.60,HIGH,2368,256,2432,320,64,64,   4,0.49,1.00,0.4833
211,5,39,98.63,HIGH,2432,256,2496,320,64,64, 265,0.49,1.00,0.8258
212,5,40,51.90,MEDIUM,2496,256,2560,320,64,64, 549,1.00,0.20,0.5591
241,6,26,27.51,MEDIUM,1600,320,1664,384,64,64,   0,1.00,0.20,0.0013
242,6,27,32.08,MEDIUM,1664,320,1728,384,64,64,   0,1.00,0.20,0.0000
243,6,28,71.02,MEDIUM,1728,320,1792,384,64,64,   7,1.00,0.20,0.3093
248,6,33,52.83,MEDIUM,2048,320,2112,384,64,64,   0,1.00,0.20,0.0000
249,6,34,94.51,HIGH,2112,320,2176,384,64,64,   0,1.00,1.00,0.0292
250,6,35,98.78,HIGH,2176,320,2240,384,64,64,   1,0.49,1.00,0.3460
251,6,36,96.83,HIGH,2240,320,2304,384,64,64,   1,1.00,1.00,0.2768
252,6,37,97.51,HIGH,2304,320,2368,384,64,64,   1,1.00,1.00,0.3491
253,6,38,98.80,HIGH,2368,320,2432,384,64,64,   2,0.49,1.00,0.3851
254,6,39,78.30,MEDIUM,2432,320,2496,384,64,64, 305,1.00,0.20,0.7166
286,7,28,76.59,MEDIUM,1728,384,1792,448,64,64,   0,1.00,0.20,0.0528
287,7,29,72.22,MEDIUM,1792,384,1856,448,64,64,   0,1.00,0.20,0.0035
288,7,30,83.01,HIGH,1856,384,1920,448,64,64,   1,1.00,1.00,0.2308
289,7,31,93.58,HIGH,1920,384,1984,448,64,64,   0,1.00,1.00,0.0000
290,7,32,65.16,MEDIUM,1984,384,2048,448,64,64,   2,1.00,0.20,0.1142
291,7,33,88.72,HIGH,2048,384,2112,448,64,64,   0,1.00,1.00,0.0044
