Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 5552x12712
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 5552x12712
Scaled Tile Size: 64x64
Total Mask: 97.27%, Total Tissue: 2.73%
Tiles: 87x199 = 17313
    26 ( 0.15%) tiles >=80% tissue
  1122 ( 6.48%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
1597,19,31,16.65,MEDIUM,1920,1152,1984,1216,64,64,  19,1.00,0.20,0.0418
1598,19,32,27.81,MEDIUM,1984,1152,2048,1216,64,64,   9,1.00,0.20,0.0732
1687,20,34,18.46,MEDIUM,2112,1216,2176,1280,64,64,   0,1.00,0.20,0.0000
2051,24,50,20.07,MEDIUM,3136,1472,3200,1536,64,64,   2,1.00,0.20,0.0140
2139,25,51,21.44,MEDIUM,3200,1536,3264,1600,64,64,   1,1.00,0.20,0.0074
2140,25,52,21.48,MEDIUM,3264,1536,3328,1600,64,64,   1,1.00,0.20,0.0110
3710,43,56,33.01,MEDIUM,3520,2688,3584,2752,64,64,3350,1.00,0.20,0.4149
3711,43,57,28.30,MEDIUM,3584,2688,3648,2752,64,64,1796,1.00,0.20,0.3203
3796,44,55,34.86,MEDIUM,3456,2752,3520,2816,64,64,3240,1.00,0.20,0.4404
3797,44,56,17.70,MEDIUM,3520,2752,3584,2816,64,64,2883,1.00,0.20,0.1661
3798,44,57,33.91,MEDIUM,3584,2752,3648,2816,64,64,2734,1.00,0.20,0.4203
3829,45,1,15.80,MEDIUM,0,2816,64,2880,64,64,   6,1.00,0.20,0.0187
3830,45,2,39.60,MEDIUM,64,2816,128,2880,64,64,  53,1.00,0.20,0.2773
3883,45,55,35.79,MEDIUM,3456,2816,3520,2880,64,64,1716,1.00,0.20,0.4280
3884,45,56,24.54,MEDIUM,3520,2816,3584,2880,64,64, 447,1.00,0.20,0.2134
3886,45,58,16.21,MEDIUM,3648,2816,3712,2880,64,64, 983,1.00,0.20,0.1220
3916,46,1,36.38,MEDIUM,0,2880,64,2944,64,64,   8,1.00,0.20,0.1124
3917,46,2,44.34,MEDIUM,64,2880,128,2944,64,64,  95,1.00,0.20,0.3708
3918,46,3,16.36,MEDIUM,128,2880,192,2944,64,64, 534,1.00,0.20,0.1113
3971,46,56,64.38,MEDIUM,3520,2880,3584,2944,64,64, 742,1.00,0.20,0.6748
3972,46,57,36.21,MEDIUM,3584,2880,3648,2944,64,64, 577,1.00,0.20,0.3841
4003,47,1,28.78,MEDIUM,0,2944,64,3008,64,64, 637,1.00,0.20,0.2869
4004,47,2,16.92,MEDIUM,64,2944,128,3008,64,64, 765,1.00,0.20,0.1260
4005,47,3,37.06,MEDIUM,128,2944,192,3008,64,64,1716,1.00,0.20,0.4451
4006,47,4,19.09,MEDIUM,192,2944,256,3008,64,64,1348,1.00,0.20,0.1695
4007,47,5,19.90,MEDIUM,256,2944,320,3008,64,64, 516,1.00,0.20,0.1554
4038,47,36,28.22,MEDIUM,2240,2944,2304,3008,64,64,  75,1.00,0.20,0.1807
4058,47,56,40.28,MEDIUM,3520,2944,3584,3008,64,64,1598,1.00,0.20,0.4836
4059,47,57,54.64,MEDIUM,3584,2944,3648,3008,64,64,1283,1.00,0.20,0.6237
4060,47,58,43.31,MEDIUM,3648,2944,3712,3008,64,64,1237,1.00,0.20,0.5085
4061,47,59,44.70,MEDIUM,3712,2944,3776,3008,64,64,2228,1.00,0.20,0.5494
4090,48,1,12.55,MEDIUM,0,3008,64,3072,64,64, 346,1.00,0.20,0.0627
4091,48,2,26.42,MEDIUM,64,3008,128,3072,64,64,2703,1.00,0.20,0.3052
4092,48,3,38.65,MEDIUM,128,3008,192,3072,64,64, 952,1.00,0.20,0.4397
4093,48,4,65.38,MEDIUM,192,3008,256,3072,64,64, 967,1.00,0.20,0.6926
4094,48,5,47.75,MEDIUM,256,3008,320,3072,64,64, 945,1.00,0.20,0.5447
4095,48,6,50.63,MEDIUM,320,3008,384,3072,64,64,1110,1.00,0.20,0.5810
4096,48,7,23.68,MEDIUM,384,3008,448,3072,64,64,1133,1.00,0.20,0.2333
4125,48,36,16.21,MEDIUM,2240,3008,2304,3072,64,64,  45,1.00,0.20,0.0571
4146,48,57,45.17,MEDIUM,3584,3008,3648,3072,64,64, 295,1.00,0.20,0.4550
4147,48,58,65.97,MEDIUM,3648,3008,3712,3072,64,64,1311,1.00,0.20,0.7080
4148,48,59,19.75,MEDIUM,3712,3008,3776,3072,64,64,2936,1.00,0.20,0.1992
4177,49,1,30.71,MEDIUM,0,3072,64,3136,64,64, 725,1.00,0.20,0.3198
4178,49,2,28.22,MEDIUM,64,3072,128,3136,64,64, 804,1.00,0.20,0.2884
4179,49,3,43.36,MEDIUM,128,3072,192,3136,64,64, 489,1.00,0.20,0.4634
4180,49,4,21.07,MEDIUM,192,3072,256,3136,64,64, 344,1.00,0.20,0.1585
4181,49,5,17.43,MEDIUM,256,3072,320,3136,64,64,1467,1.00,0.20,0.1473
4182,49,6,36.08,MEDIUM,320,3072,384,3136,64,64,1019,1.00,0.20,0.4093
4212,49,36,26.42,MEDIUM,2240,3072,2304,3136,64,64,  56,1.00,0.20,0.1488
4233,49,57,54.10,MEDIUM,3584,3072,3648,3136,64,64, 618,1.00,0.20,0.5854
4234,49,58,44.65,MEDIUM,3648,3072,3712,3136,64,64,  77,1.00,0.20,0.3576
4235,49,59,29.27,MEDIUM,3712,3072,3776,3136,64,64,  46,1.00,0.20,0.1657
4264,50,1,53.91,MEDIUM,0,3136,64,3200,64,64, 743,1.00,0.20,0.5927
4265,50,2,34.45,MEDIUM,64,3136,128,3200,64,64,1549,1.00,0.20,0.4051
4266,50,3,22.83,MEDIUM,128,3136,192,3200,64,64, 823,1.00,0.20,0.2103
4267,50,4,16.46,MEDIUM,192,3136,256,3200,64,64, 356,1.00,0.20,0.1038
4269,50,6,22.51,MEDIUM,320,3136,384,3200,64,64, 904,1.00,0.20,0.2086
4270,50,7,43.80,MEDIUM,384,3136,448,3200,64,64, 571,1.00,0.20,0.4766
4271,50,8,19.21,MEDIUM,448,3136,512,3200,64,64, 232,1.00,0.20,0.1247
4286,50,23,32.59,MEDIUM,1408,3136,1472,3200,64,64,1035,1.00,0.20,0.3619
4299,50,36,32.50,MEDIUM,2240,3136,2304,3200,64,64, 108,1.00,0.20,0.2475
4320,50,57,34.62,MEDIUM,3584,3136,3648,3200,64,64,1357,1.00,0.20,0.4019
4321,50,58,37.62,MEDIUM,3648,3136,3712,3200,64,64, 895,1.00,0.20,0.4236
4322,50,59,57.03,MEDIUM,3712,3136,3776,3200,64,64, 347,1.00,0.20,0.5804
4323,50,60,21.70,MEDIUM,3776,3136,3840,3200,64,64,  41,1.00,0.20,0.0946
4324,50,61,24.27,MEDIUM,3840,3136,3904,3200,64,64,1220,1.00,0.20,0.2447
4351,51,1,56.45,MEDIUM,0,3200,64,3264,64,64, 114,1.00,0.20,0.5021
4352,51,2,50.02,MEDIUM,64,3200,128,3264,64,64,  64,1.00,0.20,0.3968
4353,51,3,44.51,MEDIUM,128,3200,192,3264,64,64, 116,1.00,0.20,0.3871
4372,51,22,64.01,MEDIUM,1344,3200,1408,3264,64,64,2668,1.00,0.20,0.7202
4373,51,23,47.12,MEDIUM,1408,3200,1472,3264,64,64,1930,1.00,0.20,0.5695
4408,51,58,62.67,MEDIUM,3648,3200,3712,3264,64,64,1951,1.00,0.20,0.7010
4409,51,59,41.94,MEDIUM,3712,3200,3776,3264,64,64,2289,1.00,0.20,0.5188
4410,51,60,79.98,MEDIUM,3776,3200,3840,3264,64,64,2087,1.00,0.20,0.7943
4411,51,61,72.58,MEDIUM,3840,3200,3904,3264,64,64,2069,1.00,0.20,0.7605
4438,52,1,51.34,MEDIUM,0,3264,64,3328,64,64, 130,1.00,0.20,0.4649
4439,52,2,45.75,MEDIUM,64,3264,128,3328,64,64,  77,1.00,0.20,0.3696
4440,52,3,14.16,MEDIUM,128,3264,192,3328,64,64,  39,1.00,0.20,0.0418
4449,52,12,34.94,MEDIUM,704,3264,768,3328,64,64,   6,1.00,0.20,0.0919
4459,52,22,39.21,MEDIUM,1344,3264,1408,3328,64,64,1407,1.00,0.20,0.4645
4460,52,23,25.39,MEDIUM,1408,3264,1472,3328,64,64, 226,1.00,0.20,0.1982
4497,52,60,84.99,HIGH,3776,3264,3840,3328,64,64,2646,1.00,1.00,0.8506
4498,52,61,20.17,MEDIUM,3840,3264,3904,3328,64,64,4350,1.00,0.20,0.2159
4525,53,1,30.74,MEDIUM,0,3328,64,3392,64,64, 218,1.00,0.20,0.2641
4526,53,2,29.32,MEDIUM,64,3328,128,3392,64,64,  74,1.00,0.20,0.1916
4527,53,3,21.61,MEDIUM,128,3328,192,3392,64,64, 311,1.00,0.20,0.1621
4528,53,4,28.86,MEDIUM,192,3328,256,3392,64,64,1270,1.00,0.20,0.3157
4529,53,5,28.98,MEDIUM,256,3328,320,3392,64,64,1164,1.00,0.20,0.3142
4530,53,6,18.07,MEDIUM,320,3328,384,3392,64,64,1493,1.00,0.20,0.1569
4546,53,22,23.85,MEDIUM,1344,3328,1408,3392,64,64, 759,1.00,0.20,0.2225
4547,53,23,37.11,MEDIUM,1408,3328,1472,3392,64,64, 742,1.00,0.20,0.4081
4548,53,24,37.16,MEDIUM,1472,3328,1536,3392,64,64, 672,1.00,0.20,0.4040
4584,53,60,51.46,MEDIUM,3776,3328,3840,3392,64,64,1048,1.00,0.20,0.5863
4612,54,1,56.96,MEDIUM,0,3392,64,3456,64,64, 455,1.00,0.20,0.5947
4613,54,2,42.85,MEDIUM,64,3392,128,3456,64,64, 123,1.00,0.20,0.3729
4614,54,3,25.07,MEDIUM,128,3392,192,3456,64,64, 258,1.00,0.20,0.1995
4615,54,4,45.12,MEDIUM,192,3392,256,3456,64,64,1018,1.00,0.20,0.5199
4616,54,5,37.18,MEDIUM,256,3392,320,3456,64,64,1564,1.00,0.20,0.4428
4617,54,6,18.82,MEDIUM,320,3392,384,3456,64,64,1386,1.00,0.20,0.1663
4624,54,13,13.21,MEDIUM,768,3392,832,3456,64,64,   2,1.00,0.20,0.0051
