Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 5280x2448
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 5280x2448
Scaled Tile Size: 64x64
Total Mask: 95.22%, Total Tissue: 4.78%
Tiles: 83x39 = 3237
    96 ( 2.97%) tiles >=80% tissue
   122 ( 3.77%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
490,6,75,22.22,MEDIUM,4736,320,4800,384,64,64,   5,1.00,0.20,0.0329
568,7,70,24.17,MEDIUM,4416,384,4480,448,64,64,   6,1.00,0.20,0.0442
569,7,71,75.46,MEDIUM,4480,384,4544,448,64,64,   4,1.00,0.20,0.2448
570,7,72,54.37,MEDIUM,4544,384,4608,448,64,64,   8,1.00,0.20,0.2269
571,7,73,61.82,MEDIUM,4608,384,4672,448,64,64,   4,1.00,0.20,0.1739
572,7,74,95.70,HIGH,4672,384,4736,448,64,64,   4,1.00,1.00,0.5953
573,7,75,98.29,HIGH,4736,384,4800,448,64,64,   4,1.00,1.00,0.6054
574,7,76,92.80,HIGH,4800,384,4864,448,64,64,   3,1.00,1.00,0.5517
575,7,77,45.04,MEDIUM,4864,384,4928,448,64,64,  11,1.00,0.20,0.1871
651,8,70,93.65,HIGH,4416,448,4480,512,64,64,   6,1.00,1.00,0.6238
652,8,71,90.80,HIGH,4480,448,4544,512,64,64,   6,1.00,1.00,0.6187
653,8,72,87.30,HIGH,4544,448,4608,512,64,64,   2,1.00,1.00,0.4482
654,8,73,92.82,HIGH,4608,448,4672,512,64,64,   4,1.00,1.00,0.5861
655,8,74,94.80,HIGH,4672,448,4736,512,64,64,   4,1.00,1.00,0.5882
656,8,75,87.72,HIGH,4736,448,4800,512,64,64,   2,1.00,1.00,0.4805
657,8,76,71.12,MEDIUM,4800,448,4864,512,64,64,   5,1.00,0.20,0.2531
658,8,77,89.26,HIGH,4864,448,4928,512,64,64,  13,1.00,1.00,0.6758
659,8,78,58.52,MEDIUM,4928,448,4992,512,64,64,  26,1.00,0.20,0.3856
660,8,79,38.57,MEDIUM,4992,448,5056,512,64,64,  36,1.00,0.20,0.2384
733,9,69,76.44,MEDIUM,4352,512,4416,576,64,64,  11,1.00,0.20,0.4001
