Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3320x9591
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 3320x9591
Scaled Tile Size: 64x64
Total Mask: 95.16%, Total Tissue: 4.84%
Tiles: 52x150 = 7800
   245 ( 3.14%) tiles >=80% tissue
   277 ( 3.55%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
1475,29,19,24.49,MEDIUM,1152,1792,1216,1856,64,64, 808,1.00,0.20,0.2339
1476,29,20,48.05,MEDIUM,1216,1792,1280,1856,64,64,  33,1.00,0.20,0.3181
1477,29,21,18.04,MEDIUM,1280,1792,1344,1856,64,64, 104,1.00,0.20,0.0911
1525,30,17,50.81,MEDIUM,1024,1856,1088,1920,64,64, 570,1.00,0.20,0.5505
1526,30,18,85.21,HIGH,1088,1856,1152,1920,64,64, 285,1.00,1.00,0.8042
1527,30,19,98.22,HIGH,1152,1856,1216,1920,64,64,  45,1.00,1.00,0.7867
1528,30,20,94.73,HIGH,1216,1856,1280,1920,64,64,   8,1.00,1.00,0.6647
1529,30,21,96.83,HIGH,1280,1856,1344,1920,64,64,   3,1.00,1.00,0.5772
1530,30,22,50.34,MEDIUM,1344,1856,1408,1920,64,64,  12,1.00,0.20,0.2359
1576,31,16,45.53,MEDIUM,960,1920,1024,1984,64,64, 868,1.00,0.20,0.5170
1577,31,17,99.63,HIGH,1024,1920,1088,1984,64,64,  41,1.00,1.00,0.7872
1578,31,18,98.12,HIGH,1088,1920,1152,1984,64,64,  50,1.00,1.00,0.7906
1579,31,19,72.34,MEDIUM,1152,1920,1216,1984,64,64, 182,1.00,0.20,0.6545
1580,31,20,65.06,MEDIUM,1216,1920,1280,1984,64,64,1118,1.00,0.20,0.6962
1581,31,21,86.30,HIGH,1280,1920,1344,1984,64,64,   2,1.00,1.00,0.4408
1582,31,22,15.23,MEDIUM,1344,1920,1408,1984,64,64,  86,1.00,0.20,0.0630
1628,32,16,98.97,HIGH,960,1984,1024,2048,64,64, 168,1.00,1.00,0.8340
1629,32,17,98.29,HIGH,1024,1984,1088,2048,64,64,  24,1.00,1.00,0.7560
1630,32,18,97.17,HIGH,1088,1984,1152,2048,64,64,  41,1.00,1.00,0.7792
1631,32,19,63.89,MEDIUM,1152,1984,1216,2048,64,64,1980,1.00,0.20,0.7095
1632,32,20,73.78,MEDIUM,1216,1984,1280,2048,64,64, 209,1.00,0.20,0.6717
1633,32,21,51.10,MEDIUM,1280,1984,1344,2048,64,64, 254,1.00,0.20,0.5075
1679,33,15,25.27,MEDIUM,896,2048,960,2112,64,64,1175,1.00,0.20,0.2586
1680,33,16,99.41,HIGH,960,2048,1024,2112,64,64, 101,1.00,1.00,0.8205
1681,33,17,91.97,HIGH,1024,2048,1088,2112,64,64, 430,1.00,1.00,0.8369
1682,33,18,88.60,HIGH,1088,2048,1152,2112,64,64,  53,1.00,1.00,0.7576
1731,34,15,26.20,MEDIUM,896,2112,960,2176,64,64,2405,1.00,0.20,0.2977
1732,34,16,99.46,HIGH,960,2112,1024,2176,64,64,  89,1.00,1.00,0.8164
1733,34,17,73.07,MEDIUM,1024,2112,1088,2176,64,64, 357,1.00,0.20,0.6957
