Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 6120x3240
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 6120x3240
Scaled Tile Size: 64x64
Total Mask: 90.55%, Total Tissue: 9.45%
Tiles: 96x51 = 4896
   198 ( 4.04%) tiles >=80% tissue
   498 (10.17%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
1143,12,87,30.22,MEDIUM,5504,704,5568,768,64,64, 831,1.00,0.20,0.3186
1264,14,16,21.44,MEDIUM,960,832,1024,896,64,64,  24,1.00,0.20,0.0741
1265,14,17,18.90,MEDIUM,1024,832,1088,896,64,64,  23,1.00,0.20,0.0579
1354,15,10,14.31,MEDIUM,576,896,640,960,64,64,   4,1.00,0.20,0.0128
1355,15,11,24.29,MEDIUM,640,896,704,960,64,64,   6,1.00,0.20,0.0422
1357,15,13,15.11,MEDIUM,768,896,832,960,64,64,   4,1.00,0.20,0.0140
1358,15,14,21.88,MEDIUM,832,896,896,960,64,64,   1,1.00,0.20,0.0114
1359,15,15,50.83,MEDIUM,896,896,960,960,64,64,   5,1.00,0.20,0.1548
1360,15,16,31.84,MEDIUM,960,896,1024,960,64,64,  48,1.00,0.20,0.1935
1361,15,17,44.34,MEDIUM,1024,896,1088,960,64,64,   6,1.00,0.20,0.1341
1362,15,18,27.15,MEDIUM,1088,896,1152,960,64,64,   3,1.00,0.20,0.0372
1408,15,64,42.38,MEDIUM,4032,896,4096,960,64,64,  29,1.00,0.20,0.2547
1409,15,65,65.87,MEDIUM,4096,896,4160,960,64,64,  43,1.00,0.20,0.4960
1410,15,66,70.34,MEDIUM,4160,896,4224,960,64,64,   3,1.00,0.20,0.1706
1411,15,67,54.98,MEDIUM,4224,896,4288,960,64,64,  10,1.00,0.20,0.2468
1412,15,68,57.96,MEDIUM,4288,896,4352,960,64,64,   6,1.00,0.20,0.2082
1413,15,69,58.18,MEDIUM,4352,896,4416,960,64,64, 261,1.00,0.20,0.5736
1414,15,70,27.71,MEDIUM,4416,896,4480,960,64,64, 393,1.00,0.20,0.2515
1450,16,10,45.36,MEDIUM,576,960,640,1024,64,64,   3,1.00,0.20,0.0824
