Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 5552x12360
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 5552x12360
Scaled Tile Size: 64x64
Total Mask: 94.24%, Total Tissue: 5.76%
Tiles: 87x194 = 16878
   493 ( 2.92%) tiles >=80% tissue
  1069 ( 6.33%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
2968,35,10,39.65,MEDIUM,576,2176,640,2240,64,64, 156,1.00,0.20,0.3529
2969,35,11,32.40,MEDIUM,640,2176,704,2240,64,64, 201,1.00,0.20,0.2806
2980,35,22,15.26,MEDIUM,1344,2176,1408,2240,64,64, 775,1.00,0.20,0.1052
3054,36,9,40.38,MEDIUM,512,2240,576,2304,64,64,2223,1.00,0.20,0.4986
3055,36,10,84.74,HIGH,576,2240,640,2304,64,64,6785,1.00,1.00,0.8637
3056,36,11,85.30,HIGH,640,2240,704,2304,64,64,1970,1.00,1.00,0.8466
3066,36,21,42.90,MEDIUM,1280,2240,1344,2304,64,64,12220,1.00,0.20,0.5894
3067,36,22,59.20,MEDIUM,1344,2240,1408,2304,64,64,7783,1.00,0.20,0.7204
3068,36,23,19.02,MEDIUM,1408,2240,1472,2304,64,64,2903,1.00,0.20,0.1872
3069,36,24,17.41,MEDIUM,1472,2240,1536,2304,64,64, 341,1.00,0.20,0.1137
3140,37,8,57.40,MEDIUM,448,2304,512,2368,64,64,3075,1.00,0.20,0.6791
3141,37,9,83.64,HIGH,512,2304,576,2368,64,64,10255,1.00,1.00,0.8660
3142,37,10,91.92,HIGH,576,2304,640,2368,64,64,7952,1.00,1.00,0.8836
3143,37,11,65.38,MEDIUM,640,2304,704,2368,64,64,2356,1.00,0.20,0.7247
3144,37,12,16.19,MEDIUM,704,2304,768,2368,64,64,1004,1.00,0.20,0.1221
3153,37,21,85.33,HIGH,1280,2304,1344,2368,64,64,14514,1.00,1.00,0.8746
3154,37,22,54.32,MEDIUM,1344,2304,1408,2368,64,64,8049,1.00,0.20,0.6854
3227,38,8,39.94,MEDIUM,448,2368,512,2432,64,64,10830,1.00,0.20,0.5506
3228,38,9,94.19,HIGH,512,2368,576,2432,64,64,4793,1.00,1.00,0.8826
3229,38,10,79.44,MEDIUM,576,2368,640,2432,64,64,8964,1.00,0.20,0.8254
3230,38,11,24.22,MEDIUM,640,2368,704,2432,64,64,2391,1.00,0.20,0.2658
3231,38,12,17.50,MEDIUM,704,2368,768,2432,64,64, 464,1.00,0.20,0.1221
3240,38,21,43.80,MEDIUM,1280,2368,1344,2432,64,64,14543,1.00,0.20,0.6047
3241,38,22,83.23,HIGH,1344,2368,1408,2432,64,64,5515,1.00,1.00,0.8565
3245,38,26,23.00,MEDIUM,1600,2368,1664,2432,64,64, 714,1.00,0.20,0.2081
3246,38,27,25.22,MEDIUM,1664,2368,1728,2432,64,64, 654,1.00,0.20,0.2369
3247,38,28,53.56,MEDIUM,1728,2368,1792,2432,64,64,1560,1.00,0.20,0.6224
3312,39,6,28.03,MEDIUM,320,2432,384,2496,64,64,2021,1.00,0.20,0.3205
3314,39,8,76.78,MEDIUM,448,2432,512,2496,64,64,11981,1.00,0.20,0.8210
3315,39,9,96.78,HIGH,512,2432,576,2496,64,64,6795,1.00,1.00,0.8921
3316,39,10,70.56,MEDIUM,576,2432,640,2496,64,64,4355,1.00,0.20,0.7712
3317,39,11,51.71,MEDIUM,640,2432,704,2496,64,64,7640,1.00,0.20,0.6622
3327,39,21,73.24,MEDIUM,1280,2432,1344,2496,64,64,8862,1.00,0.20,0.8005
3328,39,22,57.06,MEDIUM,1344,2432,1408,2496,64,64,12150,1.00,0.20,0.7173
3334,39,28,30.30,MEDIUM,1728,2432,1792,2496,64,64, 324,1.00,0.20,0.2777
3398,40,5,46.19,MEDIUM,256,2496,320,2560,64,64,1847,1.00,0.20,0.5579
3399,40,6,90.36,HIGH,320,2496,384,2560,64,64,5443,1.00,1.00,0.8754
3400,40,7,89.23,HIGH,384,2496,448,2560,64,64,6980,1.00,1.00,0.8757
3401,40,8,78.69,MEDIUM,448,2496,512,2560,64,64,6290,1.00,0.20,0.8155
3402,40,9,83.57,HIGH,512,2496,576,2560,64,64,11674,1.00,1.00,0.8674
3403,40,10,68.14,MEDIUM,576,2496,640,2560,64,64,5899,1.00,0.20,0.7666
3404,40,11,82.67,HIGH,640,2496,704,2560,64,64,13263,1.00,1.00,0.8664
3413,40,20,81.67,HIGH,1216,2496,1280,2560,64,64,6932,1.00,1.00,0.8550
3414,40,21,94.97,HIGH,1280,2496,1344,2560,64,64,11582,1.00,1.00,0.8941
3415,40,22,92.75,HIGH,1344,2496,1408,2560,64,64,3949,1.00,1.00,0.8769
3417,40,24,13.11,MEDIUM,1472,2496,1536,2560,64,64, 676,1.00,0.20,0.0779
3485,41,5,42.53,MEDIUM,256,2560,320,2624,64,64,2458,1.00,0.20,0.5286
3486,41,6,70.29,MEDIUM,320,2560,384,2624,64,64,6738,1.00,0.20,0.7807
3487,41,7,93.09,HIGH,384,2560,448,2624,64,64,5316,1.00,1.00,0.8814
3488,41,8,76.17,MEDIUM,448,2560,512,2624,64,64,6404,1.00,0.20,0.8059
3489,41,9,83.28,HIGH,512,2560,576,2624,64,64,8189,1.00,1.00,0.8620
3490,41,10,85.96,HIGH,576,2560,640,2624,64,64,2426,1.00,1.00,0.8521
3491,41,11,72.36,MEDIUM,640,2560,704,2624,64,64,5139,1.00,0.20,0.7841
3500,41,20,19.43,MEDIUM,1216,2560,1280,2624,64,64,8117,1.00,0.20,0.2183
3501,41,21,74.02,MEDIUM,1280,2560,1344,2624,64,64,3956,1.00,0.20,0.7853
3502,41,22,73.51,MEDIUM,1344,2560,1408,2624,64,64,1571,1.00,0.20,0.7566
3504,41,24,53.03,MEDIUM,1472,2560,1536,2624,64,64,1733,1.00,0.20,0.6220
3505,41,25,14.45,MEDIUM,1536,2560,1600,2624,64,64,1987,1.00,0.20,0.1112
3568,42,1,22.68,MEDIUM,0,2624,64,2688,64,64,  69,1.00,0.20,0.1215
3569,42,2,49.90,MEDIUM,64,2624,128,2688,64,64,1757,1.00,0.20,0.5936
3570,42,3,54.64,MEDIUM,128,2624,192,2688,64,64,1549,1.00,0.20,0.6315
3571,42,4,68.07,MEDIUM,192,2624,256,2688,64,64,1741,1.00,0.20,0.7307
3572,42,5,58.40,MEDIUM,256,2624,320,2688,64,64,1030,1.00,0.20,0.6452
3573,42,6,54.00,MEDIUM,320,2624,384,2688,64,64,2430,1.00,0.20,0.6435
3574,42,7,58.01,MEDIUM,384,2624,448,2688,64,64,2250,1.00,0.20,0.6728
3575,42,8,20.39,MEDIUM,448,2624,512,2688,64,64,2317,1.00,0.20,0.2033
