Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2700x5975
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2700x5975
Scaled Tile Size: 64x64
Total Mask: 99.17%, Total Tissue: 0.83%
Tiles: 43x94 = 4042
     0 ( 0.00%) tiles >=80% tissue
    97 ( 2.40%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
167,4,38,24.71,MEDIUM,2368,192,2432,256,64,64, 137,1.00,0.20,0.1695
168,4,39,35.08,MEDIUM,2432,192,2496,256,64,64,   5,1.00,0.20,0.0818
210,5,38,41.19,MEDIUM,2368,256,2432,320,64,64,  20,1.00,0.20,0.2137
211,5,39,24.71,MEDIUM,2432,256,2496,320,64,64,   7,1.00,0.20,0.0521
212,5,40,14.58,MEDIUM,2496,256,2560,320,64,64,   4,1.00,0.20,0.0119
254,6,39,15.50,MEDIUM,2432,320,2496,384,64,64,   6,1.00,0.20,0.0191
255,6,40,17.68,MEDIUM,2496,320,2560,384,64,64,   2,1.00,0.20,0.0087
421,10,34,20.43,MEDIUM,2112,576,2176,640,64,64,  27,1.00,0.20,0.0722
464,11,34,21.70,MEDIUM,2112,640,2176,704,64,64,   6,1.00,0.20,0.0371
595,14,36,62.62,MEDIUM,2240,832,2304,896,64,64,   0,1.00,0.20,0.0000
638,15,36,42.87,MEDIUM,2240,896,2304,960,64,64,   0,1.00,0.20,0.0000
735,18,4,20.87,MEDIUM,192,1088,256,1152,64,64,   5,1.00,0.20,0.0309
736,18,5,14.50,MEDIUM,256,1088,320,1152,64,64,   8,1.00,0.20,0.0202
778,19,4,46.17,MEDIUM,192,1152,256,1216,64,64,   8,1.00,0.20,0.1728
779,19,5,73.93,MEDIUM,256,1152,320,1216,64,64,   9,1.00,0.20,0.3623
780,19,6,70.36,MEDIUM,320,1152,384,1216,64,64,  17,1.00,0.20,0.4245
822,20,5,28.03,MEDIUM,256,1216,320,1280,64,64,   7,1.00,0.20,0.0662
1021,24,32,64.94,MEDIUM,1984,1472,2048,1536,64,64,  58,1.00,0.20,0.5159
1022,24,33,64.72,MEDIUM,2048,1472,2112,1536,64,64,  63,1.00,0.20,0.5228
1023,24,34,64.48,MEDIUM,2112,1472,2176,1536,64,64,  34,1.00,0.20,0.4614
1024,24,35,50.83,MEDIUM,2176,1472,2240,1536,64,64,  13,1.00,0.20,0.2468
1025,24,36,25.71,MEDIUM,2240,1472,2304,1536,64,64,   5,1.00,0.20,0.0459
1064,25,32,51.93,MEDIUM,1984,1536,2048,1600,64,64, 149,1.00,0.20,0.4801
1066,25,34,16.55,MEDIUM,2112,1536,2176,1600,64,64,  10,1.00,0.20,0.0295
1067,25,35,15.33,MEDIUM,2176,1536,2240,1600,64,64,  12,1.00,0.20,0.0279
1107,26,32,22.83,MEDIUM,1984,1600,2048,1664,64,64, 899,1.00,0.20,0.2131
1108,26,33,47.17,MEDIUM,2048,1600,2112,1664,64,64, 246,1.00,0.20,0.4655
1109,26,34,24.32,MEDIUM,2112,1600,2176,1664,64,64, 217,1.00,0.20,0.1831
1110,26,35,26.61,MEDIUM,2176,1600,2240,1664,64,64, 391,1.00,0.20,0.2364
1137,27,19,23.51,MEDIUM,1152,1664,1216,1728,64,64,1006,1.00,0.20,0.2269
1138,27,20,24.44,MEDIUM,1216,1664,1280,1728,64,64,1481,1.00,0.20,0.2538
1153,27,35,21.39,MEDIUM,2176,1664,2240,1728,64,64, 128,1.00,0.20,0.1306
1197,28,36,12.60,MEDIUM,2240,1728,2304,1792,64,64,   5,1.00,0.20,0.0106
1223,29,19,12.96,MEDIUM,1152,1792,1216,1856,64,64, 703,1.00,0.20,0.0769
1267,30,20,12.87,MEDIUM,1216,1856,1280,1920,64,64, 538,1.00,0.20,0.0720
1296,31,6,21.34,MEDIUM,320,1920,384,1984,64,64, 356,1.00,0.20,0.1631
1297,31,7,28.25,MEDIUM,384,1920,448,1984,64,64, 210,1.00,0.20,0.2309
1298,31,8,29.27,MEDIUM,448,1920,512,1984,64,64, 317,1.00,0.20,0.2631
1311,31,21,19.26,MEDIUM,1280,1920,1344,1984,64,64, 257,1.00,0.20,0.1281
1312,31,22,15.58,MEDIUM,1344,1920,1408,1984,64,64,  35,1.00,0.20,0.0482
1323,31,33,21.09,MEDIUM,2048,1920,2112,1984,64,64,1561,1.00,0.20,0.2036
1325,31,35,20.43,MEDIUM,2176,1920,2240,1984,64,64,1010,1.00,0.20,0.1816
1339,32,6,20.39,MEDIUM,320,1984,384,2048,64,64, 109,1.00,0.20,0.1150
1340,32,7,46.80,MEDIUM,384,1984,448,2048,64,64, 110,1.00,0.20,0.4075
