Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2816x5376
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2816x5376
Scaled Tile Size: 64x64
Total Mask: 84.91%, Total Tissue: 15.09%
Tiles: 44x84 = 3696
   238 ( 6.44%) tiles >=80% tissue
   660 (17.86%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
189,5,13,28.69,MEDIUM,768,256,832,320,64,64,   1,1.00,0.20,0.0192
190,5,14,27.91,MEDIUM,832,256,896,320,64,64,   2,1.00,0.20,0.0201
191,5,15,25.46,MEDIUM,896,256,960,320,64,64,   0,1.00,0.20,0.0021
192,5,16,30.42,MEDIUM,960,256,1024,320,64,64,   1,1.00,0.20,0.0231
193,5,17,26.61,MEDIUM,1024,256,1088,320,64,64,   1,1.00,0.20,0.0135
194,5,18,16.50,MEDIUM,1088,256,1152,320,64,64,   1,1.00,0.20,0.0065
230,6,10,21.07,MEDIUM,576,320,640,384,64,64,   1,1.00,0.20,0.0079
231,6,11,41.06,MEDIUM,640,320,704,384,64,64,   1,1.00,0.20,0.0269
232,6,12,46.29,MEDIUM,704,320,768,384,64,64,   1,1.00,0.20,0.0332
233,6,13,17.55,MEDIUM,768,320,832,384,64,64,   1,1.00,0.20,0.0036
238,6,18,24.93,MEDIUM,1088,320,1152,384,64,64,   2,1.00,0.20,0.0196
239,6,19,32.69,MEDIUM,1152,320,1216,384,64,64,   2,1.00,0.20,0.0368
240,6,20,22.36,MEDIUM,1216,320,1280,384,64,64,   1,1.00,0.20,0.0116
273,7,9,51.64,MEDIUM,512,384,576,448,64,64,   1,1.00,0.20,0.0397
274,7,10,54.27,MEDIUM,576,384,640,448,64,64,   2,1.00,0.20,0.0978
275,7,11,27.71,MEDIUM,640,384,704,448,64,64,   0,1.00,0.20,0.0050
276,7,12,12.96,MEDIUM,704,384,768,448,64,64,   0,0.49,0.20,0.0002
277,7,13,18.53,MEDIUM,768,384,832,448,64,64,   0,1.00,0.20,0.0001
282,7,18,13.06,MEDIUM,1088,384,1152,448,64,64,   1,1.00,0.20,0.0034
283,7,19,14.50,MEDIUM,1152,384,1216,448,64,64,   2,0.49,0.20,0.0041
284,7,20,44.07,MEDIUM,1216,384,1280,448,64,64,   1,1.00,0.20,0.0458
316,8,8,47.61,MEDIUM,448,448,512,512,64,64,   0,1.00,0.20,0.0000
317,8,9,43.73,MEDIUM,512,448,576,512,64,64,   1,1.00,0.20,0.0464
318,8,10,45.80,MEDIUM,576,448,640,512,64,64,   0,1.00,0.20,0.0165
319,8,11,20.95,MEDIUM,640,448,704,512,64,64,   0,1.00,0.20,0.0010
321,8,13,33.74,MEDIUM,768,448,832,512,64,64,   1,1.00,0.20,0.0151
322,8,14,20.97,MEDIUM,832,448,896,512,64,64,   0,1.00,0.20,0.0000
328,8,20,56.91,MEDIUM,1216,448,1280,512,64,64,   0,1.00,0.20,0.0226
329,8,21,76.00,MEDIUM,1280,448,1344,512,64,64,   1,1.00,0.20,0.0658
