Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2944x3840
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2944x3840
Scaled Tile Size: 64x64
Total Mask: 81.31%, Total Tissue: 18.69%
Tiles: 46x60 = 2760
   350 (12.68%) tiles >=80% tissue
   392 (14.20%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
121,3,29,24.29,MEDIUM,1792,128,1856,192,64,64,   1,1.00,0.20,0.0147
337,8,15,60.69,MEDIUM,896,448,960,512,64,64,  97,1.00,0.20,0.5262
382,9,14,81.13,HIGH,832,512,896,576,64,64,  16,1.00,1.00,0.6532
383,9,15,98.14,HIGH,896,512,960,576,64,64, 110,1.00,1.00,0.8193
384,9,16,98.68,HIGH,960,512,1024,576,64,64,  63,1.00,1.00,0.8022
385,9,17,53.96,MEDIUM,1024,512,1088,576,64,64,  32,1.00,0.20,0.3668
394,9,26,65.45,MEDIUM,1600,512,1664,576,64,64,  19,1.00,0.20,0.4029
395,9,27,96.17,HIGH,1664,512,1728,576,64,64,  80,1.00,1.00,0.8026
396,9,28,78.81,MEDIUM,1728,512,1792,576,64,64,  37,1.00,0.20,0.5701
397,9,29,29.88,MEDIUM,1792,512,1856,576,64,64,  46,1.00,0.20,0.1717
426,10,12,20.68,MEDIUM,704,576,768,640,64,64,   0,1.00,0.20,0.0020
427,10,13,66.75,MEDIUM,768,576,832,640,64,64,   0,1.00,0.20,0.0293
428,10,14,91.50,HIGH,832,576,896,640,64,64,   2,1.00,1.00,0.4855
429,10,15,98.22,HIGH,896,576,960,640,64,64,  28,1.00,1.00,0.7637
430,10,16,99.37,HIGH,960,576,1024,640,64,64,  11,1.00,1.00,0.7081
431,10,17,90.50,HIGH,1024,576,1088,640,64,64, 131,1.00,1.00,0.7999
432,10,18,44.41,MEDIUM,1088,576,1152,640,64,64,  49,1.00,0.20,0.3196
439,10,25,31.47,MEDIUM,1536,576,1600,640,64,64,  37,1.00,0.20,0.1734
440,10,26,99.32,HIGH,1600,576,1664,640,64,64,  10,1.00,1.00,0.7057
441,10,27,98.71,HIGH,1664,576,1728,640,64,64,  46,1.00,1.00,0.7895
442,10,28,98.80,HIGH,1728,576,1792,640,64,64,  27,1.00,1.00,0.7645
443,10,29,78.69,MEDIUM,1792,576,1856,640,64,64,  49,1.00,0.20,0.5965
471,11,11,33.35,MEDIUM,640,640,704,704,64,64,   1,1.00,0.20,0.0170
472,11,12,46.22,MEDIUM,704,640,768,704,64,64,   2,1.00,0.20,0.0545
473,11,13,72.29,MEDIUM,768,640,832,704,64,64,   1,1.00,0.20,0.0965
474,11,14,63.65,MEDIUM,832,640,896,704,64,64,   1,1.00,0.20,0.0746
475,11,15,92.97,HIGH,896,640,960,704,64,64,   1,1.00,1.00,0.3852
476,11,16,98.05,HIGH,960,640,1024,704,64,64,   3,1.00,1.00,0.5649
477,11,17,99.19,HIGH,1024,640,1088,704,64,64,  20,1.00,1.00,0.7504
478,11,18,99.12,HIGH,1088,640,1152,704,64,64,  23,1.00,1.00,0.7574
479,11,19,73.14,MEDIUM,1152,640,1216,704,64,64,  25,1.00,0.20,0.4878
485,11,25,36.67,MEDIUM,1536,640,1600,704,64,64,  28,1.00,0.20,0.2013
486,11,26,99.37,HIGH,1600,640,1664,704,64,64,  21,1.00,1.00,0.7526
487,11,27,94.53,HIGH,1664,640,1728,704,64,64,  38,1.00,1.00,0.7655
488,11,28,98.80,HIGH,1728,640,1792,704,64,64,  32,1.00,1.00,0.7736
489,11,29,99.02,HIGH,1792,640,1856,704,64,64,  25,1.00,1.00,0.7619
490,11,30,91.65,HIGH,1856,640,1920,704,64,64,  22,1.00,1.00,0.7253
518,12,12,18.04,MEDIUM,704,704,768,768,64,64,   2,1.00,0.20,0.0102
519,12,13,43.48,MEDIUM,768,704,832,768,64,64,  20,1.00,0.20,0.2346
