Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2304x3136
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2304x3136
Scaled Tile Size: 64x64
Total Mask: 82.92%, Total Tissue: 17.08%
Tiles: 36x49 = 1764
   205 (11.62%) tiles >=80% tissue
   214 (12.13%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
61,2,25,36.11,MEDIUM,1536,64,1600,128,64,64, 866,1.00,0.20,0.4022
96,3,24,69.63,MEDIUM,1472,128,1536,192,64,64,   0,1.00,0.20,0.0123
97,3,25,97.17,HIGH,1536,128,1600,192,64,64,   4,1.00,1.00,0.5905
98,3,26,42.46,MEDIUM,1600,128,1664,192,64,64, 684,1.00,0.20,0.4703
131,4,23,49.10,MEDIUM,1408,192,1472,256,64,64,   6,1.00,0.20,0.1655
132,4,24,97.58,HIGH,1472,192,1536,256,64,64,   2,1.00,1.00,0.5092
133,4,25,92.19,HIGH,1536,192,1600,256,64,64,   2,1.00,1.00,0.5156
134,4,26,67.09,MEDIUM,1600,192,1664,256,64,64, 149,1.00,0.20,0.6066
135,4,27,73.12,MEDIUM,1664,192,1728,256,64,64,   5,1.00,0.20,0.2616
136,4,28,28.03,MEDIUM,1728,192,1792,256,64,64,  16,1.00,0.20,0.1014
167,5,23,94.63,HIGH,1408,256,1472,320,64,64,   4,1.00,1.00,0.5881
168,5,24,96.39,HIGH,1472,256,1536,320,64,64,   3,1.00,1.00,0.5772
169,5,25,83.54,HIGH,1536,256,1600,320,64,64,   1,1.00,1.00,0.2999
170,5,26,83.98,HIGH,1600,256,1664,320,64,64,   0,1.00,1.00,0.0000
171,5,27,63.11,MEDIUM,1664,256,1728,320,64,64,   0,1.00,0.20,0.0000
172,5,28,16.60,MEDIUM,1728,256,1792,320,64,64,   0,1.00,0.20,0.0000
203,6,23,86.50,HIGH,1408,320,1472,384,64,64,   2,1.00,1.00,0.4789
204,6,24,96.66,HIGH,1472,320,1536,384,64,64,   2,0.49,1.00,0.4003
205,6,25,69.46,MEDIUM,1536,320,1600,384,64,64,   2,1.00,0.20,0.1583
206,6,26,69.63,MEDIUM,1600,320,1664,384,64,64,   3,1.00,0.20,0.1757
207,6,27,24.34,MEDIUM,1664,320,1728,384,64,64,   0,1.00,0.20,0.0000
221,7,5,33.84,MEDIUM,256,384,320,448,64,64,   1,1.00,0.20,0.0122
222,7,6,97.63,HIGH,320,384,384,448,64,64,   0,0.49,1.00,0.1604
223,7,7,76.68,MEDIUM,384,384,448,448,64,64,  43,1.00,0.20,0.5700
238,7,22,26.90,MEDIUM,1344,384,1408,448,64,64,   2,1.00,0.20,0.0232
