Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2604x2856
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2604x2856
Scaled Tile Size: 64x64
Total Mask: 73.49%, Total Tissue: 26.51%
Tiles: 41x45 = 1845
   383 (20.76%) tiles >=80% tissue
   218 (11.82%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
54,2,13,17.94,MEDIUM,768,64,832,128,64,64, 129,1.00,0.20,0.0957
55,2,14,36.91,MEDIUM,832,64,896,128,64,64, 162,1.00,0.20,0.3235
56,2,15,52.91,MEDIUM,896,64,960,128,64,64, 109,1.00,0.20,0.4665
57,2,16,39.75,MEDIUM,960,64,1024,128,64,64, 128,1.00,0.20,0.3413
58,2,17,38.38,MEDIUM,1024,64,1088,128,64,64,  56,1.00,0.20,0.2687
59,2,18,76.66,MEDIUM,1088,64,1152,128,64,64,  38,1.00,0.20,0.5591
60,2,19,69.29,MEDIUM,1152,64,1216,128,64,64,   8,1.00,0.20,0.3224
61,2,20,18.33,MEDIUM,1216,64,1280,128,64,64,   6,1.00,0.20,0.0249
92,3,10,25.95,MEDIUM,576,128,640,192,64,64, 235,1.00,0.20,0.2069
93,3,11,65.06,MEDIUM,640,128,704,192,64,64, 138,1.00,0.20,0.5865
94,3,12,93.73,HIGH,704,128,768,192,64,64,  61,1.00,1.00,0.7838
95,3,13,99.73,HIGH,768,128,832,192,64,64,  43,1.00,1.00,0.7905
96,3,14,98.68,HIGH,832,128,896,192,64,64, 160,1.00,1.00,0.8318
97,3,15,99.54,HIGH,896,128,960,192,64,64,   5,1.00,1.00,0.6404
98,3,16,99.54,HIGH,960,128,1024,192,64,64,  30,1.00,1.00,0.7731
99,3,17,98.19,HIGH,1024,128,1088,192,64,64,  21,1.00,1.00,0.7497
100,3,18,99.46,HIGH,1088,128,1152,192,64,64,   3,1.00,1.00,0.5641
101,3,19,99.32,HIGH,1152,128,1216,192,64,64,  30,1.00,1.00,0.7715
102,3,20,58.72,MEDIUM,1216,128,1280,192,64,64,   0,1.00,0.20,0.0017
130,4,7,49.80,MEDIUM,384,192,448,256,64,64, 215,1.00,0.20,0.4843
131,4,8,80.52,HIGH,448,192,512,256,64,64,  69,1.00,1.00,0.7335
132,4,9,90.89,HIGH,512,192,576,256,64,64,  64,1.00,1.00,0.7754
133,4,10,99.32,HIGH,576,192,640,256,64,64,  51,1.00,1.00,0.7959
134,4,11,99.71,HIGH,640,192,704,256,64,64,   6,1.00,1.00,0.6630
135,4,12,99.44,HIGH,704,192,768,256,64,64,  10,1.00,1.00,0.7026
136,4,13,99.54,HIGH,768,192,832,256,64,64,   8,1.00,1.00,0.6895
137,4,14,98.75,HIGH,832,192,896,256,64,64,  82,1.00,1.00,0.8115
138,4,15,98.71,HIGH,896,192,960,256,64,64,  52,1.00,1.00,0.7948
139,4,16,96.48,HIGH,960,192,1024,256,64,64,   6,1.00,1.00,0.6437
140,4,17,98.29,HIGH,1024,192,1088,256,64,64,   9,1.00,1.00,0.6864
141,4,18,98.27,HIGH,1088,192,1152,256,64,64,   6,1.00,1.00,0.6583
142,4,19,97.66,HIGH,1152,192,1216,256,64,64,   0,1.00,1.00,0.0000
143,4,20,92.97,HIGH,1216,192,1280,256,64,64,   1,1.00,1.00,0.3276
169,5,5,37.84,MEDIUM,256,256,320,320,64,64, 338,1.00,0.20,0.3771
170,5,6,71.34,MEDIUM,320,256,384,320,64,64, 148,1.00,0.20,0.6351
171,5,7,99.68,HIGH,384,256,448,320,64,64,  26,1.00,1.00,0.7667
172,5,8,98.19,HIGH,448,256,512,320,64,64,   5,1.00,1.00,0.6359
173,5,9,99.78,HIGH,512,256,576,320,64,64,   7,1.00,1.00,0.6674
