Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1680x2352
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 1680x2352
Scaled Tile Size: 64x64
Total Mask: 77.37%, Total Tissue: 22.63%
Tiles: 27x37 = 999
   192 (19.22%) tiles >=80% tissue
    70 ( 7.01%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
64,3,10,14.65,MEDIUM,576,128,640,192,64,64, 448,1.00,0.20,0.0882
65,3,11,47.58,MEDIUM,640,128,704,192,64,64,  56,1.00,0.20,0.3611
66,3,12,58.30,MEDIUM,704,128,768,192,64,64, 204,1.00,0.20,0.5592
90,4,9,39.65,MEDIUM,512,192,576,256,64,64, 342,1.00,0.20,0.3999
91,4,10,93.95,HIGH,576,192,640,256,64,64, 468,1.00,1.00,0.8445
92,4,11,95.61,HIGH,640,192,704,256,64,64, 255,1.00,1.00,0.8353
93,4,12,89.50,HIGH,704,192,768,256,64,64,  21,1.00,1.00,0.7121
116,5,8,24.00,MEDIUM,448,256,512,320,64,64,  30,1.00,0.20,0.1001
117,5,9,82.69,HIGH,512,256,576,320,64,64,  21,1.00,1.00,0.6774
118,5,10,95.85,HIGH,576,256,640,320,64,64,  13,1.00,1.00,0.7084
119,5,11,96.24,HIGH,640,256,704,320,64,64,  15,1.00,1.00,0.7197
120,5,12,90.55,HIGH,704,256,768,320,64,64,   3,1.00,1.00,0.5461
121,5,13,59.28,MEDIUM,768,256,832,320,64,64,  78,1.00,0.20,0.4967
142,6,7,44.19,MEDIUM,384,320,448,384,64,64,  11,1.00,0.20,0.1880
143,6,8,54.20,MEDIUM,448,320,512,384,64,64,  38,1.00,0.20,0.3878
144,6,9,95.61,HIGH,512,320,576,384,64,64,  51,1.00,1.00,0.7828
145,6,10,97.41,HIGH,576,320,640,384,64,64,  72,1.00,1.00,0.8029
146,6,11,98.46,HIGH,640,320,704,384,64,64,  31,1.00,1.00,0.7713
147,6,12,98.41,HIGH,704,320,768,384,64,64,   5,1.00,1.00,0.6433
148,6,13,77.34,MEDIUM,768,320,832,384,64,64, 103,1.00,0.20,0.6473
168,7,6,80.86,HIGH,320,384,384,448,64,64,  19,1.00,1.00,0.6604
169,7,7,93.09,HIGH,384,384,448,448,64,64,  61,1.00,1.00,0.7818
170,7,8,89.50,HIGH,448,384,512,448,64,64,  24,1.00,1.00,0.7194
171,7,9,97.14,HIGH,512,384,576,448,64,64,  37,1.00,1.00,0.7740
172,7,10,98.41,HIGH,576,384,640,448,64,64,  95,1.00,1.00,0.8157
173,7,11,96.70,HIGH,640,384,704,448,64,64,  46,1.00,1.00,0.7823
174,7,12,95.97,HIGH,704,384,768,448,64,64,   6,1.00,1.00,0.6494
175,7,13,74.17,MEDIUM,768,384,832,448,64,64, 390,1.00,0.20,0.7063
194,8,5,62.57,MEDIUM,256,448,320,512,64,64,  14,1.00,0.20,0.3428
195,8,6,93.63,HIGH,320,448,384,512,64,64,   9,1.00,1.00,0.6725
196,8,7,92.33,HIGH,384,448,448,512,64,64,   9,1.00,1.00,0.6621
197,8,8,97.05,HIGH,448,448,512,512,64,64,   3,1.00,1.00,0.5855
198,8,9,94.85,HIGH,512,448,576,512,64,64,   3,1.00,1.00,0.5492
199,8,10,96.66,HIGH,576,448,640,512,64,64,   3,1.00,1.00,0.5757
200,8,11,98.63,HIGH,640,448,704,512,64,64,   3,1.00,1.00,0.5541
201,8,12,99.22,HIGH,704,448,768,512,64,64,  67,1.00,1.00,0.8060
202,8,13,74.19,MEDIUM,768,448,832,512,64,64, 629,1.00,0.20,0.7272
220,9,4,59.25,MEDIUM,192,512,256,576,64,64,  20,1.00,0.20,0.3595
