Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2176x4736
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2176x4736
Scaled Tile Size: 64x64
Total Mask: 71.21%, Total Tissue: 28.79%
Tiles: 34x74 = 2516
   554 (22.02%) tiles >=80% tissue
   388 (15.42%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
79,3,11,65.58,MEDIUM,640,128,704,192,64,64, 162,1.00,0.20,0.6012
80,3,12,33.79,MEDIUM,704,128,768,192,64,64,   0,1.00,0.20,0.0000
113,4,11,58.86,MEDIUM,640,192,704,256,64,64,  49,1.00,0.20,0.4514
114,4,12,94.60,HIGH,704,192,768,256,64,64,  18,1.00,1.00,0.7234
115,4,13,94.48,HIGH,768,192,832,256,64,64,   4,1.00,1.00,0.5861
116,4,14,61.57,MEDIUM,832,192,896,256,64,64,   9,1.00,0.20,0.2836
117,4,15,29.88,MEDIUM,896,192,960,256,64,64,  11,1.00,0.20,0.0936
148,5,12,94.38,HIGH,704,256,768,320,64,64, 182,1.00,1.00,0.8228
149,5,13,93.43,HIGH,768,256,832,320,64,64,   5,1.00,1.00,0.6016
150,5,14,91.58,HIGH,832,256,896,320,64,64, 110,1.00,1.00,0.7981
151,5,15,96.07,HIGH,896,256,960,320,64,64,   4,1.00,1.00,0.5947
152,5,16,84.11,HIGH,960,256,1024,320,64,64,   0,1.00,1.00,0.0511
153,5,17,64.36,MEDIUM,1024,256,1088,320,64,64,  96,1.00,0.20,0.5547
154,5,18,16.87,MEDIUM,1088,256,1152,320,64,64,   0,1.00,0.20,0.0000
182,6,12,97.66,HIGH,704,320,768,384,64,64,  88,1.00,1.00,0.8105
183,6,13,77.86,MEDIUM,768,320,832,384,64,64,  13,1.00,0.20,0.4384
184,6,14,87.01,HIGH,832,320,896,384,64,64, 119,1.00,1.00,0.7837
185,6,15,79.39,MEDIUM,896,320,960,384,64,64, 164,1.00,0.20,0.6894
186,6,16,94.85,HIGH,960,320,1024,384,64,64,   0,1.00,1.00,0.2635
187,6,17,88.70,HIGH,1024,320,1088,384,64,64, 103,1.00,1.00,0.7851
188,6,18,98.44,HIGH,1088,320,1152,384,64,64, 194,1.00,1.00,0.8363
189,6,19,89.72,HIGH,1152,320,1216,384,64,64,   5,1.00,1.00,0.5915
190,6,20,63.96,MEDIUM,1216,320,1280,384,64,64,   5,1.00,0.20,0.2101
191,6,21,34.16,MEDIUM,1280,320,1344,384,64,64,   7,1.00,0.20,0.0902
216,7,12,90.09,HIGH,704,384,768,448,64,64, 276,1.00,1.00,0.8203
217,7,13,89.04,HIGH,768,384,832,448,64,64,   1,1.00,1.00,0.3027
218,7,14,80.62,HIGH,832,384,896,448,64,64,   2,1.00,1.00,0.4405
219,7,15,87.30,HIGH,896,384,960,448,64,64, 137,1.00,1.00,0.7897
220,7,16,88.11,HIGH,960,384,1024,448,64,64,   4,1.00,1.00,0.5493
221,7,17,87.74,HIGH,1024,384,1088,448,64,64,   0,1.00,1.00,0.0000
222,7,18,93.53,HIGH,1088,384,1152,448,64,64,   4,1.00,1.00,0.5933
223,7,19,81.76,HIGH,1152,384,1216,448,64,64,   3,1.00,1.00,0.4995
224,7,20,98.10,HIGH,1216,384,1280,448,64,64,  11,1.00,1.00,0.7069
225,7,21,98.44,HIGH,1280,384,1344,448,64,64,  13,1.00,1.00,0.7193
226,7,22,55.71,MEDIUM,1344,384,1408,448,64,64,   2,1.00,0.20,0.1070
250,8,12,21.61,MEDIUM,704,448,768,512,64,64, 244,1.00,0.20,0.1543
251,8,13,53.49,MEDIUM,768,448,832,512,64,64, 674,1.00,0.20,0.5842
252,8,14,80.03,HIGH,832,448,896,512,64,64, 225,1.00,1.00,0.7764
253,8,15,86.30,HIGH,896,448,960,512,64,64,  30,1.00,1.00,0.7181
254,8,16,68.09,MEDIUM,960,448,1024,512,64,64,  20,1.00,0.20,0.4283
255,8,17,70.97,MEDIUM,1024,448,1088,512,64,64,  76,1.00,0.20,0.5840
256,8,18,91.14,HIGH,1088,448,1152,512,64,64,  56,1.00,1.00,0.7706
257,8,19,77.03,MEDIUM,1152,448,1216,512,64,64, 167,1.00,0.20,0.6772
258,8,20,83.64,HIGH,1216,448,1280,512,64,64,   4,1.00,1.00,0.5377
259,8,21,92.11,HIGH,1280,448,1344,512,64,64,   3,1.00,1.00,0.5242
260,8,22,97.63,HIGH,1344,448,1408,512,64,64,   3,1.00,1.00,0.5878
261,8,23,40.19,MEDIUM,1408,448,1472,512,64,64,   4,1.00,0.20,0.0924
287,9,15,84.79,HIGH,896,512,960,576,64,64, 453,1.00,1.00,0.8148
288,9,16,64.33,MEDIUM,960,512,1024,576,64,64, 256,1.00,0.20,0.6208
290,9,18,74.83,MEDIUM,1088,512,1152,576,64,64, 107,1.00,0.20,0.6354
291,9,19,85.45,HIGH,1152,512,1216,576,64,64, 159,1.00,1.00,0.7874
292,9,20,71.97,MEDIUM,1216,512,1280,576,64,64,  30,1.00,0.20,0.5009
293,9,21,91.16,HIGH,1280,512,1344,576,64,64,  92,1.00,1.00,0.7903
294,9,22,97.80,HIGH,1344,512,1408,576,64,64,  23,1.00,1.00,0.7523
295,9,23,97.36,HIGH,1408,512,1472,576,64,64,  93,1.00,1.00,0.8115
296,9,24,38.33,MEDIUM,1472,512,1536,576,64,64,  56,1.00,0.20,0.2689
316,10,10,28.74,MEDIUM,576,576,640,640,64,64, 210,1.00,0.20,0.2369
317,10,11,84.13,HIGH,640,576,704,640,64,64,  49,1.00,1.00,0.7342
318,10,12,59.64,MEDIUM,704,576,768,640,64,64,  12,1.00,0.20,0.3050
322,10,16,43.92,MEDIUM,960,576,1024,640,64,64, 255,1.00,0.20,0.4325
323,10,17,60.64,MEDIUM,1024,576,1088,640,64,64, 412,1.00,0.20,0.6193
324,10,18,48.24,MEDIUM,1088,576,1152,640,64,64,   4,1.00,0.20,0.1221
325,10,19,48.10,MEDIUM,1152,576,1216,640,64,64, 189,1.00,0.20,0.4585
