Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2688x3328
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2688x3328
Scaled Tile Size: 64x64
Total Mask: 73.40%, Total Tissue: 26.60%
Tiles: 42x52 = 2184
   455 (20.83%) tiles >=80% tissue
   264 (12.09%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
61,2,19,59.84,MEDIUM,1152,64,1216,128,64,64,  92,1.00,0.20,0.5149
62,2,20,72.24,MEDIUM,1216,64,1280,128,64,64,  45,1.00,0.20,0.5468
63,2,21,95.21,HIGH,1280,64,1344,128,64,64,  53,1.00,1.00,0.7834
64,2,22,93.14,HIGH,1344,64,1408,128,64,64,  82,1.00,1.00,0.7930
65,2,23,60.40,MEDIUM,1408,64,1472,128,64,64, 115,1.00,0.20,0.5368
102,3,18,87.50,HIGH,1088,128,1152,192,64,64,  21,1.00,1.00,0.7025
103,3,19,96.78,HIGH,1152,128,1216,192,64,64,  58,1.00,1.00,0.7924
104,3,20,98.61,HIGH,1216,128,1280,192,64,64,  19,1.00,1.00,0.7435
105,3,21,98.83,HIGH,1280,128,1344,192,64,64,   9,0.49,1.00,0.6241
106,3,22,96.19,HIGH,1344,128,1408,192,64,64,  18,1.00,1.00,0.7322
107,3,23,97.71,HIGH,1408,128,1472,192,64,64,  38,1.00,1.00,0.7777
108,3,24,62.13,MEDIUM,1472,128,1536,192,64,64,  45,1.00,0.20,0.4711
131,4,5,85.45,HIGH,256,192,320,256,64,64,  53,1.00,1.00,0.7446
132,4,6,24.44,MEDIUM,320,192,384,256,64,64, 309,1.00,0.20,0.1982
143,4,17,57.74,MEDIUM,1024,192,1088,256,64,64,   8,1.00,0.20,0.2351
144,4,18,97.51,HIGH,1088,192,1152,256,64,64,  17,1.00,1.00,0.7324
145,4,19,98.19,HIGH,1152,192,1216,256,64,64,  77,1.00,1.00,0.8079
146,4,20,89.77,HIGH,1216,192,1280,256,64,64,  36,1.00,1.00,0.7436
147,4,21,86.69,HIGH,1280,192,1344,256,64,64,  54,1.00,1.00,0.7509
148,4,22,58.30,MEDIUM,1344,192,1408,256,64,64, 214,1.00,0.20,0.5622
149,4,23,33.79,MEDIUM,1408,192,1472,256,64,64,   5,1.00,0.20,0.0709
172,5,4,69.46,MEDIUM,192,256,256,320,64,64,  32,1.00,0.20,0.4929
173,5,5,98.41,HIGH,256,256,320,320,64,64,  89,1.00,1.00,0.8133
