Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3320x9591
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 3320x9591
Scaled Tile Size: 64x64
Total Mask: 98.23%, Total Tissue: 1.77%
Tiles: 52x150 = 7800
   106 ( 1.36%) tiles >=80% tissue
    70 ( 0.90%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
1010,20,22,34.72,MEDIUM,1344,1216,1408,1280,64,64,1707,1.00,0.20,0.4129
1011,20,23,45.34,MEDIUM,1408,1216,1472,1280,64,64, 935,1.00,0.20,0.5184
1061,21,21,65.60,MEDIUM,1280,1280,1344,1344,64,64, 964,1.00,0.20,0.6938
1062,21,22,97.73,HIGH,1344,1280,1408,1344,64,64, 214,1.00,1.00,0.8368
1063,21,23,78.39,MEDIUM,1408,1280,1472,1344,64,64, 219,1.00,0.20,0.7003
1112,22,20,63.40,MEDIUM,1216,1344,1280,1408,64,64,1599,1.00,0.20,0.6988
1113,22,21,99.51,HIGH,1280,1344,1344,1408,64,64, 246,1.00,1.00,0.8451
1114,22,22,96.26,HIGH,1344,1344,1408,1408,64,64, 258,1.00,1.00,0.8374
1115,22,23,95.65,HIGH,1408,1344,1472,1408,64,64, 215,1.00,1.00,0.8310
1116,22,24,46.39,MEDIUM,1472,1344,1536,1408,64,64,1186,1.00,0.20,0.5408
1163,23,19,76.17,MEDIUM,1152,1408,1216,1472,64,64,2150,1.00,0.20,0.7787
1164,23,20,99.37,HIGH,1216,1408,1280,1472,64,64, 506,1.00,1.00,0.8601
1165,23,21,99.22,HIGH,1280,1408,1344,1472,64,64, 193,1.00,1.00,0.8384
1166,23,22,98.68,HIGH,1344,1408,1408,1472,64,64, 146,1.00,1.00,0.8293
1167,23,23,92.24,HIGH,1408,1408,1472,1472,64,64, 160,1.00,1.00,0.8122
1168,23,24,60.55,MEDIUM,1472,1408,1536,1472,64,64, 180,1.00,0.20,0.5697
1214,24,18,67.04,MEDIUM,1088,1472,1152,1536,64,64,2682,1.00,0.20,0.7386
1215,24,19,99.32,HIGH,1152,1472,1216,1536,64,64,1498,1.00,1.00,0.8782
1216,24,20,98.10,HIGH,1216,1472,1280,1536,64,64, 186,1.00,1.00,0.8343
1217,24,21,98.14,HIGH,1280,1472,1344,1536,64,64, 172,1.00,1.00,0.8323
1218,24,22,91.36,HIGH,1344,1472,1408,1536,64,64, 179,1.00,1.00,0.8126
1219,24,23,61.18,MEDIUM,1408,1472,1472,1536,64,64, 307,1.00,0.20,0.6075
1220,24,24,77.91,MEDIUM,1472,1472,1536,1536,64,64,  98,1.00,0.20,0.6475
1221,24,25,16.14,MEDIUM,1536,1472,1600,1536,64,64, 240,1.00,0.20,0.0921
1266,25,18,93.87,HIGH,1088,1536,1152,1600,64,64,3063,1.00,1.00,0.8761
1267,25,19,99.63,HIGH,1152,1536,1216,1600,64,64, 962,1.00,1.00,0.8721
1268,25,20,99.41,HIGH,1216,1536,1280,1600,64,64, 129,1.00,1.00,0.8279
1269,25,21,95.00,HIGH,1280,1536,1344,1600,64,64, 146,1.00,1.00,0.8183
1270,25,22,91.46,HIGH,1344,1536,1408,1600,64,64, 208,1.00,1.00,0.8171
1271,25,23,98.49,HIGH,1408,1536,1472,1600,64,64, 148,1.00,1.00,0.8291
1272,25,24,98.14,HIGH,1472,1536,1536,1600,64,64,  75,1.00,1.00,0.8065
1273,25,25,30.86,MEDIUM,1536,1536,1600,1600,64,64, 114,1.00,0.20,0.2321
1317,26,17,39.06,MEDIUM,1024,1600,1088,1664,64,64,3321,1.00,0.20,0.4980
1318,26,18,99.46,HIGH,1088,1600,1152,1664,64,64,3216,1.00,1.00,0.8888
1319,26,19,99.63,HIGH,1152,1600,1216,1664,64,64, 326,1.00,1.00,0.8518
1320,26,20,99.15,HIGH,1216,1600,1280,1664,64,64, 136,1.00,1.00,0.8286
1321,26,21,97.12,HIGH,1280,1600,1344,1664,64,64, 350,1.00,1.00,0.8468
1322,26,22,84.86,HIGH,1344,1600,1408,1664,64,64, 210,1.00,1.00,0.7941
1323,26,23,89.82,HIGH,1408,1600,1472,1664,64,64,  95,1.00,1.00,0.7865
1324,26,24,41.11,MEDIUM,1472,1600,1536,1664,64,64,  45,1.00,0.20,0.2804
1369,27,17,41.04,MEDIUM,1024,1664,1088,1728,64,64,3134,1.00,0.20,0.5204
1370,27,18,99.58,HIGH,1088,1664,1152,1728,64,64,3821,1.00,1.00,0.8911
1371,27,19,99.34,HIGH,1152,1664,1216,1728,64,64, 239,1.00,1.00,0.8440
1372,27,20,99.07,HIGH,1216,1664,1280,1728,64,64, 183,1.00,1.00,0.8366
1373,27,21,87.62,HIGH,1280,1664,1344,1728,64,64, 389,1.00,1.00,0.8208
1374,27,22,91.28,HIGH,1344,1664,1408,1728,64,64, 134,1.00,1.00,0.8035
1375,27,23,89.87,HIGH,1408,1664,1472,1728,64,64,  84,1.00,1.00,0.7822
1376,27,24,66.85,MEDIUM,1472,1664,1536,1728,64,64,  79,1.00,0.20,0.5581
1377,27,25,23.63,MEDIUM,1536,1664,1600,1728,64,64, 350,1.00,0.20,0.1923
1421,28,17,30.18,MEDIUM,1024,1728,1088,1792,64,64,2351,1.00,0.20,0.3592
1422,28,18,98.80,HIGH,1088,1728,1152,1792,64,64,2195,1.00,1.00,0.8825
1423,28,19,99.46,HIGH,1152,1728,1216,1792,64,64, 322,1.00,1.00,0.8511
1424,28,20,99.63,HIGH,1216,1728,1280,1792,64,64, 477,1.00,1.00,0.8596
1425,28,21,97.85,HIGH,1280,1728,1344,1792,64,64, 135,1.00,1.00,0.8248
1426,28,22,97.41,HIGH,1344,1728,1408,1792,64,64, 109,1.00,1.00,0.8170
1427,28,23,94.87,HIGH,1408,1728,1472,1792,64,64,  77,1.00,1.00,0.7970
1428,28,24,67.24,MEDIUM,1472,1728,1536,1792,64,64, 150,1.00,0.20,0.6082
1429,28,25,34.06,MEDIUM,1536,1728,1600,1792,64,64,  80,1.00,0.20,0.2474
1473,29,17,34.33,MEDIUM,1024,1792,1088,1856,64,64,2607,1.00,0.20,0.4244
1474,29,18,99.63,HIGH,1088,1792,1152,1856,64,64,2910,1.00,1.00,0.8879
1475,29,19,99.83,HIGH,1152,1792,1216,1856,64,64, 300,1.00,1.00,0.8505
1476,29,20,99.29,HIGH,1216,1792,1280,1856,64,64, 176,1.00,1.00,0.8362
1477,29,21,95.53,HIGH,1280,1792,1344,1856,64,64, 155,1.00,1.00,0.8217
1478,29,22,90.60,HIGH,1344,1792,1408,1856,64,64, 121,1.00,1.00,0.7978
1479,29,23,67.50,MEDIUM,1408,1792,1472,1856,64,64, 164,1.00,0.20,0.6159
1480,29,24,34.06,MEDIUM,1472,1792,1536,1856,64,64, 735,1.00,0.20,0.3669
1526,30,18,99.34,HIGH,1088,1856,1152,1920,64,64,1828,1.00,1.00,0.8811
1527,30,19,99.80,HIGH,1152,1856,1216,1920,64,64, 383,1.00,1.00,0.8557
1528,30,20,98.78,HIGH,1216,1856,1280,1920,64,64, 171,1.00,1.00,0.8340
1529,30,21,97.51,HIGH,1280,1856,1344,1920,64,64, 139,1.00,1.00,0.8246
1530,30,22,81.76,HIGH,1344,1856,1408,1920,64,64, 155,1.00,1.00,0.7714
1531,30,23,91.26,HIGH,1408,1856,1472,1920,64,64,  68,1.00,1.00,0.7790
1532,30,24,55.62,MEDIUM,1472,1856,1536,1920,64,64, 335,1.00,0.20,0.5661
1578,31,18,96.09,HIGH,1088,1920,1152,1984,64,64,2061,1.00,1.00,0.8757
1579,31,19,99.73,HIGH,1152,1920,1216,1984,64,64, 441,1.00,1.00,0.8584
1580,31,20,99.66,HIGH,1216,1920,1280,1984,64,64, 250,1.00,1.00,0.8458
1581,31,21,97.46,HIGH,1280,1920,1344,1984,64,64, 240,1.00,1.00,0.8390
1582,31,22,95.02,HIGH,1344,1920,1408,1984,64,64, 112,1.00,1.00,0.8102
1583,31,23,67.94,MEDIUM,1408,1920,1472,1984,64,64,  96,1.00,0.20,0.5808
1584,31,24,16.16,MEDIUM,1472,1920,1536,1984,64,64, 112,1.00,0.20,0.0760
1630,32,18,32.25,MEDIUM,1088,1984,1152,2048,64,64,2290,1.00,0.20,0.3893
1631,32,19,92.85,HIGH,1152,1984,1216,2048,64,64,1231,1.00,1.00,0.8598
1632,32,20,99.19,HIGH,1216,1984,1280,2048,64,64, 415,1.00,1.00,0.8558
1633,32,21,93.90,HIGH,1280,1984,1344,2048,64,64, 346,1.00,1.00,0.8376
1634,32,22,62.82,MEDIUM,1344,1984,1408,2048,64,64, 245,1.00,0.20,0.6069
1635,32,23,61.45,MEDIUM,1408,1984,1472,2048,64,64, 195,1.00,0.20,0.5821
1636,32,24,49.05,MEDIUM,1472,1984,1536,2048,64,64,  63,1.00,0.20,0.3861
1683,33,19,20.02,MEDIUM,1152,2048,1216,2112,64,64,3491,1.00,0.20,0.2079
1684,33,20,59.69,MEDIUM,1216,2048,1280,2112,64,64,1350,1.00,0.20,0.6662
1685,33,21,35.86,MEDIUM,1280,2048,1344,2112,64,64, 747,1.00,0.20,0.3920
1686,33,22,29.05,MEDIUM,1344,2048,1408,2112,64,64, 433,1.00,0.20,0.2741
1687,33,23,25.46,MEDIUM,1408,2048,1472,2112,64,64, 455,1.00,0.20,0.2267
3251,63,27,43.09,MEDIUM,1664,3968,1728,4032,64,64,1588,1.00,0.20,0.5170
