Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3072x2848
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 3072x2848
Scaled Tile Size: 64x64
Total Mask: 77.86%, Total Tissue: 22.14%
Tiles: 48x45 = 2160
   269 (12.45%) tiles >=80% tissue
   460 (21.30%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
111,3,15,55.69,MEDIUM,896,128,960,192,64,64,   1,1.00,0.20,0.0609
158,4,14,65.23,MEDIUM,832,192,896,256,64,64,   2,1.00,0.20,0.1137
159,4,15,96.31,HIGH,896,192,960,256,64,64,   2,1.00,1.00,0.4764
160,4,16,74.22,MEDIUM,960,192,1024,256,64,64,   2,1.00,0.20,0.1322
205,5,13,25.61,MEDIUM,768,256,832,320,64,64,   1,1.00,0.20,0.0097
206,5,14,84.52,HIGH,832,256,896,320,64,64,   2,1.00,1.00,0.4265
207,5,15,92.48,HIGH,896,256,960,320,64,64,   1,1.00,1.00,0.3851
208,5,16,92.38,HIGH,960,256,1024,320,64,64,   1,1.00,1.00,0.3102
209,5,17,57.30,MEDIUM,1024,256,1088,320,64,64,   0,1.00,0.20,0.0000
253,6,13,45.26,MEDIUM,768,320,832,384,64,64,   1,1.00,0.20,0.0222
254,6,14,98.10,HIGH,832,320,896,384,64,64,   1,0.49,1.00,0.2995
255,6,15,93.60,HIGH,896,320,960,384,64,64,   1,1.00,1.00,0.3725
256,6,16,69.75,MEDIUM,960,320,1024,384,64,64,   1,1.00,0.20,0.0873
257,6,17,42.80,MEDIUM,1024,320,1088,384,64,64,   0,1.00,0.20,0.0012
258,6,18,23.61,MEDIUM,1088,320,1152,384,64,64,   0,1.00,0.20,0.0040
301,7,13,60.77,MEDIUM,768,384,832,448,64,64,   0,1.00,0.20,0.0034
302,7,14,96.04,HIGH,832,384,896,448,64,64,   1,1.00,1.00,0.3355
303,7,15,95.75,HIGH,896,384,960,448,64,64,   6,1.00,1.00,0.6352
304,7,16,74.37,MEDIUM,960,384,1024,448,64,64,   0,1.00,0.20,0.0082
305,7,17,60.18,MEDIUM,1024,384,1088,448,64,64,   0,1.00,0.20,0.0025
306,7,18,47.22,MEDIUM,1088,384,1152,448,64,64,   0,1.00,0.20,0.0106
349,8,13,59.86,MEDIUM,768,448,832,512,64,64,   1,1.00,0.20,0.0808
350,8,14,94.73,HIGH,832,448,896,512,64,64,   1,1.00,1.00,0.4112
351,8,15,94.53,HIGH,896,448,960,512,64,64,   1,1.00,1.00,0.3758
352,8,16,81.37,HIGH,960,448,1024,512,64,64,   1,1.00,1.00,0.2559
353,8,17,61.25,MEDIUM,1024,448,1088,512,64,64,   0,1.00,0.20,0.0326
397,9,13,48.85,MEDIUM,768,512,832,576,64,64,   1,1.00,0.20,0.0458
398,9,14,94.92,HIGH,832,512,896,576,64,64,   0,1.00,1.00,0.2173
399,9,15,91.72,HIGH,896,512,960,576,64,64,   1,1.00,1.00,0.3556
400,9,16,56.05,MEDIUM,960,512,1024,576,64,64,   1,1.00,0.20,0.0446
401,9,17,56.81,MEDIUM,1024,512,1088,576,64,64,   0,1.00,0.20,0.0000
402,9,18,31.23,MEDIUM,1088,512,1152,576,64,64,   0,1.00,0.20,0.0087
436,10,4,47.51,MEDIUM,192,576,256,640,64,64,   0,1.00,0.20,0.0000
