Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3072x5952
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 3072x5952
Scaled Tile Size: 64x64
Total Mask: 78.65%, Total Tissue: 21.35%
Tiles: 48x93 = 4464
   677 (15.17%) tiles >=80% tissue
   595 (13.33%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
113,3,17,13.04,MEDIUM,1024,128,1088,192,64,64,   0,0.49,0.20,0.0000
114,3,18,23.58,MEDIUM,1088,128,1152,192,64,64,   0,1.00,0.20,0.0000
115,3,19,42.09,MEDIUM,1152,128,1216,192,64,64,   0,1.00,0.20,0.0000
116,3,20,35.08,MEDIUM,1216,128,1280,192,64,64,   0,1.00,0.20,0.0000
117,3,21,57.84,MEDIUM,1280,128,1344,192,64,64,   5,1.00,0.20,0.1784
118,3,22,52.51,MEDIUM,1344,128,1408,192,64,64, 153,1.00,0.20,0.4879
119,3,23,22.88,MEDIUM,1408,128,1472,192,64,64,  14,1.00,0.20,0.0662
161,4,17,46.73,MEDIUM,1024,192,1088,256,64,64,   0,1.00,0.20,0.0193
162,4,18,75.24,MEDIUM,1088,192,1152,256,64,64,   9,1.00,0.20,0.3711
163,4,19,79.74,MEDIUM,1152,192,1216,256,64,64,   0,1.00,0.20,0.0354
164,4,20,84.40,HIGH,1216,192,1280,256,64,64,   0,1.00,1.00,0.0000
165,4,21,92.16,HIGH,1280,192,1344,256,64,64,   2,1.00,1.00,0.4996
166,4,22,99.24,HIGH,1344,192,1408,256,64,64,   0,1.00,1.00,0.0000
167,4,23,72.36,MEDIUM,1408,192,1472,256,64,64,   2,1.00,0.20,0.1223
175,4,31,23.56,MEDIUM,1920,192,1984,256,64,64,  11,1.00,0.20,0.0619
208,5,16,26.81,MEDIUM,960,256,1024,320,64,64,   0,1.00,0.20,0.0000
209,5,17,47.56,MEDIUM,1024,256,1088,320,64,64,  13,1.00,0.20,0.2250
210,5,18,57.28,MEDIUM,1088,256,1152,320,64,64,  21,1.00,0.20,0.3532
211,5,19,84.96,HIGH,1152,256,1216,320,64,64,   2,1.00,1.00,0.4559
212,5,20,96.29,HIGH,1216,256,1280,320,64,64,  10,1.00,1.00,0.6927
213,5,21,97.66,HIGH,1280,256,1344,320,64,64,   1,1.00,1.00,0.3841
214,5,22,96.36,HIGH,1344,256,1408,320,64,64,  26,1.00,1.00,0.7541
215,5,23,80.32,HIGH,1408,256,1472,320,64,64,   0,1.00,1.00,0.1724
222,5,30,29.15,MEDIUM,1856,256,1920,320,64,64,   0,1.00,0.20,0.0022
223,5,31,89.36,HIGH,1920,256,1984,320,64,64,  10,1.00,1.00,0.6592
224,5,32,82.01,HIGH,1984,256,2048,320,64,64,   9,1.00,1.00,0.6123
225,5,33,54.47,MEDIUM,2048,256,2112,320,64,64,  14,1.00,0.20,0.2823
256,6,16,13.31,MEDIUM,960,320,1024,384,64,64,   0,1.00,0.20,0.0000
257,6,17,39.75,MEDIUM,1024,320,1088,384,64,64,  12,1.00,0.20,0.1614
258,6,18,51.20,MEDIUM,1088,320,1152,384,64,64,   1,1.00,0.20,0.0488
259,6,19,44.36,MEDIUM,1152,320,1216,384,64,64,   0,1.00,0.20,0.0000
260,6,20,82.91,HIGH,1216,320,1280,384,64,64,   0,1.00,1.00,0.2108
261,6,21,82.69,HIGH,1280,320,1344,384,64,64,  19,1.00,1.00,0.6731
262,6,22,77.05,MEDIUM,1344,320,1408,384,64,64,  26,1.00,0.20,0.5213
263,6,23,58.64,MEDIUM,1408,320,1472,384,64,64,   5,1.00,0.20,0.1882
270,6,30,18.68,MEDIUM,1856,320,1920,384,64,64,   0,1.00,0.20,0.0000
271,6,31,85.11,HIGH,1920,320,1984,384,64,64,   3,1.00,1.00,0.4768
272,6,32,91.77,HIGH,1984,320,2048,384,64,64,   7,1.00,1.00,0.6353
273,6,33,97.66,HIGH,2048,320,2112,384,64,64,  21,1.00,1.00,0.7476
274,6,34,78.86,MEDIUM,2112,320,2176,384,64,64,  16,1.00,0.20,0.4748
275,6,35,68.80,MEDIUM,2176,320,2240,384,64,64,  35,1.00,0.20,0.4974
276,6,36,39.67,MEDIUM,2240,320,2304,384,64,64,  17,1.00,0.20,0.1876
318,7,30,28.37,MEDIUM,1856,384,1920,448,64,64,   0,1.00,0.20,0.0000
319,7,31,72.31,MEDIUM,1920,384,1984,448,64,64,   0,1.00,0.20,0.0000
320,7,32,85.96,HIGH,1984,384,2048,448,64,64,  43,1.00,1.00,0.7368
321,7,33,96.26,HIGH,2048,384,2112,448,64,64,  62,1.00,1.00,0.7931
322,7,34,97.46,HIGH,2112,384,2176,448,64,64,  23,0.49,1.00,0.7055
323,7,35,99.68,HIGH,2176,384,2240,448,64,64,  15,0.49,1.00,0.6778
324,7,36,99.49,HIGH,2240,384,2304,448,64,64,  34,1.00,1.00,0.7785
342,8,6,39.84,MEDIUM,320,448,384,512,64,64,  12,1.00,0.20,0.1610
