Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 4279x2227
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 4279x2227
Scaled Tile Size: 64x64
Total Mask: 95.83%, Total Tissue: 4.17%
Tiles: 67x35 = 2345
     6 ( 0.26%) tiles >=80% tissue
   199 ( 8.49%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
414,7,12,17.82,MEDIUM,704,384,768,448,64,64,   3,1.00,0.20,0.0141
415,7,13,40.89,MEDIUM,768,384,832,448,64,64,   6,1.00,0.20,0.1207
416,7,14,68.43,MEDIUM,832,384,896,448,64,64,  13,1.00,0.20,0.3751
417,7,15,75.05,MEDIUM,896,384,960,448,64,64,  24,1.00,0.20,0.4963
418,7,16,72.71,MEDIUM,960,384,1024,448,64,64,  21,1.00,0.20,0.4681
419,7,17,63.04,MEDIUM,1024,384,1088,448,64,64,  16,1.00,0.20,0.3655
420,7,18,58.62,MEDIUM,1088,384,1152,448,64,64,  12,1.00,0.20,0.2941
421,7,19,58.76,MEDIUM,1152,384,1216,448,64,64,  12,1.00,0.20,0.2933
422,7,20,40.16,MEDIUM,1216,384,1280,448,64,64,   3,1.00,0.20,0.0720
456,7,54,29.83,MEDIUM,3392,384,3456,448,64,64,   4,1.00,0.20,0.0522
457,7,55,43.82,MEDIUM,3456,384,3520,448,64,64,  10,1.00,0.20,0.1727
458,7,56,48.66,MEDIUM,3520,384,3584,448,64,64,  18,1.00,0.20,0.2666
459,7,57,57.15,MEDIUM,3584,384,3648,448,64,64,  15,1.00,0.20,0.3115
460,7,58,54.83,MEDIUM,3648,384,3712,448,64,64,  15,1.00,0.20,0.2930
461,7,59,35.01,MEDIUM,3712,384,3776,448,64,64,  24,1.00,0.20,0.1781
462,7,60,21.51,MEDIUM,3776,384,3840,448,64,64,   2,1.00,0.20,0.0162
479,8,10,59.57,MEDIUM,576,448,640,512,64,64,  21,1.00,0.20,0.3695
480,8,11,83.79,HIGH,640,448,704,512,64,64,  37,1.00,1.00,0.7193
481,8,12,66.04,MEDIUM,704,448,768,512,64,64,  37,1.00,0.20,0.4818
482,8,13,56.59,MEDIUM,768,448,832,512,64,64,  52,1.00,0.20,0.4375
483,8,14,51.37,MEDIUM,832,448,896,512,64,64,  57,1.00,0.20,0.3991
484,8,15,33.79,MEDIUM,896,448,960,512,64,64,  79,1.00,0.20,0.2437
485,8,16,56.84,MEDIUM,960,448,1024,512,64,64,  90,1.00,0.20,0.4873
486,8,17,32.71,MEDIUM,1024,448,1088,512,64,64,  47,1.00,0.20,0.2004
487,8,18,17.41,MEDIUM,1088,448,1152,512,64,64,  62,1.00,0.20,0.0728
488,8,19,35.55,MEDIUM,1152,448,1216,512,64,64,  42,1.00,0.20,0.2206
489,8,20,45.09,MEDIUM,1216,448,1280,512,64,64,  34,1.00,0.20,0.2954
490,8,21,85.13,HIGH,1280,448,1344,512,64,64,  15,1.00,1.00,0.6659
491,8,22,39.50,MEDIUM,1344,448,1408,512,64,64,   3,1.00,0.20,0.0721
520,8,51,49.90,MEDIUM,3200,448,3264,512,64,64,  26,1.00,0.20,0.3116
521,8,52,81.18,HIGH,3264,448,3328,512,64,64,  46,1.00,1.00,0.7174
522,8,53,42.85,MEDIUM,3328,448,3392,512,64,64,  32,1.00,0.20,0.2692
523,8,54,68.51,MEDIUM,3392,448,3456,512,64,64,  73,1.00,0.20,0.5637
