Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2528x5088
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2528x5088
Scaled Tile Size: 64x64
Total Mask: 95.53%, Total Tissue: 4.47%
Tiles: 40x80 = 3200
     4 ( 0.12%) tiles >=80% tissue
   349 (10.91%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
107,3,27,24.15,MEDIUM,1664,128,1728,192,64,64,   5,1.00,0.20,0.0391
108,3,28,21.04,MEDIUM,1728,128,1792,192,64,64,   2,1.00,0.20,0.0121
147,4,27,15.94,MEDIUM,1664,192,1728,256,64,64,   2,1.00,0.20,0.0098
148,4,28,26.49,MEDIUM,1728,192,1792,256,64,64,   2,1.00,0.20,0.0217
155,4,35,33.18,MEDIUM,2176,192,2240,256,64,64,4473,1.00,0.20,0.4280
157,4,37,20.63,MEDIUM,2304,192,2368,256,64,64,3855,1.00,0.20,0.2206
171,5,11,27.91,MEDIUM,640,256,704,320,64,64,   8,1.00,0.20,0.0694
172,5,12,33.37,MEDIUM,704,256,768,320,64,64,   3,1.00,0.20,0.0488
188,5,28,19.51,MEDIUM,1728,256,1792,320,64,64,   1,1.00,0.20,0.0089
190,5,30,27.42,MEDIUM,1856,256,1920,320,64,64,   4,1.00,0.20,0.0459
196,5,36,29.71,MEDIUM,2240,256,2304,320,64,64, 119,1.00,0.20,0.2207
197,5,37,26.93,MEDIUM,2304,256,2368,320,64,64,3157,1.00,0.20,0.3187
208,6,8,25.73,MEDIUM,448,320,512,384,64,64,   1,1.00,0.20,0.0122
209,6,9,33.50,MEDIUM,512,320,576,384,64,64,   4,1.00,0.20,0.0632
210,6,10,33.13,MEDIUM,576,320,640,384,64,64,   1,1.00,0.20,0.0114
211,6,11,56.45,MEDIUM,640,320,704,384,64,64,   5,1.00,0.20,0.1804
212,6,12,81.01,HIGH,704,320,768,384,64,64,  40,1.00,1.00,0.7091
218,6,18,20.61,MEDIUM,1088,320,1152,384,64,64,1007,1.00,0.20,0.1840
219,6,19,40.70,MEDIUM,1152,320,1216,384,64,64,1933,1.00,0.20,0.4968
220,6,20,72.19,MEDIUM,1216,320,1280,384,64,64,4006,1.00,0.20,0.7770
221,6,21,22.34,MEDIUM,1280,320,1344,384,64,64,2558,1.00,0.20,0.2374
228,6,28,16.26,MEDIUM,1728,320,1792,384,64,64, 405,1.00,0.20,0.1044
234,6,34,14.28,MEDIUM,2112,320,2176,384,64,64,4474,1.00,0.20,0.1218
236,6,36,37.87,MEDIUM,2240,320,2304,384,64,64, 686,1.00,0.20,0.4140
237,6,37,75.63,MEDIUM,2304,320,2368,384,64,64, 321,1.00,0.20,0.7051
238,6,38,30.54,MEDIUM,2368,320,2432,384,64,64,1251,1.00,0.20,0.3402
248,7,8,14.11,MEDIUM,448,384,512,448,64,64,  27,1.00,0.20,0.0357
249,7,9,54.39,MEDIUM,512,384,576,448,64,64, 166,1.00,0.20,0.5110
250,7,10,50.00,MEDIUM,576,384,640,448,64,64, 339,1.00,0.20,0.5141
251,7,11,57.52,MEDIUM,640,384,704,448,64,64, 226,1.00,0.20,0.5591
252,7,12,41.55,MEDIUM,704,384,768,448,64,64,   2,1.00,0.20,0.0502
253,7,13,54.88,MEDIUM,768,384,832,448,64,64,   2,1.00,0.20,0.0751
259,7,19,14.55,MEDIUM,1152,384,1216,448,64,64,1278,1.00,0.20,0.1051
261,7,21,32.13,MEDIUM,1280,384,1344,448,64,64,3967,1.00,0.20,0.4080
268,7,28,32.32,MEDIUM,1728,384,1792,448,64,64,   2,1.00,0.20,0.0376
272,7,32,16.94,MEDIUM,1984,384,2048,448,64,64,   0,1.00,0.20,0.0012
275,7,35,27.08,MEDIUM,2176,384,2240,448,64,64,1177,1.00,0.20,0.2861
276,7,36,54.44,MEDIUM,2240,384,2304,448,64,64,2213,1.00,0.20,0.6437
277,7,37,69.95,MEDIUM,2304,384,2368,448,64,64,1536,1.00,0.20,0.7371
278,7,38,40.19,MEDIUM,2368,384,2432,448,64,64,1911,1.00,0.20,0.4900
290,8,10,35.64,MEDIUM,576,448,640,512,64,64, 755,1.00,0.20,0.3896
292,8,12,38.72,MEDIUM,704,448,768,512,64,64,   3,1.00,0.20,0.0728
293,8,13,34.72,MEDIUM,768,448,832,512,64,64,   4,1.00,0.20,0.0675
294,8,14,19.75,MEDIUM,832,448,896,512,64,64,   1,1.00,0.20,0.0093
299,8,19,44.07,MEDIUM,1152,448,1216,512,64,64,6557,1.00,0.20,0.5823
300,8,20,22.66,MEDIUM,1216,448,1280,512,64,64,8980,1.00,0.20,0.2778
301,8,21,28.47,MEDIUM,1280,448,1344,512,64,64,1160,1.00,0.20,0.3064
302,8,22,20.70,MEDIUM,1344,448,1408,512,64,64,3904,1.00,0.20,0.2221
307,8,27,18.51,MEDIUM,1664,448,1728,512,64,64,   5,1.00,0.20,0.0235
308,8,28,63.55,MEDIUM,1728,448,1792,512,64,64,   2,1.00,0.20,0.1155
309,8,29,16.65,MEDIUM,1792,448,1856,512,64,64,   2,1.00,0.20,0.0078
316,8,36,26.81,MEDIUM,2240,448,2304,512,64,64,   8,1.00,0.20,0.0627
317,8,37,41.02,MEDIUM,2304,448,2368,512,64,64,  88,1.00,0.20,0.3296
318,8,38,80.42,HIGH,2368,448,2432,512,64,64, 536,1.00,1.00,0.8026
330,9,10,48.80,MEDIUM,576,512,640,576,64,64, 669,1.00,0.20,0.5387
331,9,11,17.87,MEDIUM,640,512,704,576,64,64,   1,1.00,0.20,0.0038
332,9,12,18.87,MEDIUM,704,512,768,576,64,64,   1,1.00,0.20,0.0042
