Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 620x536
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 620x536
Scaled Tile Size: 64x64
Total Mask: 74.60%, Total Tissue: 25.40%
Tiles: 10x9 = 90
    11 (12.22%) tiles >=80% tissue
    20 (22.22%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
5,1,5,24.10,MEDIUM,256,0,320,64,64,64,  77,1.00,0.20,0.1399
6,1,6,17.94,MEDIUM,320,0,384,64,64,64, 142,1.00,0.20,0.0982
12,2,2,25.20,MEDIUM,64,64,128,128,64,64,   2,1.00,0.20,0.0209
13,2,3,71.46,MEDIUM,128,64,192,128,64,64,   1,1.00,0.20,0.1043
14,2,4,47.56,MEDIUM,192,64,256,128,64,64,   2,1.00,0.20,0.0604
22,3,2,22.29,MEDIUM,64,128,128,192,64,64,   3,1.00,0.20,0.0222
23,3,3,94.07,HIGH,128,128,192,192,64,64,   0,0.49,1.00,0.0871
24,3,4,99.73,HIGH,192,128,256,192,64,64, 318,0.49,1.00,0.8341
25,3,5,77.78,MEDIUM,256,128,320,192,64,64,  10,1.00,0.20,0.3922
32,4,2,17.92,MEDIUM,64,192,128,256,64,64,   0,0.49,0.20,0.0002
33,4,3,92.58,HIGH,128,192,192,256,64,64,   0,1.00,1.00,0.0951
34,4,4,99.19,HIGH,192,192,256,256,64,64,  30,0.49,1.00,0.7306
35,4,5,98.80,HIGH,256,192,320,256,64,64, 122,0.49,1.00,0.8004
36,4,6,54.03,MEDIUM,320,192,384,256,64,64,   3,1.00,0.20,0.1200
42,5,2,29.76,MEDIUM,64,256,128,320,64,64,   0,1.00,0.20,0.0041
43,5,3,58.06,MEDIUM,128,256,192,320,64,64,   0,1.00,0.20,0.0050
44,5,4,77.12,MEDIUM,192,256,256,320,64,64,   3,1.00,0.20,0.2312
45,5,5,94.90,HIGH,256,256,320,320,64,64,  15,0.49,1.00,0.6574
46,5,6,98.44,HIGH,320,256,384,320,64,64, 162,0.49,1.00,0.8096
47,5,7,74.22,MEDIUM,384,256,448,320,64,64,   3,1.00,0.20,0.2003
53,6,3,60.38,MEDIUM,128,320,192,384,64,64,   0,1.00,0.20,0.0000
54,6,4,70.75,MEDIUM,192,320,256,384,64,64,   0,1.00,0.20,0.0394
55,6,5,89.89,HIGH,256,320,320,384,64,64,  35,1.00,1.00,0.7429
56,6,6,99.15,HIGH,320,320,384,384,64,64, 123,0.49,1.00,0.8019
57,6,7,98.85,HIGH,384,320,448,384,64,64,   0,0.49,1.00,0.0000
58,6,8,62.06,MEDIUM,448,320,512,384,64,64,   1,1.00,0.20,0.0850
64,7,4,43.36,MEDIUM,192,384,256,448,64,64,   0,1.00,0.20,0.0000
65,7,5,63.96,MEDIUM,256,384,320,448,64,64,   0,1.00,0.20,0.0000
66,7,6,80.54,HIGH,320,384,384,448,64,64,   0,1.00,1.00,0.0000
67,7,7,64.36,MEDIUM,384,384,448,448,64,64,   0,1.00,0.20,0.0000
68,7,8,29.32,MEDIUM,448,384,512,448,64,64,   2,1.00,0.20,0.0223
