Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2692x5625
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2692x5625
Scaled Tile Size: 64x64
Total Mask: 97.82%, Total Tissue: 2.18%
Tiles: 43x88 = 3784
    24 ( 0.63%) tiles >=80% tissue
   166 ( 4.39%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
191,5,19,69.87,MEDIUM,1152,256,1216,320,64,64,  11,1.00,0.20,0.3569
234,6,19,22.07,MEDIUM,1152,320,1216,384,64,64,  42,1.00,0.20,0.0988
325,8,24,13.55,MEDIUM,1472,448,1536,512,64,64,   5,1.00,0.20,0.0127
326,8,25,15.99,MEDIUM,1536,448,1600,512,64,64,   6,1.00,0.20,0.0204
369,9,25,15.09,MEDIUM,1536,512,1600,576,64,64,   4,1.00,0.20,0.0128
412,10,25,11.67,MEDIUM,1536,576,1600,640,64,64,   5,1.00,0.20,0.0094
954,23,8,17.33,MEDIUM,448,1408,512,1472,64,64,  56,1.00,0.20,0.0700
996,24,7,22.41,MEDIUM,384,1472,448,1536,64,64, 225,1.00,0.20,0.1612
997,24,8,30.40,MEDIUM,448,1472,512,1536,64,64,  52,1.00,0.20,0.1832
1009,24,20,12.74,MEDIUM,1216,1472,1280,1536,64,64,  26,1.00,0.20,0.0286
1039,25,7,59.77,MEDIUM,384,1536,448,1600,64,64, 459,1.00,0.20,0.6180
1040,25,8,12.04,MEDIUM,448,1536,512,1600,64,64, 163,1.00,0.20,0.0484
1051,25,19,29.05,MEDIUM,1152,1536,1216,1600,64,64,  62,1.00,0.20,0.1793
1081,26,6,47.22,MEDIUM,320,1600,384,1664,64,64, 459,1.00,0.20,0.5025
1082,26,7,61.84,MEDIUM,384,1600,448,1664,64,64, 651,1.00,0.20,0.6509
1083,26,8,48.61,MEDIUM,448,1600,512,1664,64,64, 660,1.00,0.20,0.5361
1094,26,19,27.39,MEDIUM,1152,1600,1216,1664,64,64,  59,1.00,0.20,0.1610
1096,26,21,13.18,MEDIUM,1280,1600,1344,1664,64,64,   6,1.00,0.20,0.0131
1124,27,6,91.21,HIGH,320,1664,384,1728,64,64, 404,1.00,1.00,0.8332
1125,27,7,43.53,MEDIUM,384,1664,448,1728,64,64, 577,1.00,0.20,0.4741
1126,27,8,48.95,MEDIUM,448,1664,512,1728,64,64, 781,1.00,0.20,0.5479
1127,27,9,31.27,MEDIUM,512,1664,576,1728,64,64, 960,1.00,0.20,0.3398
1137,27,19,36.38,MEDIUM,1152,1664,1216,1728,64,64, 202,1.00,0.20,0.3302
1166,28,5,39.79,MEDIUM,256,1728,320,1792,64,64, 252,1.00,0.20,0.3843
1167,28,6,94.19,HIGH,320,1728,384,1792,64,64,1098,1.00,1.00,0.8613
1168,28,7,71.88,MEDIUM,384,1728,448,1792,64,64,1262,1.00,0.20,0.7409
1170,28,9,20.31,MEDIUM,512,1728,576,1792,64,64, 942,1.00,0.20,0.1779
1180,28,19,43.73,MEDIUM,1152,1728,1216,1792,64,64, 548,1.00,0.20,0.4736
1209,29,5,44.43,MEDIUM,256,1792,320,1856,64,64, 240,1.00,0.20,0.4346
1210,29,6,97.31,HIGH,320,1792,384,1856,64,64,1371,1.00,1.00,0.8725
1211,29,7,80.59,HIGH,384,1792,448,1856,64,64,1960,1.00,1.00,0.8312
1214,29,10,30.76,MEDIUM,576,1792,640,1856,64,64, 144,1.00,0.20,0.2430
1215,29,11,17.72,MEDIUM,640,1792,704,1856,64,64,   4,1.00,0.20,0.0188
1223,29,19,54.93,MEDIUM,1152,1792,1216,1856,64,64, 561,1.00,0.20,0.5880
1252,30,5,39.84,MEDIUM,256,1856,320,1920,64,64, 426,1.00,0.20,0.4143
1253,30,6,98.44,HIGH,320,1856,384,1920,64,64,1942,1.00,1.00,0.8801
1254,30,7,84.35,HIGH,384,1856,448,1920,64,64,2443,1.00,1.00,0.8473
1258,30,11,26.05,MEDIUM,640,1856,704,1920,64,64,  12,1.00,0.20,0.0771
1266,30,19,74.02,MEDIUM,1152,1856,1216,1920,64,64, 841,1.00,0.20,0.7376
1295,31,5,32.13,MEDIUM,256,1920,320,1984,64,64, 310,1.00,0.20,0.2995
1296,31,6,99.27,HIGH,320,1920,384,1984,64,64,1875,0.49,1.00,0.8705
1297,31,7,84.03,HIGH,384,1920,448,1984,64,64,2282,1.00,1.00,0.8452
1300,31,10,15.04,MEDIUM,576,1920,640,1984,64,64,   5,1.00,0.20,0.0147
1309,31,19,49.29,MEDIUM,1152,1920,1216,1984,64,64, 973,1.00,0.20,0.5618
1310,31,20,64.26,MEDIUM,1216,1920,1280,1984,64,64,1036,1.00,0.20,0.6879
1338,32,5,14.06,MEDIUM,256,1984,320,2048,64,64,  31,1.00,0.20,0.0376
1339,32,6,76.17,MEDIUM,320,1984,384,2048,64,64,1312,1.00,0.20,0.7638
1340,32,7,89.33,HIGH,384,1984,448,2048,64,64,1682,1.00,1.00,0.8557
1341,32,8,21.22,MEDIUM,448,1984,512,2048,64,64,  74,1.00,0.20,0.1105
1352,32,19,13.99,MEDIUM,1152,1984,1216,2048,64,64, 501,1.00,0.20,0.0829
1353,32,20,92.97,HIGH,1216,1984,1280,2048,64,64, 407,1.00,1.00,0.8386
1354,32,21,73.85,MEDIUM,1280,1984,1344,2048,64,64, 160,1.00,0.20,0.6562
1355,32,22,19.73,MEDIUM,1344,1984,1408,2048,64,64,  13,1.00,0.20,0.0468
1382,33,6,44.14,MEDIUM,320,2048,384,2112,64,64, 225,1.00,0.20,0.4274
1383,33,7,82.84,HIGH,384,2048,448,2112,64,64,1030,1.00,1.00,0.8264
1384,33,8,51.17,MEDIUM,448,2048,512,2112,64,64, 742,1.00,0.20,0.5673
1396,33,20,16.99,MEDIUM,1216,2048,1280,2112,64,64, 448,1.00,0.20,0.1151
1397,33,21,94.51,HIGH,1280,2048,1344,2112,64,64, 528,1.00,1.00,0.8485
1398,33,22,49.83,MEDIUM,1344,2048,1408,2112,64,64,  58,1.00,0.20,0.3866
1426,34,7,88.65,HIGH,384,2112,448,2176,64,64, 333,1.00,1.00,0.8204
1427,34,8,28.83,MEDIUM,448,2112,512,2176,64,64, 397,1.00,0.20,0.2672
1428,34,9,13.55,MEDIUM,512,2112,576,2176,64,64,1008,1.00,0.20,0.0888
1429,34,10,21.17,MEDIUM,576,2112,640,2176,64,64, 744,1.00,0.20,0.1833
1440,34,21,48.44,MEDIUM,1280,2112,1344,2176,64,64, 610,1.00,0.20,0.5303
1441,34,22,61.99,MEDIUM,1344,2112,1408,2176,64,64, 221,1.00,0.20,0.5943
1469,35,7,69.97,MEDIUM,384,2176,448,2240,64,64, 152,1.00,0.20,0.6279
1484,35,22,57.96,MEDIUM,1344,2176,1408,2240,64,64, 523,1.00,0.20,0.6101
1512,36,7,59.16,MEDIUM,384,2240,448,2304,64,64,  95,1.00,0.20,0.5115
1514,36,9,28.15,MEDIUM,512,2240,576,2304,64,64, 439,1.00,0.20,0.2623
1515,36,10,15.82,MEDIUM,576,2240,640,2304,64,64,  76,1.00,0.20,0.0652
1527,36,22,20.73,MEDIUM,1344,2240,1408,2304,64,64, 479,1.00,0.20,0.1642
1528,36,23,39.48,MEDIUM,1408,2240,1472,2304,64,64, 365,1.00,0.20,0.4014
1530,36,25,18.04,MEDIUM,1536,2240,1600,2304,64,64,   5,1.00,0.20,0.0231
1555,37,7,29.81,MEDIUM,384,2304,448,2368,64,64,  96,1.00,0.20,0.2109
1556,37,8,19.14,MEDIUM,448,2304,512,2368,64,64, 102,1.00,0.20,0.1009
1571,37,23,45.31,MEDIUM,1408,2304,1472,2368,64,64, 195,1.00,0.20,0.4309
1599,38,8,54.20,MEDIUM,448,2368,512,2432,64,64, 369,1.00,0.20,0.5590
1600,38,9,36.69,MEDIUM,512,2368,576,2432,64,64, 841,1.00,0.20,0.4086
1614,38,23,25.95,MEDIUM,1408,2368,1472,2432,64,64,  49,1.00,0.20,0.1384
1616,38,25,31.01,MEDIUM,1536,2368,1600,2432,64,64,  18,1.00,0.20,0.1293
1617,38,26,20.53,MEDIUM,1600,2368,1664,2432,64,64,  20,1.00,0.20,0.0634
1642,39,8,31.64,MEDIUM,448,2432,512,2496,64,64, 130,1.00,0.20,0.2482
1643,39,9,21.70,MEDIUM,512,2432,576,2496,64,64,  34,1.00,0.20,0.0879
1658,39,24,21.68,MEDIUM,1472,2432,1536,2496,64,64,  16,1.00,0.20,0.0631
1659,39,25,45.48,MEDIUM,1536,2432,1600,2496,64,64,  13,1.00,0.20,0.2092
1660,39,26,42.11,MEDIUM,1600,2432,1664,2496,64,64,  13,1.00,0.20,0.1823
1816,43,10,12.67,MEDIUM,576,2688,640,2752,64,64, 172,1.00,0.20,0.0542
1817,43,11,44.34,MEDIUM,640,2688,704,2752,64,64, 191,1.00,0.20,0.4190
