Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3320x9591
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 3320x9591
Scaled Tile Size: 64x64
Total Mask: 98.29%, Total Tissue: 1.71%
Tiles: 52x150 = 7800
    96 ( 1.23%) tiles >=80% tissue
    83 ( 1.06%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
1060,21,20,79.00,MEDIUM,1216,1280,1280,1344,64,64, 238,1.00,0.20,0.7080
1061,21,21,90.77,HIGH,1280,1280,1344,1344,64,64, 780,1.00,1.00,0.8459
1062,21,22,21.09,MEDIUM,1344,1280,1408,1344,64,64,1370,1.00,0.20,0.1999
1069,21,29,18.68,MEDIUM,1792,1280,1856,1344,64,64,  48,1.00,0.20,0.0758
1070,21,30,22.36,MEDIUM,1856,1280,1920,1344,64,64, 157,1.00,0.20,0.1482
1071,21,31,85.03,HIGH,1920,1280,1984,1344,64,64, 759,1.00,1.00,0.8275
1072,21,32,66.02,MEDIUM,1984,1280,2048,1344,64,64,1104,1.00,0.20,0.7019
1111,22,19,43.46,MEDIUM,1152,1344,1216,1408,64,64, 126,1.00,0.20,0.3816
1112,22,20,82.30,HIGH,1216,1344,1280,1408,64,64, 270,1.00,1.00,0.7914
1113,22,21,94.46,HIGH,1280,1344,1344,1408,64,64, 589,1.00,1.00,0.8506
1114,22,22,76.12,MEDIUM,1344,1344,1408,1408,64,64,1339,1.00,0.20,0.7642
1120,22,28,34.16,MEDIUM,1728,1344,1792,1408,64,64, 152,1.00,0.20,0.2866
1121,22,29,55.86,MEDIUM,1792,1344,1856,1408,64,64, 162,1.00,0.20,0.5228
1122,22,30,72.85,MEDIUM,1856,1344,1920,1408,64,64, 206,1.00,0.20,0.6651
1123,22,31,96.46,HIGH,1920,1344,1984,1408,64,64, 685,1.00,1.00,0.8587
1124,22,32,98.66,HIGH,1984,1344,2048,1408,64,64,1078,1.00,1.00,0.8717
1125,22,33,32.30,MEDIUM,2048,1344,2112,1408,64,64,1074,1.00,0.20,0.3593
1160,23,16,17.21,MEDIUM,960,1408,1024,1472,64,64,  42,1.00,0.20,0.0623
1161,23,17,46.88,MEDIUM,1024,1408,1088,1472,64,64, 148,1.00,0.20,0.4289
1162,23,18,43.60,MEDIUM,1088,1408,1152,1472,64,64, 190,1.00,0.20,0.4106
1163,23,19,56.30,MEDIUM,1152,1408,1216,1472,64,64, 182,1.00,0.20,0.5344
1164,23,20,80.88,HIGH,1216,1408,1280,1472,64,64, 492,1.00,1.00,0.8022
1165,23,21,98.71,HIGH,1280,1408,1344,1472,64,64, 975,1.00,1.00,0.8702
1166,23,22,99.90,HIGH,1344,1408,1408,1472,64,64,1112,1.00,1.00,0.8750
1167,23,23,27.32,MEDIUM,1408,1408,1472,1472,64,64,1078,1.00,0.20,0.2864
1172,23,28,26.73,MEDIUM,1728,1408,1792,1472,64,64, 101,1.00,0.20,0.1791
1173,23,29,69.73,MEDIUM,1792,1408,1856,1472,64,64, 319,1.00,0.20,0.6698
1174,23,30,68.07,MEDIUM,1856,1408,1920,1472,64,64, 243,1.00,0.20,0.6440
1175,23,31,87.92,HIGH,1920,1408,1984,1472,64,64, 565,1.00,1.00,0.8305
1176,23,32,97.14,HIGH,1984,1408,2048,1472,64,64, 639,1.00,1.00,0.8591
1177,23,33,86.77,HIGH,2048,1408,2112,1472,64,64,1056,1.00,1.00,0.8398
1213,24,17,43.73,MEDIUM,1024,1472,1088,1536,64,64, 101,1.00,0.20,0.3687
1214,24,18,72.68,MEDIUM,1088,1472,1152,1536,64,64, 270,1.00,0.20,0.6792
1215,24,19,69.04,MEDIUM,1152,1472,1216,1536,64,64, 313,1.00,0.20,0.6643
1216,24,20,73.49,MEDIUM,1216,1472,1280,1536,64,64, 304,1.00,0.20,0.6901
1217,24,21,90.23,HIGH,1280,1472,1344,1536,64,64, 421,1.00,1.00,0.8311
1218,24,22,99.10,HIGH,1344,1472,1408,1536,64,64,1150,1.00,1.00,0.8738
1219,24,23,51.20,MEDIUM,1408,1472,1472,1536,64,64,1019,1.00,0.20,0.5824
1225,24,29,81.08,HIGH,1792,1472,1856,1536,64,64, 277,1.00,1.00,0.7872
1226,24,30,61.74,MEDIUM,1856,1472,1920,1536,64,64, 289,1.00,0.20,0.6083
1227,24,31,84.55,HIGH,1920,1472,1984,1536,64,64, 541,1.00,1.00,0.8182
1228,24,32,93.82,HIGH,1984,1472,2048,1536,64,64, 405,1.00,1.00,0.8410
1229,24,33,99.68,HIGH,2048,1472,2112,1536,64,64,1146,1.00,1.00,0.8750
1230,24,34,23.97,MEDIUM,2112,1472,2176,1536,64,64,1186,1.00,0.20,0.2393
1265,25,17,16.38,MEDIUM,1024,1536,1088,1600,64,64, 175,1.00,0.20,0.0877
1266,25,18,65.60,MEDIUM,1088,1536,1152,1600,64,64, 301,1.00,0.20,0.6390
1267,25,19,61.30,MEDIUM,1152,1536,1216,1600,64,64, 267,1.00,0.20,0.6003
1268,25,20,66.11,MEDIUM,1216,1536,1280,1600,64,64, 367,1.00,0.20,0.6533
