Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 5440x11008
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 5440x11008
Scaled Tile Size: 64x64
Total Mask: 98.15%, Total Tissue: 1.85%
Tiles: 85x172 = 14620
    93 ( 0.64%) tiles >=80% tissue
   431 ( 2.95%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
2578,31,28,17.55,MEDIUM,1728,1920,1792,1984,64,64,   3,1.00,0.20,0.0154
2664,32,29,26.61,MEDIUM,1792,1984,1856,2048,64,64,  46,1.00,0.20,0.1411
2731,33,11,37.50,MEDIUM,640,2048,704,2112,64,64,  28,1.00,0.20,0.2088
2749,33,29,31.47,MEDIUM,1792,2048,1856,2112,64,64,  98,1.00,0.20,0.2304
2766,33,46,33.42,MEDIUM,2880,2048,2944,2112,64,64, 160,1.00,0.20,0.2808
2767,33,47,36.94,MEDIUM,2944,2048,3008,2112,64,64,  97,1.00,0.20,0.2913
2817,34,12,28.81,MEDIUM,704,2112,768,2176,64,64, 377,1.00,0.20,0.2646
2834,34,29,44.24,MEDIUM,1792,2112,1856,2176,64,64, 549,1.00,0.20,0.4796
2850,34,45,46.44,MEDIUM,2816,2112,2880,2176,64,64, 567,1.00,0.20,0.5054
2851,34,46,46.04,MEDIUM,2880,2112,2944,2176,64,64, 810,1.00,0.20,0.5192
2852,34,47,22.36,MEDIUM,2944,2112,3008,2176,64,64, 161,1.00,0.20,0.1491
2853,34,48,20.04,MEDIUM,3008,2112,3072,2176,64,64, 124,1.00,0.20,0.1155
2903,35,13,21.53,MEDIUM,768,2176,832,2240,64,64, 440,1.00,0.20,0.1722
2919,35,29,20.65,MEDIUM,1792,2176,1856,2240,64,64, 753,1.00,0.20,0.1764
2938,35,48,47.78,MEDIUM,3008,2176,3072,2240,64,64,1170,1.00,0.20,0.5548
2954,35,64,31.05,MEDIUM,4032,2176,4096,2240,64,64, 831,1.00,0.20,0.3305
2988,36,13,23.88,MEDIUM,768,2240,832,2304,64,64, 444,1.00,0.20,0.2041
3004,36,29,17.02,MEDIUM,1792,2240,1856,2304,64,64, 533,1.00,0.20,0.1193
3023,36,48,19.31,MEDIUM,3008,2240,3072,2304,64,64,1663,1.00,0.20,0.1781
3024,36,49,26.27,MEDIUM,3072,2240,3136,2304,64,64, 899,1.00,0.20,0.2640
3040,36,65,38.35,MEDIUM,4096,2240,4160,2304,64,64, 868,1.00,0.20,0.4316
3041,36,66,16.24,MEDIUM,4160,2240,4224,2304,64,64, 548,1.00,0.20,0.1104
3073,37,13,21.17,MEDIUM,768,2304,832,2368,64,64, 492,1.00,0.20,0.1708
3090,37,30,35.45,MEDIUM,1856,2304,1920,2368,64,64, 478,1.00,0.20,0.3648
3109,37,49,37.11,MEDIUM,3072,2304,3136,2368,64,64,1133,1.00,0.20,0.4277
3110,37,50,33.79,MEDIUM,3136,2304,3200,2368,64,64, 795,1.00,0.20,0.3669
