Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2877x2842
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2877x2842
Scaled Tile Size: 64x64
Total Mask: 68.36%, Total Tissue: 31.64%
Tiles: 45x45 = 2025
   571 (28.20%) tiles >=80% tissue
   139 ( 6.86%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
27,1,27,31.18,MEDIUM,1664,0,1728,64,64,64,   0,1.00,0.20,0.0000
72,2,27,45.92,MEDIUM,1664,64,1728,128,64,64,   0,1.00,0.20,0.0000
74,2,29,44.95,MEDIUM,1792,64,1856,128,64,64,   0,1.00,0.20,0.0000
117,3,27,47.61,MEDIUM,1664,128,1728,192,64,64,   0,1.00,0.20,0.0015
162,4,27,39.26,MEDIUM,1664,192,1728,256,64,64,   3,1.00,0.20,0.0722
207,5,27,43.14,MEDIUM,1664,256,1728,320,64,64,   1,1.00,0.20,0.0410
208,5,28,21.48,MEDIUM,1728,256,1792,320,64,64,   0,0.49,0.20,0.0000
252,6,27,18.73,MEDIUM,1664,320,1728,384,64,64,   0,1.00,0.20,0.0000
458,11,8,20.12,MEDIUM,448,640,512,704,64,64,   0,1.00,0.20,0.0000
466,11,16,16.53,MEDIUM,960,640,1024,704,64,64,   0,0.49,0.20,0.0000
477,11,27,22.95,MEDIUM,1664,640,1728,704,64,64,   0,1.00,0.20,0.0000
478,11,28,25.46,MEDIUM,1728,640,1792,704,64,64,   0,1.00,0.20,0.0000
479,11,29,29.47,MEDIUM,1792,640,1856,704,64,64,   0,1.00,0.20,0.0000
480,11,30,37.16,MEDIUM,1856,640,1920,704,64,64,  37,1.00,0.20,0.2274
481,11,31,39.11,MEDIUM,1920,640,1984,704,64,64, 167,1.00,0.20,0.3510
482,11,32,20.46,MEDIUM,1984,640,2048,704,64,64,   0,0.49,0.20,0.0000
483,11,33,15.55,MEDIUM,2048,640,2112,704,64,64,   0,0.49,0.20,0.0007
504,12,9,19.73,MEDIUM,512,704,576,768,64,64,   0,0.49,0.20,0.0018
505,12,10,48.68,MEDIUM,576,704,640,768,64,64,   3,1.00,0.20,0.0888
506,12,11,57.18,MEDIUM,640,704,704,768,64,64,   5,1.00,0.20,0.1801
507,12,12,54.54,MEDIUM,704,704,768,768,64,64,   0,1.00,0.20,0.0261
508,12,13,64.60,MEDIUM,768,704,832,768,64,64,   0,1.00,0.20,0.0362
509,12,14,79.25,MEDIUM,832,704,896,768,64,64,  12,1.00,0.20,0.4396
510,12,15,70.31,MEDIUM,896,704,960,768,64,64,   6,1.00,0.20,0.2861
511,12,16,77.34,MEDIUM,960,704,1024,768,64,64,  17,1.00,0.20,0.4713
512,12,17,67.11,MEDIUM,1024,704,1088,768,64,64,  28,1.00,0.20,0.4584
513,12,18,43.04,MEDIUM,1088,704,1152,768,64,64,   0,1.00,0.20,0.0000
514,12,19,60.86,MEDIUM,1152,704,1216,768,64,64,   3,1.00,0.20,0.1478
515,12,20,79.83,MEDIUM,1216,704,1280,768,64,64,  24,1.00,0.20,0.5298
516,12,21,86.74,HIGH,1280,704,1344,768,64,64,   8,0.49,1.00,0.5378
517,12,22,77.29,MEDIUM,1344,704,1408,768,64,64,  27,1.00,0.20,0.5265
518,12,23,86.67,HIGH,1408,704,1472,768,64,64,  13,1.00,1.00,0.6665
519,12,24,94.75,HIGH,1472,704,1536,768,64,64,  25,0.49,1.00,0.6978
520,12,25,92.31,HIGH,1536,704,1600,768,64,64,  25,0.49,1.00,0.6863
521,12,26,98.46,HIGH,1600,704,1664,768,64,64,   3,0.49,1.00,0.4387
522,12,27,98.46,HIGH,1664,704,1728,768,64,64,   7,0.49,1.00,0.5840
523,12,28,95.70,HIGH,1728,704,1792,768,64,64,   2,0.49,1.00,0.3868
524,12,29,81.71,HIGH,1792,704,1856,768,64,64,   8,1.00,1.00,0.5977
525,12,30,86.55,HIGH,1856,704,1920,768,64,64,   0,0.49,1.00,0.1345
526,12,31,90.53,HIGH,1920,704,1984,768,64,64,   0,0.49,1.00,0.0000
527,12,32,92.92,HIGH,1984,704,2048,768,64,64,  24,0.49,1.00,0.6876
528,12,33,90.55,HIGH,2048,704,2112,768,64,64,   3,0.49,1.00,0.4404
529,12,34,94.53,HIGH,2112,704,2176,768,64,64,   7,0.49,1.00,0.5768
530,12,35,85.69,HIGH,2176,704,2240,768,64,64,   1,1.00,1.00,0.3621
531,12,36,65.45,MEDIUM,2240,704,2304,768,64,64,  26,1.00,0.20,0.4384
532,12,37,48.66,MEDIUM,2304,704,2368,768,64,64,  11,1.00,0.20,0.2142
549,13,9,59.33,MEDIUM,512,768,576,832,64,64,  18,1.00,0.20,0.3510
550,13,10,91.09,HIGH,576,768,640,832,64,64,  20,0.49,1.00,0.6650
551,13,11,87.06,HIGH,640,768,704,832,64,64, 150,1.00,1.00,0.7919
552,13,12,78.93,MEDIUM,704,768,768,832,64,64, 163,1.00,0.20,0.6864
553,13,13,81.59,HIGH,768,768,832,832,64,64, 129,1.00,1.00,0.7642
554,13,14,81.03,HIGH,832,768,896,832,64,64,  15,1.00,1.00,0.6457
555,13,15,80.35,HIGH,896,768,960,832,64,64,  22,1.00,1.00,0.6695
556,13,16,82.86,HIGH,960,768,1024,832,64,64,  59,1.00,1.00,0.7376
557,13,17,94.65,HIGH,1024,768,1088,832,64,64,  21,0.49,1.00,0.6852
558,13,18,97.90,HIGH,1088,768,1152,832,64,64,  14,0.49,1.00,0.6661
559,13,19,97.41,HIGH,1152,768,1216,832,64,64,  73,0.49,1.00,0.7735
560,13,20,92.04,HIGH,1216,768,1280,832,64,64,  76,0.49,1.00,0.7556
561,13,21,93.02,HIGH,1280,768,1344,832,64,64, 173,0.49,1.00,0.7939
562,13,22,98.85,HIGH,1344,768,1408,832,64,64, 128,0.49,1.00,0.8024
563,13,23,94.87,HIGH,1408,768,1472,832,64,64,  17,0.49,1.00,0.6701
564,13,24,96.92,HIGH,1472,768,1536,832,64,64,  32,0.49,1.00,0.7255
565,13,25,96.53,HIGH,1536,768,1600,832,64,64,  22,0.49,1.00,0.6963
566,13,26,87.45,HIGH,1600,768,1664,832,64,64, 107,1.00,1.00,0.7817
567,13,27,81.03,HIGH,1664,768,1728,832,64,64, 266,1.00,1.00,0.7857
568,13,28,89.97,HIGH,1728,768,1792,832,64,64, 112,1.00,1.00,0.7927
569,13,29,90.33,HIGH,1792,768,1856,832,64,64,  26,1.00,1.00,0.7285
570,13,30,89.23,HIGH,1856,768,1920,832,64,64,  46,1.00,1.00,0.7537
571,13,31,73.39,MEDIUM,1920,768,1984,832,64,64,  10,1.00,0.20,0.3681
572,13,32,89.70,HIGH,1984,768,2048,832,64,64,  22,0.49,1.00,0.6634
573,13,33,93.14,HIGH,2048,768,2112,832,64,64,  12,0.49,1.00,0.6295
574,13,34,91.58,HIGH,2112,768,2176,832,64,64,  31,0.49,1.00,0.6998
575,13,35,92.33,HIGH,2176,768,2240,832,64,64,  54,0.49,1.00,0.7388
576,13,36,97.88,HIGH,2240,768,2304,832,64,64,  11,0.49,1.00,0.6391
577,13,37,64.87,MEDIUM,2304,768,2368,832,64,64,  20,1.00,0.20,0.4018
593,14,8,29.44,MEDIUM,448,832,512,896,64,64,   0,1.00,0.20,0.0010
594,14,9,88.72,HIGH,512,832,576,896,64,64,   7,0.49,1.00,0.5462
595,14,10,85.86,HIGH,576,832,640,896,64,64,   6,1.00,1.00,0.5887
596,14,11,77.15,MEDIUM,640,832,704,896,64,64,  18,1.00,0.20,0.4786
597,14,12,83.15,HIGH,704,832,768,896,64,64,  59,1.00,1.00,0.7387
598,14,13,68.55,MEDIUM,768,832,832,896,64,64, 740,1.00,0.20,0.7016
599,14,14,89.75,HIGH,832,832,896,896,64,64,  19,0.49,1.00,0.6547
600,14,15,89.92,HIGH,896,832,960,896,64,64,  38,0.49,1.00,0.7059
601,14,16,83.74,HIGH,960,832,1024,896,64,64,   5,0.49,1.00,0.4510
602,14,17,96.26,HIGH,1024,832,1088,896,64,64,  91,0.49,1.00,0.7796
603,14,18,97.71,HIGH,1088,832,1152,896,64,64, 611,1.00,1.00,0.8597
604,14,19,89.06,HIGH,1152,832,1216,896,64,64, 198,1.00,1.00,0.8076
605,14,20,67.19,MEDIUM,1216,832,1280,896,64,64, 229,1.00,0.20,0.6345
606,14,21,45.31,MEDIUM,1280,832,1344,896,64,64, 310,1.00,0.20,0.4597
607,14,22,34.11,MEDIUM,1344,832,1408,896,64,64, 359,1.00,0.20,0.3328
608,14,23,55.15,MEDIUM,1408,832,1472,896,64,64, 238,1.00,0.20,0.5417
609,14,24,51.10,MEDIUM,1472,832,1536,896,64,64, 312,1.00,0.20,0.5200
610,14,25,55.22,MEDIUM,1536,832,1600,896,64,64, 400,1.00,0.20,0.5727
611,14,26,31.20,MEDIUM,1600,832,1664,896,64,64, 338,1.00,0.20,0.2916
613,14,28,24.66,MEDIUM,1728,832,1792,896,64,64, 241,1.00,0.20,0.1915
614,14,29,56.03,MEDIUM,1792,832,1856,896,64,64, 289,1.00,0.20,0.5612
615,14,30,78.76,MEDIUM,1856,832,1920,896,64,64, 173,1.00,0.20,0.6892
616,14,31,65.80,MEDIUM,1920,832,1984,896,64,64, 176,1.00,0.20,0.6086
617,14,32,66.87,MEDIUM,1984,832,2048,896,64,64, 192,1.00,0.20,0.6216
618,14,33,90.80,HIGH,2048,832,2112,896,64,64, 141,1.00,1.00,0.8034
619,14,34,98.29,HIGH,2112,832,2176,896,64,64,  48,1.00,1.00,0.7903
620,14,35,93.65,HIGH,2176,832,2240,896,64,64,  74,1.00,1.00,0.7908
621,14,36,99.27,HIGH,2240,832,2304,896,64,64, 100,1.00,1.00,0.8199
622,14,37,60.28,MEDIUM,2304,832,2368,896,64,64,  42,1.00,0.20,0.4493
638,15,8,48.41,MEDIUM,448,896,512,960,64,64,   7,1.00,0.20,0.1729
639,15,9,80.25,HIGH,512,896,576,960,64,64,  20,1.00,1.00,0.6628
640,15,10,78.52,MEDIUM,576,896,640,960,64,64,  12,1.00,0.20,0.4347
641,15,11,93.38,HIGH,640,896,704,960,64,64,   6,1.00,1.00,0.6332
642,15,12,85.84,HIGH,704,896,768,960,64,64,  37,0.49,1.00,0.6856
643,15,13,87.77,HIGH,768,896,832,960,64,64,  10,0.49,1.00,0.5781
644,15,14,84.18,HIGH,832,896,896,960,64,64,  12,0.49,1.00,0.5738
645,15,15,93.43,HIGH,896,896,960,960,64,64,  10,0.49,1.00,0.6026
646,15,16,93.99,HIGH,960,896,1024,960,64,64,  81,0.49,1.00,0.7660
647,15,17,92.24,HIGH,1024,896,1088,960,64,64, 510,1.00,1.00,0.8414
648,15,18,73.00,MEDIUM,1088,896,1152,960,64,64,  74,1.00,0.20,0.5954
649,15,19,99.61,HIGH,1152,896,1216,960,64,64,  41,1.00,1.00,0.7879
650,15,20,98.90,HIGH,1216,896,1280,960,64,64,  52,1.00,1.00,0.7956
651,15,21,99.80,HIGH,1280,896,1344,960,64,64,  63,1.00,1.00,0.8058
652,15,22,79.49,MEDIUM,1344,896,1408,960,64,64,  49,1.00,0.20,0.6010
653,15,23,83.28,HIGH,1408,896,1472,960,64,64,  55,1.00,1.00,0.7365
654,15,24,56.37,MEDIUM,1472,896,1536,960,64,64,  61,1.00,0.20,0.4505
663,15,33,21.41,MEDIUM,2048,896,2112,960,64,64, 131,1.00,0.20,0.1315
664,15,34,48.93,MEDIUM,2112,896,2176,960,64,64, 171,1.00,0.20,0.4603
665,15,35,29.86,MEDIUM,2176,896,2240,960,64,64, 174,1.00,0.20,0.2418
667,15,37,29.37,MEDIUM,2304,896,2368,960,64,64,  35,1.00,0.20,0.1524
683,16,8,42.90,MEDIUM,448,960,512,1024,64,64, 143,1.00,0.20,0.3841
684,16,9,97.39,HIGH,512,960,576,1024,64,64, 122,0.49,1.00,0.7956
685,16,10,97.73,HIGH,576,960,640,1024,64,64,  65,0.49,1.00,0.7695
686,16,11,97.90,HIGH,640,960,704,1024,64,64,  14,0.49,1.00,0.6609
687,16,12,96.19,HIGH,704,960,768,1024,64,64,  26,0.49,1.00,0.7081
688,16,13,94.75,HIGH,768,960,832,1024,64,64,   8,0.49,1.00,0.5912
689,16,14,77.78,MEDIUM,832,960,896,1024,64,64,  13,1.00,0.20,0.4380
690,16,15,93.43,HIGH,896,960,960,1024,64,64,  11,0.49,1.00,0.6210
691,16,16,99.37,HIGH,960,960,1024,1024,64,64, 151,0.49,1.00,0.8100
692,16,17,99.90,HIGH,1024,960,1088,1024,64,64, 200,0.49,1.00,0.8210
693,16,18,99.78,HIGH,1088,960,1152,1024,64,64, 106,0.49,1.00,0.7979
694,16,19,99.76,HIGH,1152,960,1216,1024,64,64,  97,1.00,1.00,0.8203
695,16,20,99.85,HIGH,1216,960,1280,1024,64,64, 116,1.00,1.00,0.8260
696,16,21,97.49,HIGH,1280,960,1344,1024,64,64, 171,1.00,1.00,0.8302
697,16,22,86.87,HIGH,1344,960,1408,1024,64,64,  91,1.00,1.00,0.7733
698,16,23,80.79,HIGH,1408,960,1472,1024,64,64, 122,1.00,1.00,0.7584
699,16,24,92.80,HIGH,1472,960,1536,1024,64,64, 211,1.00,1.00,0.8218
700,16,25,95.83,HIGH,1536,960,1600,1024,64,64, 227,1.00,1.00,0.8329
701,16,26,45.51,MEDIUM,1600,960,1664,1024,64,64,  32,1.00,0.20,0.2936
728,17,8,27.05,MEDIUM,448,1024,512,1088,64,64,  13,1.00,0.20,0.0867
729,17,9,98.73,HIGH,512,1024,576,1088,64,64,  50,0.49,1.00,0.7594
