Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 6000x3240
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 6000x3240
Scaled Tile Size: 64x64
Total Mask: 95.91%, Total Tissue: 4.09%
Tiles: 94x51 = 4794
    81 ( 1.69%) tiles >=80% tissue
   302 ( 6.30%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
1051,12,17,14.75,MEDIUM,1024,704,1088,768,64,64,1743,1.00,0.20,0.1130
1142,13,14,16.11,MEDIUM,832,768,896,832,64,64, 263,1.00,0.20,0.0937
1157,13,29,15.70,MEDIUM,1792,768,1856,832,64,64,  87,1.00,0.20,0.0669
1237,14,15,13.94,MEDIUM,896,832,960,896,64,64,1086,1.00,0.20,0.0947
1245,14,23,13.75,MEDIUM,1408,832,1472,896,64,64, 699,1.00,0.20,0.0855
1251,14,29,13.72,MEDIUM,1792,832,1856,896,64,64,  52,1.00,0.20,0.0438
1339,15,23,22.39,MEDIUM,1408,896,1472,960,64,64, 692,1.00,0.20,0.1984
1340,15,24,15.92,MEDIUM,1472,896,1536,960,64,64, 583,1.00,0.20,0.1078
1344,15,28,18.77,MEDIUM,1728,896,1792,960,64,64,  39,1.00,0.20,0.0711
1418,16,8,12.92,MEDIUM,448,960,512,1024,64,64,  60,1.00,0.20,0.0410
1425,16,15,24.24,MEDIUM,896,960,960,1024,64,64, 146,1.00,0.20,0.1670
1437,16,27,24.02,MEDIUM,1664,960,1728,1024,64,64,  25,1.00,0.20,0.0938
1495,16,85,17.80,MEDIUM,5376,960,5440,1024,64,64,  21,1.00,0.20,0.0493
1513,17,9,15.14,MEDIUM,512,1024,576,1088,64,64,  46,1.00,0.20,0.0507
1514,17,10,20.87,MEDIUM,576,1024,640,1088,64,64,  19,1.00,0.20,0.0634
1515,17,11,38.53,MEDIUM,640,1024,704,1088,64,64,  14,1.00,0.20,0.1677
1516,17,12,81.25,HIGH,704,1024,768,1088,64,64,  40,1.00,1.00,0.7099
1517,17,13,83.89,HIGH,768,1024,832,1088,64,64,  31,1.00,1.00,0.7091
1518,17,14,91.77,HIGH,832,1024,896,1088,64,64,  25,1.00,1.00,0.7330
1519,17,15,95.26,HIGH,896,1024,960,1088,64,64,  34,1.00,1.00,0.7627
1520,17,16,90.75,HIGH,960,1024,1024,1088,64,64,  78,1.00,1.00,0.7828
1521,17,17,89.45,HIGH,1024,1024,1088,1088,64,64,  26,1.00,1.00,0.7250
1522,17,18,73.24,MEDIUM,1088,1024,1152,1088,64,64,  10,1.00,0.20,0.3641
1523,17,19,44.97,MEDIUM,1152,1024,1216,1088,64,64,  24,1.00,0.20,0.2610
1529,17,25,15.75,MEDIUM,1536,1024,1600,1088,64,64,  16,1.00,0.20,0.0348
1530,17,26,26.20,MEDIUM,1600,1024,1664,1088,64,64,  35,1.00,0.20,0.1245
1587,17,83,14.99,MEDIUM,5248,1024,5312,1088,64,64,  37,1.00,0.20,0.0458
