Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2176x1696
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2176x1696
Scaled Tile Size: 64x64
Total Mask: 86.11%, Total Tissue: 13.89%
Tiles: 34x27 = 918
    66 ( 7.19%) tiles >=80% tissue
   121 (13.18%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
156,5,20,22.14,MEDIUM,1216,256,1280,320,64,64, 139,1.00,0.20,0.1414
188,6,18,20.14,MEDIUM,1088,320,1152,384,64,64,   0,1.00,0.20,0.0000
189,6,19,75.10,MEDIUM,1152,320,1216,384,64,64,   0,1.00,0.20,0.0483
190,6,20,70.46,MEDIUM,1216,320,1280,384,64,64,  16,1.00,0.20,0.4198
191,6,21,37.70,MEDIUM,1280,320,1344,384,64,64,  15,1.00,0.20,0.1659
221,7,17,23.61,MEDIUM,1024,384,1088,448,64,64,   0,1.00,0.20,0.0000
222,7,18,56.01,MEDIUM,1088,384,1152,448,64,64,  70,1.00,0.20,0.4593
223,7,19,85.13,HIGH,1152,384,1216,448,64,64,  34,1.00,1.00,0.7202
224,7,20,77.51,MEDIUM,1216,384,1280,448,64,64,  12,1.00,0.20,0.4216
225,7,21,61.13,MEDIUM,1280,384,1344,448,64,64,   3,1.00,0.20,0.1569
231,7,27,22.44,MEDIUM,1664,384,1728,448,64,64,   0,1.00,0.20,0.0000
232,7,28,18.07,MEDIUM,1728,384,1792,448,64,64,   0,1.00,0.20,0.0000
233,7,29,46.04,MEDIUM,1792,384,1856,448,64,64,   4,1.00,0.20,0.1144
234,7,30,58.94,MEDIUM,1856,384,1920,448,64,64,  68,1.00,0.20,0.4818
254,8,16,25.15,MEDIUM,960,448,1024,512,64,64,  82,1.00,0.20,0.1528
255,8,17,36.91,MEDIUM,1024,448,1088,512,64,64,  12,1.00,0.20,0.1416
256,8,18,55.93,MEDIUM,1088,448,1152,512,64,64,  87,1.00,0.20,0.4770
257,8,19,85.96,HIGH,1152,448,1216,512,64,64,  40,1.00,1.00,0.7330
258,8,20,87.87,HIGH,1216,448,1280,512,64,64,   2,1.00,1.00,0.4815
259,8,21,93.43,HIGH,1280,448,1344,512,64,64,   6,1.00,1.00,0.6219
260,8,22,32.40,MEDIUM,1344,448,1408,512,64,64,   4,1.00,0.20,0.0618
263,8,25,34.91,MEDIUM,1536,448,1600,512,64,64,   0,1.00,0.20,0.0000
264,8,26,44.70,MEDIUM,1600,448,1664,512,64,64,  21,1.00,0.20,0.2498
265,8,27,22.66,MEDIUM,1664,448,1728,512,64,64,  10,1.00,0.20,0.0526
266,8,28,31.42,MEDIUM,1728,448,1792,512,64,64,   0,1.00,0.20,0.0000
267,8,29,58.37,MEDIUM,1792,448,1856,512,64,64,   0,1.00,0.20,0.0297
268,8,30,94.34,HIGH,1856,448,1920,512,64,64, 181,1.00,1.00,0.8225
269,8,31,42.46,MEDIUM,1920,448,1984,512,64,64, 128,1.00,0.20,0.3717
288,9,16,43.58,MEDIUM,960,512,1024,576,64,64,   0,1.00,0.20,0.0000
289,9,17,64.60,MEDIUM,1024,512,1088,576,64,64,   0,1.00,0.20,0.0000
290,9,18,71.97,MEDIUM,1088,512,1152,576,64,64,   0,1.00,0.20,0.0000
291,9,19,75.88,MEDIUM,1152,512,1216,576,64,64,   0,1.00,0.20,0.0000
292,9,20,88.40,HIGH,1216,512,1280,576,64,64,   6,1.00,1.00,0.6109
293,9,21,98.32,HIGH,1280,512,1344,576,64,64,  25,1.00,1.00,0.7589
294,9,22,72.29,MEDIUM,1344,512,1408,576,64,64,   5,1.00,0.20,0.2700
