Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 5160x3240
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 5160x3240
Scaled Tile Size: 64x64
Total Mask: 95.56%, Total Tissue: 4.44%
Tiles: 81x51 = 4131
    52 ( 1.26%) tiles >=80% tissue
   302 ( 7.31%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
982,13,10,17.16,MEDIUM,576,768,640,832,64,64,  42,1.00,0.20,0.0616
983,13,11,54.61,MEDIUM,640,768,704,832,64,64,  98,1.00,0.20,0.4744
984,13,12,53.27,MEDIUM,704,768,768,832,64,64, 150,1.00,0.20,0.4937
985,13,13,50.10,MEDIUM,768,768,832,832,64,64, 310,1.00,0.20,0.5098
986,13,14,75.12,MEDIUM,832,768,896,832,64,64, 228,1.00,0.20,0.6843
987,13,15,71.24,MEDIUM,896,768,960,832,64,64, 339,1.00,0.20,0.6822
988,13,16,63.82,MEDIUM,960,768,1024,832,64,64, 646,1.00,0.20,0.6648
989,13,17,56.47,MEDIUM,1024,768,1088,832,64,64, 231,1.00,0.20,0.5514
990,13,18,62.72,MEDIUM,1088,768,1152,832,64,64, 119,1.00,0.20,0.5581
991,13,19,59.16,MEDIUM,1152,768,1216,832,64,64,  88,1.00,0.20,0.5059
992,13,20,47.34,MEDIUM,1216,768,1280,832,64,64,  62,1.00,0.20,0.3672
993,13,21,14.97,MEDIUM,1280,768,1344,832,64,64,  54,1.00,0.20,0.0525
1032,13,60,17.77,MEDIUM,3776,768,3840,832,64,64, 438,1.00,0.20,0.1241
1033,13,61,36.21,MEDIUM,3840,768,3904,832,64,64, 334,1.00,0.20,0.3559
1034,13,62,34.47,MEDIUM,3904,768,3968,832,64,64, 399,1.00,0.20,0.3429
1035,13,63,43.26,MEDIUM,3968,768,4032,832,64,64, 216,1.00,0.20,0.4150
1036,13,64,64.01,MEDIUM,4032,768,4096,832,64,64, 350,1.00,0.20,0.6360
1037,13,65,67.97,MEDIUM,4096,768,4160,832,64,64, 467,1.00,0.20,0.6776
1038,13,66,61.18,MEDIUM,4160,768,4224,832,64,64, 440,1.00,0.20,0.6269
1039,13,67,79.17,MEDIUM,4224,768,4288,832,64,64, 452,1.00,0.20,0.7390
1040,13,68,81.10,HIGH,4288,768,4352,832,64,64, 163,1.00,1.00,0.7704
1041,13,69,87.04,HIGH,4352,768,4416,832,64,64,  17,1.00,1.00,0.6873
1042,13,70,64.75,MEDIUM,4416,768,4480,832,64,64,   8,1.00,0.20,0.2923
1043,13,71,26.42,MEDIUM,4480,768,4544,832,64,64,  11,1.00,0.20,0.0751
1061,14,8,50.32,MEDIUM,448,832,512,896,64,64,  30,1.00,0.20,0.3306
1062,14,9,83.40,HIGH,512,832,576,896,64,64, 178,1.00,1.00,0.7829
1063,14,10,97.66,HIGH,576,832,640,896,64,64, 492,0.49,1.00,0.8396
1064,14,11,98.63,HIGH,640,832,704,896,64,64, 832,0.49,1.00,0.8540
1065,14,12,98.27,HIGH,704,832,768,896,64,64, 743,0.49,1.00,0.8507
1066,14,13,98.27,HIGH,768,832,832,896,64,64, 768,0.49,1.00,0.8514
1067,14,14,98.51,HIGH,832,832,896,896,64,64, 546,0.49,1.00,0.8444
1068,14,15,97.58,HIGH,896,832,960,896,64,64, 852,1.00,1.00,0.8653
1069,14,16,98.56,HIGH,960,832,1024,896,64,64, 801,0.49,1.00,0.8530
1070,14,17,97.36,HIGH,1024,832,1088,896,64,64, 634,0.49,1.00,0.8448
1071,14,18,96.44,HIGH,1088,832,1152,896,64,64, 469,0.49,1.00,0.8350
1072,14,19,92.65,HIGH,1152,832,1216,896,64,64, 460,1.00,1.00,0.8404
1073,14,20,77.56,MEDIUM,1216,832,1280,896,64,64,  52,1.00,0.20,0.5950
1074,14,21,73.68,MEDIUM,1280,832,1344,896,64,64,  18,1.00,0.20,0.4543
1075,14,22,44.31,MEDIUM,1344,832,1408,896,64,64,  48,1.00,0.20,0.3163
1111,14,58,57.81,MEDIUM,3648,832,3712,896,64,64, 109,1.00,0.20,0.5107
1112,14,59,83.74,HIGH,3712,832,3776,896,64,64, 455,1.00,1.00,0.8111
1113,14,60,78.22,MEDIUM,3776,832,3840,896,64,64, 573,1.00,0.20,0.7440
1114,14,61,96.44,HIGH,3840,832,3904,896,64,64, 764,1.00,1.00,0.8606
1115,14,62,90.70,HIGH,3904,832,3968,896,64,64, 746,1.00,1.00,0.8448
1116,14,63,97.71,HIGH,3968,832,4032,896,64,64, 535,1.00,1.00,0.8571
1117,14,64,98.32,HIGH,4032,832,4096,896,64,64, 460,1.00,1.00,0.8557
