Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 6882x2755
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 6882x2755
Scaled Tile Size: 64x64
Total Mask: 98.00%, Total Tissue: 2.00%
Tiles: 108x44 = 4752
    10 ( 0.21%) tiles >=80% tissue
   197 ( 4.15%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
948,9,84,28.39,MEDIUM,5312,512,5376,576,64,64,   0,1.00,0.20,0.0000
1053,10,81,36.06,MEDIUM,5120,576,5184,640,64,64, 133,1.00,0.20,0.3013
1054,10,82,42.65,MEDIUM,5184,576,5248,640,64,64,   1,1.00,0.20,0.0411
1055,10,83,63.06,MEDIUM,5248,576,5312,640,64,64,   0,1.00,0.20,0.0000
1056,10,84,49.85,MEDIUM,5312,576,5376,640,64,64,   0,1.00,0.20,0.0231
1126,11,46,30.49,MEDIUM,2880,640,2944,704,64,64,   4,1.00,0.20,0.0482
1127,11,47,20.17,MEDIUM,2944,640,3008,704,64,64,   0,1.00,0.20,0.0007
1154,11,74,42.24,MEDIUM,4672,640,4736,704,64,64,  29,1.00,0.20,0.2561
1155,11,75,24.17,MEDIUM,4736,640,4800,704,64,64,   0,1.00,0.20,0.0000
1156,11,76,18.24,MEDIUM,4800,640,4864,704,64,64,   0,1.00,0.20,0.0000
1157,11,77,32.08,MEDIUM,4864,640,4928,704,64,64,  35,1.00,0.20,0.1768
1158,11,78,34.67,MEDIUM,4928,640,4992,704,64,64,   0,1.00,0.20,0.0000
1159,11,79,16.33,MEDIUM,4992,640,5056,704,64,64,   0,1.00,0.20,0.0000
1160,11,80,33.45,MEDIUM,5056,640,5120,704,64,64,   0,1.00,0.20,0.0000
1161,11,81,47.12,MEDIUM,5120,640,5184,704,64,64, 181,1.00,0.20,0.4452
1162,11,82,51.81,MEDIUM,5184,640,5248,704,64,64,  13,1.00,0.20,0.2522
1163,11,83,64.45,MEDIUM,5248,640,5312,704,64,64,   0,1.00,0.20,0.0000
1164,11,84,55.05,MEDIUM,5312,640,5376,704,64,64,   0,1.00,0.20,0.0000
1234,12,46,18.65,MEDIUM,2880,704,2944,768,64,64,  19,1.00,0.20,0.0519
1235,12,47,50.51,MEDIUM,2944,704,3008,768,64,64,  93,1.00,0.20,0.4317
1236,12,48,16.63,MEDIUM,3008,704,3072,768,64,64,   5,1.00,0.20,0.0193
1237,12,49,20.53,MEDIUM,3072,704,3136,768,64,64,   1,1.00,0.20,0.0081
1260,12,72,33.76,MEDIUM,4544,704,4608,768,64,64,  52,1.00,0.20,0.2177
1261,12,73,83.50,HIGH,4608,704,4672,768,64,64, 117,1.00,1.00,0.7689
1262,12,74,82.96,HIGH,4672,704,4736,768,64,64,  60,1.00,1.00,0.7387
1263,12,75,70.26,MEDIUM,4736,704,4800,768,64,64,  27,1.00,0.20,0.4775
1264,12,76,60.38,MEDIUM,4800,704,4864,768,64,64,  25,1.00,0.20,0.3949
1265,12,77,54.96,MEDIUM,4864,704,4928,768,64,64,   0,1.00,0.20,0.0000
1266,12,78,33.35,MEDIUM,4928,704,4992,768,64,64,   0,1.00,0.20,0.0000
1267,12,79,24.00,MEDIUM,4992,704,5056,768,64,64,   0,1.00,0.20,0.0000
