Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 5160x2160
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 5160x2160
Scaled Tile Size: 64x64
Total Mask: 84.64%, Total Tissue: 15.36%
Tiles: 81x34 = 2754
   278 (10.09%) tiles >=80% tissue
   306 (11.11%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
252,4,9,33.74,MEDIUM,512,192,576,256,64,64,  19,1.00,0.20,0.1517
253,4,10,73.19,MEDIUM,576,192,640,256,64,64,   6,1.00,0.20,0.2921
254,4,11,49.80,MEDIUM,640,192,704,256,64,64,   3,1.00,0.20,0.1091
255,4,12,15.60,MEDIUM,704,192,768,256,64,64,   2,1.00,0.20,0.0089
332,5,8,23.90,MEDIUM,448,256,512,320,64,64,  50,1.00,0.20,0.1205
333,5,9,89.65,HIGH,512,256,576,320,64,64,  17,1.00,1.00,0.6985
334,5,10,82.93,HIGH,576,256,640,320,64,64,   2,1.00,1.00,0.4511
335,5,11,74.02,MEDIUM,640,256,704,320,64,64,   2,1.00,0.20,0.1667
336,5,12,68.33,MEDIUM,704,256,768,320,64,64,   1,1.00,0.20,0.0796
337,5,13,41.11,MEDIUM,768,256,832,320,64,64,   3,1.00,0.20,0.0697
351,5,27,19.34,MEDIUM,1664,256,1728,320,64,64,  88,1.00,0.20,0.0986
412,6,7,63.65,MEDIUM,384,320,448,384,64,64,  42,1.00,0.20,0.4754
413,6,8,94.46,HIGH,448,320,512,384,64,64,  21,1.00,1.00,0.7349
414,6,9,91.48,HIGH,512,320,576,384,64,64,   6,1.00,1.00,0.6209
415,6,10,89.58,HIGH,576,320,640,384,64,64,  11,1.00,1.00,0.6665
416,6,11,78.32,MEDIUM,640,320,704,384,64,64,  25,1.00,0.20,0.5217
417,6,12,76.12,MEDIUM,704,320,768,384,64,64,   5,1.00,0.20,0.2964
418,6,13,43.75,MEDIUM,768,320,832,384,64,64,   1,1.00,0.20,0.0422
471,6,66,24.93,MEDIUM,4160,320,4224,384,64,64,  18,1.00,0.20,0.0877
472,6,67,36.16,MEDIUM,4224,320,4288,384,64,64,   9,1.00,0.20,0.1186
473,6,68,48.63,MEDIUM,4288,320,4352,384,64,64,  13,1.00,0.20,0.2324
474,6,69,42.55,MEDIUM,4352,320,4416,384,64,64,  17,1.00,0.20,0.2097
492,7,6,88.26,HIGH,320,384,384,448,64,64,  55,1.00,1.00,0.7583
493,7,7,99.00,HIGH,384,384,448,448,64,64,  62,1.00,1.00,0.8026
494,7,8,98.22,HIGH,448,384,512,448,64,64,  44,1.00,1.00,0.7861
495,7,9,94.53,HIGH,512,384,576,448,64,64,   2,1.00,1.00,0.5107
496,7,10,88.06,HIGH,576,384,640,448,64,64,  28,1.00,1.00,0.7231
497,7,11,87.79,HIGH,640,384,704,448,64,64,  28,1.00,1.00,0.7210
498,7,12,76.78,MEDIUM,704,384,768,448,64,64,   3,1.00,0.20,0.1948
499,7,13,70.09,MEDIUM,768,384,832,448,64,64,   4,1.00,0.20,0.2281
512,7,26,23.83,MEDIUM,1600,384,1664,448,64,64,   3,1.00,0.20,0.0261
513,7,27,30.05,MEDIUM,1664,384,1728,448,64,64,   7,1.00,0.20,0.0741
551,7,65,29.27,MEDIUM,4096,384,4160,448,64,64,  66,1.00,0.20,0.1856
552,7,66,71.53,MEDIUM,4160,384,4224,448,64,64,  37,1.00,0.20,0.5201
553,7,67,71.02,MEDIUM,4224,384,4288,448,64,64,  51,1.00,0.20,0.5486
554,7,68,56.40,MEDIUM,4288,384,4352,448,64,64,  92,1.00,0.20,0.4853
555,7,69,69.29,MEDIUM,4352,384,4416,448,64,64, 128,1.00,0.20,0.6116
556,7,70,80.32,HIGH,4416,384,4480,448,64,64, 142,1.00,1.00,0.7620
557,7,71,69.58,MEDIUM,4480,384,4544,448,64,64, 131,1.00,0.20,0.6155
558,7,72,48.44,MEDIUM,4544,384,4608,448,64,64,  48,1.00,0.20,0.3569
559,7,73,21.14,MEDIUM,4608,384,4672,448,64,64,  35,1.00,0.20,0.0849
572,8,5,53.74,MEDIUM,256,448,320,512,64,64,  39,1.00,0.20,0.3852
573,8,6,99.51,HIGH,320,448,384,512,64,64,  58,1.00,1.00,0.8017
574,8,7,99.68,HIGH,384,448,448,512,64,64,  62,0.49,1.00,0.7736
575,8,8,98.51,HIGH,448,448,512,512,64,64,  70,1.00,1.00,0.8052
576,8,9,87.72,HIGH,512,448,576,512,64,64,   5,1.00,1.00,0.5828
577,8,10,79.59,MEDIUM,576,448,640,512,64,64,   1,1.00,0.20,0.0974
578,8,11,80.52,HIGH,640,448,704,512,64,64,  17,1.00,1.00,0.6517
579,8,12,66.04,MEDIUM,704,448,768,512,64,64,   2,1.00,0.20,0.1497
580,8,13,69.17,MEDIUM,768,448,832,512,64,64,   1,1.00,0.20,0.0812
592,8,25,22.75,MEDIUM,1536,448,1600,512,64,64,   6,1.00,0.20,0.0401
593,8,26,88.04,HIGH,1600,448,1664,512,64,64,   2,1.00,1.00,0.4660
594,8,27,45.63,MEDIUM,1664,448,1728,512,64,64,   3,1.00,0.20,0.0960
630,8,63,22.97,MEDIUM,3968,448,4032,512,64,64,  71,1.00,0.20,0.1254
631,8,64,71.14,MEDIUM,4032,448,4096,512,64,64,  51,1.00,0.20,0.5508
632,8,65,93.82,HIGH,4096,448,4160,512,64,64,  66,1.00,1.00,0.7871
633,8,66,98.58,HIGH,4160,448,4224,512,64,64,  62,0.49,1.00,0.7701
634,8,67,76.98,MEDIUM,4224,448,4288,512,64,64, 138,1.00,0.20,0.6653
635,8,68,99.46,HIGH,4288,448,4352,512,64,64, 180,1.00,1.00,0.8373
636,8,69,99.83,HIGH,4352,448,4416,512,64,64, 177,1.00,1.00,0.8378
