Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2944x3040
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2944x3040
Scaled Tile Size: 64x64
Total Mask: 81.60%, Total Tissue: 18.40%
Tiles: 46x48 = 2208
   221 (10.01%) tiles >=80% tissue
   406 (18.39%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
238,6,8,49.44,MEDIUM,448,320,512,384,64,64,   2,1.00,0.20,0.0605
239,6,9,65.55,MEDIUM,512,320,576,384,64,64,   5,1.00,0.20,0.2343
284,7,8,74.58,MEDIUM,448,384,512,448,64,64,   0,1.00,0.20,0.0000
285,7,9,94.73,HIGH,512,384,576,448,64,64,   6,1.00,1.00,0.6391
286,7,10,90.26,HIGH,576,384,640,448,64,64,   8,1.00,1.00,0.6377
330,8,8,78.03,MEDIUM,448,448,512,512,64,64,   0,1.00,0.20,0.0000
331,8,9,85.72,HIGH,512,448,576,512,64,64,   4,1.00,1.00,0.5496
332,8,10,93.92,HIGH,576,448,640,512,64,64,   8,1.00,1.00,0.6562
333,8,11,89.31,HIGH,640,448,704,512,64,64,  10,1.00,1.00,0.6567
339,8,17,59.30,MEDIUM,1024,448,1088,512,64,64,   4,1.00,0.20,0.1686
340,8,18,98.27,HIGH,1088,448,1152,512,64,64,   7,1.00,1.00,0.6657
341,8,19,86.33,HIGH,1152,448,1216,512,64,64,   7,1.00,1.00,0.6029
342,8,20,48.36,MEDIUM,1216,448,1280,512,64,64,   4,1.00,0.20,0.1124
376,9,8,13.70,MEDIUM,448,512,512,576,64,64,   0,1.00,0.20,0.0000
377,9,9,59.01,MEDIUM,512,512,576,576,64,64,   2,1.00,0.20,0.1070
378,9,10,85.16,HIGH,576,512,640,576,64,64,   2,1.00,1.00,0.4106
379,9,11,95.34,HIGH,640,512,704,576,64,64,   7,1.00,1.00,0.6505
380,9,12,86.52,HIGH,704,512,768,576,64,64,   7,1.00,1.00,0.6024
385,9,17,43.29,MEDIUM,1024,512,1088,576,64,64,  46,1.00,0.20,0.3036
386,9,18,89.31,HIGH,1088,512,1152,576,64,64,   4,1.00,1.00,0.5632
387,9,19,91.26,HIGH,1152,512,1216,576,64,64,  14,1.00,1.00,0.6933
388,9,20,96.46,HIGH,1216,512,1280,576,64,64,   5,1.00,1.00,0.6328
389,9,21,96.83,HIGH,1280,512,1344,576,64,64,   4,1.00,1.00,0.6124
390,9,22,59.50,MEDIUM,1344,512,1408,576,64,64,   4,1.00,0.20,0.1673
398,9,30,36.89,MEDIUM,1856,512,1920,576,64,64,   1,1.00,0.20,0.0260
399,9,31,24.22,MEDIUM,1920,512,1984,576,64,64,   2,1.00,0.20,0.0180
423,10,9,15.33,MEDIUM,512,576,576,640,64,64,   3,1.00,0.20,0.0097
424,10,10,69.63,MEDIUM,576,576,640,640,64,64,   4,1.00,0.20,0.2157
425,10,11,84.52,HIGH,640,576,704,640,64,64,   2,1.00,1.00,0.4181
426,10,12,97.27,HIGH,704,576,768,640,64,64,   7,1.00,1.00,0.6648
427,10,13,52.22,MEDIUM,768,576,832,640,64,64,   6,1.00,0.20,0.1754
431,10,17,30.05,MEDIUM,1024,576,1088,640,64,64, 677,1.00,0.20,0.3075
432,10,18,84.40,HIGH,1088,576,1152,640,64,64,   1,1.00,1.00,0.3437
433,10,19,79.96,MEDIUM,1152,576,1216,640,64,64,   2,1.00,0.20,0.1859
434,10,20,83.57,HIGH,1216,576,1280,640,64,64,   1,1.00,1.00,0.2671
435,10,21,91.16,HIGH,1280,576,1344,640,64,64,   3,1.00,1.00,0.5151
436,10,22,95.87,HIGH,1344,576,1408,640,64,64,   5,1.00,1.00,0.6245
437,10,23,61.50,MEDIUM,1408,576,1472,640,64,64,   5,1.00,0.20,0.2017
444,10,30,72.68,MEDIUM,1856,576,1920,640,64,64, 181,1.00,0.20,0.6566
445,10,31,94.14,HIGH,1920,576,1984,640,64,64,   4,1.00,1.00,0.5983
446,10,32,90.14,HIGH,1984,576,2048,640,64,64,   4,1.00,1.00,0.5751
447,10,33,52.51,MEDIUM,2048,576,2112,640,64,64,   4,1.00,0.20,0.1492
468,11,8,21.07,MEDIUM,448,640,512,704,64,64,   1,1.00,0.20,0.0103
469,11,9,18.36,MEDIUM,512,640,576,704,64,64,   0,1.00,0.20,0.0014
470,11,10,30.22,MEDIUM,576,640,640,704,64,64,   2,1.00,0.20,0.0356
471,11,11,79.76,MEDIUM,640,640,704,704,64,64,   3,1.00,0.20,0.2107
472,11,12,91.70,HIGH,704,640,768,704,64,64,   5,1.00,1.00,0.5895
473,11,13,94.14,HIGH,768,640,832,704,64,64,  10,1.00,1.00,0.6766
478,11,18,73.61,MEDIUM,1088,640,1152,704,64,64,   0,1.00,0.20,0.0000
479,11,19,35.40,MEDIUM,1152,640,1216,704,64,64,   2,1.00,0.20,0.0362
480,11,20,55.88,MEDIUM,1216,640,1280,704,64,64,   1,1.00,0.20,0.0705
481,11,21,76.44,MEDIUM,1280,640,1344,704,64,64,   1,1.00,0.20,0.1220
482,11,22,86.16,HIGH,1344,640,1408,704,64,64,   1,1.00,1.00,0.4001
483,11,23,97.09,HIGH,1408,640,1472,704,64,64,  18,1.00,1.00,0.7350
484,11,24,44.65,MEDIUM,1472,640,1536,704,64,64,   8,1.00,0.20,0.1589
490,11,30,68.46,MEDIUM,1856,640,1920,704,64,64,   0,1.00,0.20,0.0249
491,11,31,76.98,MEDIUM,1920,640,1984,704,64,64,   0,1.00,0.20,0.0000
492,11,32,77.25,MEDIUM,1984,640,2048,704,64,64,   0,1.00,0.20,0.0151
493,11,33,92.53,HIGH,2048,640,2112,704,64,64,   9,1.00,1.00,0.6632
494,11,34,80.54,HIGH,2112,640,2176,704,64,64,   4,1.00,1.00,0.5153
513,12,7,23.27,MEDIUM,384,704,448,768,64,64,   0,1.00,0.20,0.0000
514,12,8,40.06,MEDIUM,448,704,512,768,64,64,   0,1.00,0.20,0.0000
515,12,9,62.35,MEDIUM,512,704,576,768,64,64,   0,1.00,0.20,0.0000
516,12,10,59.72,MEDIUM,576,704,640,768,64,64,   4,1.00,0.20,0.1832
517,12,11,76.71,MEDIUM,640,704,704,768,64,64,   4,1.00,0.20,0.2717
518,12,12,89.67,HIGH,704,704,768,768,64,64,   8,1.00,1.00,0.6341
519,12,13,97.12,HIGH,768,704,832,768,64,64,  12,1.00,1.00,0.7064
520,12,14,31.62,MEDIUM,832,704,896,768,64,64,   5,1.00,0.20,0.0627
524,12,18,16.85,MEDIUM,1088,704,1152,768,64,64,   0,1.00,0.20,0.0000
526,12,20,52.17,MEDIUM,1216,704,1280,768,64,64,   1,1.00,0.20,0.0639
527,12,21,68.97,MEDIUM,1280,704,1344,768,64,64,   2,1.00,0.20,0.1522
528,12,22,80.03,HIGH,1344,704,1408,768,64,64,   1,1.00,1.00,0.3436
529,12,23,90.92,HIGH,1408,704,1472,768,64,64,   3,1.00,1.00,0.5262
