Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2688x3024
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2688x3024
Scaled Tile Size: 64x64
Total Mask: 82.61%, Total Tissue: 17.39%
Tiles: 42x48 = 2016
   138 ( 6.85%) tiles >=80% tissue
   442 (21.92%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
72,2,30,38.84,MEDIUM,1856,64,1920,128,64,64,  66,1.00,0.20,0.2855
95,3,11,22.97,MEDIUM,640,128,704,192,64,64,   4,1.00,0.20,0.0306
97,3,13,28.37,MEDIUM,768,128,832,192,64,64,  64,1.00,0.20,0.1744
112,3,28,29.91,MEDIUM,1728,128,1792,192,64,64,   4,1.00,0.20,0.0526
113,3,29,36.67,MEDIUM,1792,128,1856,192,64,64,   0,1.00,0.20,0.0020
114,3,30,40.82,MEDIUM,1856,128,1920,192,64,64,  16,1.00,0.20,0.1907
115,3,31,27.54,MEDIUM,1920,128,1984,192,64,64,  55,1.00,0.20,0.1583
137,4,11,25.37,MEDIUM,640,192,704,256,64,64,   7,1.00,0.20,0.0531
138,4,12,33.94,MEDIUM,704,192,768,256,64,64,  60,1.00,0.20,0.2279
139,4,13,22.17,MEDIUM,768,192,832,256,64,64,  69,1.00,0.20,0.1168
140,4,14,56.25,MEDIUM,832,192,896,256,64,64,  72,1.00,0.20,0.4639
147,4,21,20.58,MEDIUM,1280,192,1344,256,64,64,   0,1.00,0.20,0.0034
150,4,24,15.82,MEDIUM,1472,192,1536,256,64,64,   9,0.49,0.20,0.0155
151,4,25,34.20,MEDIUM,1536,192,1600,256,64,64,   2,1.00,0.20,0.0423
152,4,26,57.74,MEDIUM,1600,192,1664,256,64,64,   1,1.00,0.20,0.0754
153,4,27,67.97,MEDIUM,1664,192,1728,256,64,64,  13,1.00,0.20,0.3740
154,4,28,47.36,MEDIUM,1728,192,1792,256,64,64,   5,1.00,0.20,0.1336
155,4,29,16.09,MEDIUM,1792,192,1856,256,64,64,   4,1.00,0.20,0.0145
156,4,30,29.81,MEDIUM,1856,192,1920,256,64,64,  15,1.00,0.20,0.1094
157,4,31,35.01,MEDIUM,1920,192,1984,256,64,64,  39,1.00,0.20,0.2107
179,5,11,14.50,MEDIUM,640,256,704,320,64,64,   0,1.00,0.20,0.0019
180,5,12,25.88,MEDIUM,704,256,768,320,64,64,  18,1.00,0.20,0.0931
182,5,14,43.19,MEDIUM,832,256,896,320,64,64,  47,1.00,0.20,0.3042
183,5,15,62.96,MEDIUM,896,256,960,320,64,64,   5,1.00,0.20,0.2101
184,5,16,20.90,MEDIUM,960,256,1024,320,64,64,   8,1.00,0.20,0.0402
185,5,17,18.07,MEDIUM,1024,256,1088,320,64,64,  60,1.00,0.20,0.0774
186,5,18,34.20,MEDIUM,1088,256,1152,320,64,64,   3,1.00,0.20,0.0544
187,5,19,32.89,MEDIUM,1152,256,1216,320,64,64,   1,1.00,0.20,0.0154
188,5,20,53.81,MEDIUM,1216,256,1280,320,64,64,   2,1.00,0.20,0.0766
189,5,21,18.26,MEDIUM,1280,256,1344,320,64,64,  12,1.00,0.20,0.0398
193,5,25,63.06,MEDIUM,1536,256,1600,320,64,64,   1,1.00,0.20,0.0677
194,5,26,80.52,HIGH,1600,256,1664,320,64,64,   2,1.00,1.00,0.3854
195,5,27,86.96,HIGH,1664,256,1728,320,64,64,   9,1.00,1.00,0.6317
196,5,28,72.44,MEDIUM,1728,256,1792,320,64,64,  17,1.00,0.20,0.4361
197,5,29,40.99,MEDIUM,1792,256,1856,320,64,64,   3,1.00,0.20,0.0687
198,5,30,83.50,HIGH,1856,256,1920,320,64,64,  25,1.00,1.00,0.6942
199,5,31,20.65,MEDIUM,1920,256,1984,320,64,64, 155,1.00,0.20,0.1288
215,6,5,14.50,MEDIUM,256,320,320,384,64,64,   0,1.00,0.20,0.0000
222,6,12,48.88,MEDIUM,704,320,768,384,64,64,   5,1.00,0.20,0.1343
223,6,13,24.93,MEDIUM,768,320,832,384,64,64,   1,1.00,0.20,0.0109
225,6,15,27.10,MEDIUM,896,320,960,384,64,64,   6,1.00,0.20,0.0519
226,6,16,47.19,MEDIUM,960,320,1024,384,64,64,  10,1.00,0.20,0.1956
227,6,17,36.67,MEDIUM,1024,320,1088,384,64,64,  20,1.00,0.20,0.1762
228,6,18,46.61,MEDIUM,1088,320,1152,384,64,64,   5,1.00,0.20,0.1319
229,6,19,38.23,MEDIUM,1152,320,1216,384,64,64,  10,1.00,0.20,0.1374
230,6,20,65.19,MEDIUM,1216,320,1280,384,64,64,  11,1.00,0.20,0.3273
231,6,21,70.78,MEDIUM,1280,320,1344,384,64,64,  10,1.00,0.20,0.3545
232,6,22,20.02,MEDIUM,1344,320,1408,384,64,64,   1,1.00,0.20,0.0045
236,6,26,21.61,MEDIUM,1600,320,1664,384,64,64,   0,1.00,0.20,0.0000
237,6,27,29.54,MEDIUM,1664,320,1728,384,64,64,   2,1.00,0.20,0.0269
238,6,28,61.74,MEDIUM,1728,320,1792,384,64,64,   9,1.00,0.20,0.2821
239,6,29,75.98,MEDIUM,1792,320,1856,384,64,64,   5,1.00,0.20,0.2955
240,6,30,50.73,MEDIUM,1856,320,1920,384,64,64,  60,1.00,0.20,0.3978
255,7,3,23.29,MEDIUM,128,384,192,448,64,64,   0,1.00,0.20,0.0000
256,7,4,63.62,MEDIUM,192,384,256,448,64,64,   0,1.00,0.20,0.0260
257,7,5,73.27,MEDIUM,256,384,320,448,64,64,   1,1.00,0.20,0.0677
258,7,6,56.59,MEDIUM,320,384,384,448,64,64,   2,1.00,0.20,0.0903
259,7,7,34.13,MEDIUM,384,384,448,448,64,64,   2,1.00,0.20,0.0325
260,7,8,26.83,MEDIUM,448,384,512,448,64,64,   2,1.00,0.20,0.0254
264,7,12,39.99,MEDIUM,704,384,768,448,64,64,   1,1.00,0.20,0.0338
265,7,13,79.59,MEDIUM,768,384,832,448,64,64,   1,1.00,0.20,0.1131
266,7,14,30.74,MEDIUM,832,384,896,448,64,64,  18,1.00,0.20,0.1249
269,7,17,38.60,MEDIUM,1024,384,1088,448,64,64,   0,1.00,0.20,0.0023
270,7,18,65.50,MEDIUM,1088,384,1152,448,64,64,   5,1.00,0.20,0.2167
271,7,19,78.76,MEDIUM,1152,384,1216,448,64,64,   2,1.00,0.20,0.1484
272,7,20,63.55,MEDIUM,1216,384,1280,448,64,64,   1,1.00,0.20,0.0674
273,7,21,57.86,MEDIUM,1280,384,1344,448,64,64,   1,1.00,0.20,0.0686
274,7,22,35.74,MEDIUM,1344,384,1408,448,64,64,   2,1.00,0.20,0.0411
275,7,23,33.20,MEDIUM,1408,384,1472,448,64,64,   4,1.00,0.20,0.0644
276,7,24,66.85,MEDIUM,1472,384,1536,448,64,64,   1,1.00,0.20,0.0892
277,7,25,64.94,MEDIUM,1536,384,1600,448,64,64,   1,1.00,0.20,0.0672
278,7,26,47.39,MEDIUM,1600,384,1664,448,64,64,   1,1.00,0.20,0.0401
279,7,27,76.37,MEDIUM,1664,384,1728,448,64,64,  12,1.00,0.20,0.4207
280,7,28,85.50,HIGH,1728,384,1792,448,64,64,  20,1.00,1.00,0.6893
281,7,29,56.15,MEDIUM,1792,384,1856,448,64,64,  52,1.00,0.20,0.4346
297,8,3,83.13,HIGH,128,448,192,512,64,64,   4,1.00,1.00,0.5260
298,8,4,88.79,HIGH,192,448,256,512,64,64,   0,1.00,1.00,0.2300
299,8,5,88.35,HIGH,256,448,320,512,64,64,   4,1.00,1.00,0.5412
301,8,7,51.64,MEDIUM,384,448,448,512,64,64,   9,1.00,0.20,0.2182
302,8,8,59.57,MEDIUM,448,448,512,512,64,64,   1,1.00,0.20,0.0565
306,8,12,58.59,MEDIUM,704,448,768,512,64,64,   4,1.00,0.20,0.1718
307,8,13,67.65,MEDIUM,768,448,832,512,64,64,   1,1.00,0.20,0.0845
308,8,14,37.79,MEDIUM,832,448,896,512,64,64,  14,1.00,0.20,0.1582
309,8,15,22.92,MEDIUM,896,448,960,512,64,64,  25,1.00,0.20,0.0861
310,8,16,20.31,MEDIUM,960,448,1024,512,64,64,  11,1.00,0.20,0.0454
312,8,18,61.50,MEDIUM,1088,448,1152,512,64,64,   4,1.00,0.20,0.1825
313,8,19,65.87,MEDIUM,1152,448,1216,512,64,64,   5,1.00,0.20,0.2187
314,8,20,58.20,MEDIUM,1216,448,1280,512,64,64,   2,1.00,0.20,0.1025
315,8,21,58.47,MEDIUM,1280,448,1344,512,64,64,   6,1.00,0.20,0.2037
316,8,22,70.68,MEDIUM,1344,448,1408,512,64,64,   1,1.00,0.20,0.0779
317,8,23,76.10,MEDIUM,1408,448,1472,512,64,64,   3,1.00,0.20,0.2319
318,8,24,88.23,HIGH,1472,448,1536,512,64,64,   4,1.00,1.00,0.5512
319,8,25,90.87,HIGH,1536,448,1600,512,64,64,   1,1.00,1.00,0.4298
320,8,26,90.26,HIGH,1600,448,1664,512,64,64,   5,1.00,1.00,0.5970
321,8,27,94.75,HIGH,1664,448,1728,512,64,64,  57,1.00,1.00,0.7847
322,8,28,62.21,MEDIUM,1728,448,1792,512,64,64,  74,1.00,0.20,0.5161
338,9,2,46.46,MEDIUM,64,512,128,576,64,64, 141,1.00,0.20,0.4216
339,9,3,79.39,MEDIUM,128,512,192,576,64,64,   6,1.00,0.20,0.3371
340,9,4,70.14,MEDIUM,192,512,256,576,64,64,   1,1.00,0.20,0.1090
341,9,5,76.71,MEDIUM,256,512,320,576,64,64,   0,1.00,0.20,0.0461
342,9,6,81.45,HIGH,320,512,384,576,64,64,   7,1.00,1.00,0.5811
343,9,7,39.92,MEDIUM,384,512,448,576,64,64,  22,1.00,0.20,0.2131
344,9,8,72.73,MEDIUM,448,512,512,576,64,64,   5,1.00,0.20,0.2538
345,9,9,66.63,MEDIUM,512,512,576,576,64,64,   0,1.00,0.20,0.0392
348,9,12,27.27,MEDIUM,704,512,768,576,64,64,   4,1.00,0.20,0.0443
349,9,13,62.38,MEDIUM,768,512,832,576,64,64,   1,1.00,0.20,0.0362
350,9,14,74.73,MEDIUM,832,512,896,576,64,64,   7,1.00,0.20,0.3261
351,9,15,76.51,MEDIUM,896,512,960,576,64,64,  12,1.00,0.20,0.4229
352,9,16,76.05,MEDIUM,960,512,1024,576,64,64,   8,1.00,0.20,0.3491
353,9,17,58.25,MEDIUM,1024,512,1088,576,64,64,   0,1.00,0.20,0.0244
354,9,18,47.29,MEDIUM,1088,512,1152,576,64,64,  11,1.00,0.20,0.2103
355,9,19,57.59,MEDIUM,1152,512,1216,576,64,64,   3,1.00,0.20,0.1311
356,9,20,70.61,MEDIUM,1216,512,1280,576,64,64,   3,1.00,0.20,0.2043
357,9,21,76.46,MEDIUM,1280,512,1344,576,64,64,   4,1.00,0.20,0.2652
358,9,22,81.49,HIGH,1344,512,1408,576,64,64,   0,1.00,1.00,0.1019
359,9,23,85.30,HIGH,1408,512,1472,576,64,64,   2,1.00,1.00,0.4086
360,9,24,89.38,HIGH,1472,512,1536,576,64,64,  14,1.00,1.00,0.6824
361,9,25,93.55,HIGH,1536,512,1600,576,64,64,  25,1.00,1.00,0.7408
362,9,26,86.38,HIGH,1600,512,1664,576,64,64,  78,1.00,1.00,0.7653
363,9,27,70.75,MEDIUM,1664,512,1728,576,64,64, 185,1.00,0.20,0.6454
369,9,33,18.29,MEDIUM,2048,512,2112,576,64,64,   1,1.00,0.20,0.0076
370,9,34,53.08,MEDIUM,2112,512,2176,576,64,64,   1,1.00,0.20,0.0360
371,9,35,54.52,MEDIUM,2176,512,2240,576,64,64,   2,1.00,0.20,0.0780
372,9,36,18.51,MEDIUM,2240,512,2304,576,64,64,   2,1.00,0.20,0.0116
375,9,39,14.09,MEDIUM,2432,512,2496,576,64,64,  82,1.00,0.20,0.0536
380,10,2,25.42,MEDIUM,64,576,128,640,64,64, 191,1.00,0.20,0.1915
381,10,3,75.83,MEDIUM,128,576,192,640,64,64,  24,1.00,0.20,0.5015
382,10,4,56.42,MEDIUM,192,576,256,640,64,64,  10,1.00,0.20,0.2629
383,10,5,60.94,MEDIUM,256,576,320,640,64,64,   0,1.00,0.20,0.0271
384,10,6,73.97,MEDIUM,320,576,384,640,64,64,   1,1.00,0.20,0.0983
385,10,7,67.65,MEDIUM,384,576,448,640,64,64,  10,1.00,0.20,0.3317
386,10,8,78.37,MEDIUM,448,576,512,640,64,64,   7,1.00,0.20,0.3596
387,10,9,79.76,MEDIUM,512,576,576,640,64,64,   7,1.00,0.20,0.3607
388,10,10,74.07,MEDIUM,576,576,640,640,64,64,   1,1.00,0.20,0.1071
389,10,11,47.41,MEDIUM,640,576,704,640,64,64,   3,1.00,0.20,0.0916
390,10,12,27.91,MEDIUM,704,576,768,640,64,64,   2,1.00,0.20,0.0245
391,10,13,60.38,MEDIUM,768,576,832,640,64,64,  11,1.00,0.20,0.2939
392,10,14,84.89,HIGH,832,576,896,640,64,64,   3,1.00,1.00,0.4916
393,10,15,85.03,HIGH,896,576,960,640,64,64,   2,1.00,1.00,0.4693
394,10,16,89.11,HIGH,960,576,1024,640,64,64,   6,1.00,1.00,0.6042
395,10,17,92.50,HIGH,1024,576,1088,640,64,64,   8,1.00,1.00,0.6486
396,10,18,90.55,HIGH,1088,576,1152,640,64,64,  10,1.00,1.00,0.6611
397,10,19,89.36,HIGH,1152,576,1216,640,64,64,   9,1.00,1.00,0.6504
398,10,20,94.82,HIGH,1216,576,1280,640,64,64,  13,1.00,1.00,0.7018
399,10,21,95.80,HIGH,1280,576,1344,640,64,64,  10,1.00,1.00,0.6876
400,10,22,94.75,HIGH,1344,576,1408,640,64,64,   4,1.00,1.00,0.5990
401,10,23,97.17,HIGH,1408,576,1472,640,64,64,  15,1.00,1.00,0.7256
402,10,24,97.95,HIGH,1472,576,1536,640,64,64,  55,1.00,1.00,0.7945
403,10,25,30.74,MEDIUM,1536,576,1600,640,64,64, 104,1.00,0.20,0.2254
409,10,31,17.77,MEDIUM,1920,576,1984,640,64,64,   2,1.00,0.20,0.0085
411,10,33,32.13,MEDIUM,2048,576,2112,640,64,64,   2,1.00,0.20,0.0376
412,10,34,65.67,MEDIUM,2112,576,2176,640,64,64,   2,1.00,0.20,0.1369
413,10,35,58.01,MEDIUM,2176,576,2240,640,64,64,   2,1.00,0.20,0.1006
414,10,36,67.97,MEDIUM,2240,576,2304,640,64,64,   2,1.00,0.20,0.1153
415,10,37,39.18,MEDIUM,2304,576,2368,640,64,64,   1,1.00,0.20,0.0276
416,10,38,25.51,MEDIUM,2368,576,2432,640,64,64,   1,1.00,0.20,0.0097
417,10,39,74.37,MEDIUM,2432,576,2496,640,64,64,  80,1.00,0.20,0.6106
423,11,3,40.84,MEDIUM,128,640,192,704,64,64, 121,1.00,0.20,0.3500
424,11,4,85.28,HIGH,192,640,256,704,64,64,  37,1.00,1.00,0.7258
425,11,5,87.55,HIGH,256,640,320,704,64,64,  10,1.00,1.00,0.6487
426,11,6,89.53,HIGH,320,640,384,704,64,64,  13,1.00,1.00,0.6776
427,11,7,89.92,HIGH,384,640,448,704,64,64,   9,1.00,1.00,0.6506
428,11,8,93.36,HIGH,448,640,512,704,64,64,  18,1.00,1.00,0.7208
429,11,9,95.21,HIGH,512,640,576,704,64,64,   7,0.49,1.00,0.5742
430,11,10,90.77,HIGH,576,640,640,704,64,64,   8,1.00,1.00,0.6490
431,11,11,91.48,HIGH,640,640,704,704,64,64,  15,1.00,1.00,0.6990
432,11,12,92.48,HIGH,704,640,768,704,64,64,   8,1.00,1.00,0.6515
433,11,13,94.31,HIGH,768,640,832,704,64,64,   5,1.00,1.00,0.6240
434,11,14,97.07,HIGH,832,640,896,704,64,64,   8,0.49,1.00,0.5975
435,11,15,96.12,HIGH,896,640,960,704,64,64,  11,0.49,1.00,0.6280
436,11,16,95.83,HIGH,960,640,1024,704,64,64,  11,1.00,1.00,0.6974
437,11,17,97.56,HIGH,1024,640,1088,704,64,64,  34,0.49,1.00,0.7317
438,11,18,96.00,HIGH,1088,640,1152,704,64,64,  47,1.00,1.00,0.7814
439,11,19,97.22,HIGH,1152,640,1216,704,64,64,  20,0.49,1.00,0.6915
440,11,20,97.19,HIGH,1216,640,1280,704,64,64,  15,1.00,1.00,0.7221
441,11,21,93.12,HIGH,1280,640,1344,704,64,64,   9,1.00,1.00,0.6635
442,11,22,98.17,HIGH,1344,640,1408,704,64,64,  18,0.49,1.00,0.6883
443,11,23,71.75,MEDIUM,1408,640,1472,704,64,64, 104,1.00,0.20,0.6133
453,11,33,13.33,MEDIUM,2048,640,2112,704,64,64,   0,1.00,0.20,0.0002
454,11,34,65.14,MEDIUM,2112,640,2176,704,64,64,   1,1.00,0.20,0.0950
455,11,35,77.22,MEDIUM,2176,640,2240,704,64,64,   2,1.00,0.20,0.1523
456,11,36,68.33,MEDIUM,2240,640,2304,704,64,64,   3,1.00,0.20,0.1832
457,11,37,82.08,HIGH,2304,640,2368,704,64,64,   1,1.00,1.00,0.2234
458,11,38,89.28,HIGH,2368,640,2432,704,64,64,   1,1.00,1.00,0.3953
459,11,39,94.19,HIGH,2432,640,2496,704,64,64,  44,1.00,1.00,0.7715
467,12,5,26.90,MEDIUM,256,704,320,768,64,64, 144,1.00,0.20,0.1971
468,12,6,27.95,MEDIUM,320,704,384,768,64,64, 141,1.00,0.20,0.2086
469,12,7,54.22,MEDIUM,384,704,448,768,64,64, 162,1.00,0.20,0.5077
470,12,8,97.39,HIGH,448,704,512,768,64,64,  45,1.00,1.00,0.7841
471,12,9,98.07,HIGH,512,704,576,768,64,64,  21,1.00,1.00,0.7484
472,12,10,96.44,HIGH,576,704,640,768,64,64,  33,1.00,1.00,0.7660
473,12,11,94.43,HIGH,640,704,704,768,64,64,  59,1.00,1.00,0.7850
474,12,12,90.23,HIGH,704,704,768,768,64,64,  44,1.00,1.00,0.7560
475,12,13,90.99,HIGH,768,704,832,768,64,64,  46,1.00,1.00,0.7609
476,12,14,90.99,HIGH,832,704,896,768,64,64,  78,1.00,1.00,0.7833
477,12,15,84.30,HIGH,896,704,960,768,64,64,  65,1.00,1.00,0.7487
478,12,16,97.51,HIGH,960,704,1024,768,64,64,  50,1.00,1.00,0.7894
479,12,17,97.46,HIGH,1024,704,1088,768,64,64,  83,1.00,1.00,0.8081
480,12,18,93.09,HIGH,1088,704,1152,768,64,64,  61,1.00,1.00,0.7814
481,12,19,82.79,HIGH,1152,704,1216,768,64,64,  52,1.00,1.00,0.7309
482,12,20,97.80,HIGH,1216,704,1280,768,64,64,  69,1.00,1.00,0.8024
483,12,21,83.15,HIGH,1280,704,1344,768,64,64,  71,1.00,1.00,0.7471
484,12,22,33.64,MEDIUM,1344,704,1408,768,64,64, 122,1.00,0.20,0.2679
495,12,33,27.47,MEDIUM,2048,704,2112,768,64,64,   0,1.00,0.20,0.0036
496,12,34,73.90,MEDIUM,2112,704,2176,768,64,64,   1,1.00,0.20,0.0696
497,12,35,71.00,MEDIUM,2176,704,2240,768,64,64,   1,1.00,0.20,0.0585
498,12,36,63.82,MEDIUM,2240,704,2304,768,64,64,   5,1.00,0.20,0.2169
499,12,37,72.07,MEDIUM,2304,704,2368,768,64,64,   2,1.00,0.20,0.1693
500,12,38,77.03,MEDIUM,2368,704,2432,768,64,64,   3,1.00,0.20,0.2370
501,12,39,87.23,HIGH,2432,704,2496,768,64,64,  38,1.00,1.00,0.7365
513,13,9,21.95,MEDIUM,512,768,576,832,64,64, 149,1.00,0.20,0.1417
514,13,10,33.01,MEDIUM,576,768,640,832,64,64, 122,1.00,0.20,0.2608
515,13,11,19.97,MEDIUM,640,768,704,832,64,64,  21,1.00,0.20,0.0617
516,13,12,17.33,MEDIUM,704,768,768,832,64,64,   0,1.00,0.20,0.0000
520,13,16,15.16,MEDIUM,960,768,1024,832,64,64, 165,1.00,0.20,0.0750
533,13,29,28.34,MEDIUM,1792,768,1856,832,64,64,   7,1.00,0.20,0.0640
535,13,31,23.17,MEDIUM,1920,768,1984,832,64,64,   9,1.00,0.20,0.0520
536,13,32,43.85,MEDIUM,1984,768,2048,832,64,64,   0,1.00,0.20,0.0037
537,13,33,60.28,MEDIUM,2048,768,2112,832,64,64,   6,1.00,0.20,0.2244
538,13,34,77.49,MEDIUM,2112,768,2176,832,64,64,   1,1.00,0.20,0.1307
539,13,35,72.24,MEDIUM,2176,768,2240,832,64,64,   5,1.00,0.20,0.2631
540,13,36,72.95,MEDIUM,2240,768,2304,832,64,64,   3,1.00,0.20,0.2198
541,13,37,78.49,MEDIUM,2304,768,2368,832,64,64,   5,1.00,0.20,0.2926
542,13,38,81.30,HIGH,2368,768,2432,832,64,64,   7,1.00,1.00,0.5855
543,13,39,57.23,MEDIUM,2432,768,2496,832,64,64,  59,1.00,0.20,0.4547
558,14,12,25.63,MEDIUM,704,832,768,896,64,64,   0,1.00,0.20,0.0005
575,14,29,20.61,MEDIUM,1792,832,1856,896,64,64,   2,1.00,0.20,0.0124
576,14,30,18.14,MEDIUM,1856,832,1920,896,64,64,   3,1.00,0.20,0.0168
577,14,31,54.88,MEDIUM,1920,832,1984,896,64,64,   0,1.00,0.20,0.0042
578,14,32,56.47,MEDIUM,1984,832,2048,896,64,64,  49,1.00,0.20,0.4312
579,14,33,63.82,MEDIUM,2048,832,2112,896,64,64,  31,1.00,0.20,0.4462
580,14,34,81.52,HIGH,2112,832,2176,896,64,64,   2,1.00,1.00,0.4193
581,14,35,82.06,HIGH,2176,832,2240,896,64,64,   7,1.00,1.00,0.5768
582,14,36,74.95,MEDIUM,2240,832,2304,896,64,64,  11,1.00,0.20,0.3953
583,14,37,79.49,MEDIUM,2304,832,2368,896,64,64,   7,1.00,0.20,0.3535
