Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 6480x3240
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 6480x3240
Scaled Tile Size: 64x64
Total Mask: 96.53%, Total Tissue: 3.47%
Tiles: 102x51 = 5202
    80 ( 1.54%) tiles >=80% tissue
   224 ( 4.31%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
12,1,12,12.84,MEDIUM,704,0,768,64,64,64,1369,1.00,0.20,0.0848
42,1,42,20.12,MEDIUM,2624,0,2688,64,64,64,1156,1.00,0.20,0.1806
145,2,43,23.46,MEDIUM,2688,64,2752,128,64,64,1116,1.00,0.20,0.2295
212,3,8,11.96,MEDIUM,448,128,512,192,64,64,1321,1.00,0.20,0.0740
1147,12,25,14.09,MEDIUM,1536,704,1600,768,64,64, 769,1.00,0.20,0.0910
1302,13,78,20.02,MEDIUM,4928,768,4992,832,64,64,  59,1.00,0.20,0.0925
1303,13,79,16.92,MEDIUM,4992,768,5056,832,64,64,  26,1.00,0.20,0.0499
1304,13,80,23.51,MEDIUM,5056,768,5120,832,64,64,   3,1.00,0.20,0.0247
1346,14,20,18.26,MEDIUM,1216,832,1280,896,64,64,  34,1.00,0.20,0.0639
1347,14,21,18.21,MEDIUM,1280,832,1344,896,64,64,   6,1.00,0.20,0.0250
1348,14,22,39.01,MEDIUM,1344,832,1408,896,64,64,  33,1.00,0.20,0.2355
1349,14,23,59.50,MEDIUM,1408,832,1472,896,64,64,  60,1.00,0.20,0.4766
1351,14,25,13.65,MEDIUM,1536,832,1600,896,64,64,   8,1.00,0.20,0.0169
1401,14,75,32.52,MEDIUM,4736,832,4800,896,64,64,   6,1.00,0.20,0.0766
1403,14,77,24.34,MEDIUM,4864,832,4928,896,64,64,  17,1.00,0.20,0.0818
1405,14,79,46.73,MEDIUM,4992,832,5056,896,64,64,  40,1.00,0.20,0.3246
1406,14,80,37.04,MEDIUM,5056,832,5120,896,64,64,   6,1.00,0.20,0.0932
1447,15,19,17.19,MEDIUM,1152,896,1216,960,64,64,  96,1.00,0.20,0.0817
1448,15,20,53.22,MEDIUM,1216,896,1280,960,64,64,  26,1.00,0.20,0.3425
1449,15,21,52.86,MEDIUM,1280,896,1344,960,64,64,  18,1.00,0.20,0.2964
1450,15,22,66.33,MEDIUM,1344,896,1408,960,64,64,   8,1.00,0.20,0.3030
1451,15,23,79.03,MEDIUM,1408,896,1472,960,64,64,  22,1.00,0.20,0.5155
1452,15,24,55.47,MEDIUM,1472,896,1536,960,64,64,   3,1.00,0.20,0.1398
1453,15,25,61.38,MEDIUM,1536,896,1600,960,64,64,   8,1.00,0.20,0.2584
1454,15,26,53.61,MEDIUM,1600,896,1664,960,64,64,   5,1.00,0.20,0.1592
1455,15,27,48.46,MEDIUM,1664,896,1728,960,64,64,  17,1.00,0.20,0.2593
1456,15,28,25.98,MEDIUM,1728,896,1792,960,64,64,  71,1.00,0.20,0.1552
1500,15,72,16.19,MEDIUM,4544,896,4608,960,64,64,  52,1.00,0.20,0.0600
1501,15,73,40.21,MEDIUM,4608,896,4672,960,64,64,   3,1.00,0.20,0.0756
1502,15,74,35.47,MEDIUM,4672,896,4736,960,64,64,   3,1.00,0.20,0.0513
1503,15,75,46.90,MEDIUM,4736,896,4800,960,64,64,  16,1.00,0.20,0.2385
1504,15,76,21.53,MEDIUM,4800,896,4864,960,64,64,   6,1.00,0.20,0.0348
1505,15,77,18.16,MEDIUM,4864,896,4928,960,64,64,  15,1.00,0.20,0.0434
1506,15,78,35.25,MEDIUM,4928,896,4992,960,64,64,   3,1.00,0.20,0.0557
1507,15,79,48.05,MEDIUM,4992,896,5056,960,64,64,   6,1.00,0.20,0.1570
1508,15,80,46.34,MEDIUM,5056,896,5120,960,64,64,  22,1.00,0.20,0.2664
1509,15,81,36.77,MEDIUM,5120,896,5184,960,64,64,   3,1.00,0.20,0.0582
1510,15,82,43.63,MEDIUM,5184,896,5248,960,64,64,   7,1.00,0.20,0.1440
1511,15,83,25.17,MEDIUM,5248,896,5312,960,64,64,   1,1.00,0.20,0.0127
1512,15,84,20.70,MEDIUM,5312,896,5376,960,64,64,   6,1.00,0.20,0.0317
1548,16,18,20.70,MEDIUM,1088,960,1152,1024,64,64,   2,1.00,0.20,0.0164
1549,16,19,51.71,MEDIUM,1152,960,1216,1024,64,64,  97,1.00,0.20,0.4462
1550,16,20,62.40,MEDIUM,1216,960,1280,1024,64,64,   6,1.00,0.20,0.2276
1551,16,21,50.95,MEDIUM,1280,960,1344,1024,64,64,   7,1.00,0.20,0.1849
1552,16,22,63.79,MEDIUM,1344,960,1408,1024,64,64,   4,1.00,0.20,0.1975
1553,16,23,77.61,MEDIUM,1408,960,1472,1024,64,64,   8,1.00,0.20,0.3734
1554,16,24,61.94,MEDIUM,1472,960,1536,1024,64,64,   5,1.00,0.20,0.2016
1555,16,25,59.13,MEDIUM,1536,960,1600,1024,64,64,   4,1.00,0.20,0.1817
1556,16,26,63.60,MEDIUM,1600,960,1664,1024,64,64,   6,1.00,0.20,0.2433
1557,16,27,72.88,MEDIUM,1664,960,1728,1024,64,64,  15,1.00,0.20,0.4209
1603,16,73,61.30,MEDIUM,4608,960,4672,1024,64,64,  12,1.00,0.20,0.3123
1604,16,74,59.57,MEDIUM,4672,960,4736,1024,64,64,   3,1.00,0.20,0.1312
1605,16,75,64.23,MEDIUM,4736,960,4800,1024,64,64,   8,1.00,0.20,0.2840
1606,16,76,66.72,MEDIUM,4800,960,4864,1024,64,64,   7,1.00,0.20,0.2835
1607,16,77,56.18,MEDIUM,4864,960,4928,1024,64,64,  11,1.00,0.20,0.2670
1608,16,78,56.08,MEDIUM,4928,960,4992,1024,64,64,  13,1.00,0.20,0.2850
1609,16,79,51.17,MEDIUM,4992,960,5056,1024,64,64,   5,1.00,0.20,0.1525
1610,16,80,65.75,MEDIUM,5056,960,5120,1024,64,64,  26,1.00,0.20,0.4429
1611,16,81,58.08,MEDIUM,5120,960,5184,1024,64,64,  12,1.00,0.20,0.2930
1612,16,82,52.27,MEDIUM,5184,960,5248,1024,64,64,   6,1.00,0.20,0.1730
1613,16,83,55.93,MEDIUM,5248,960,5312,1024,64,64,  11,1.00,0.20,0.2691
1614,16,84,58.18,MEDIUM,5312,960,5376,1024,64,64,   3,1.00,0.20,0.1342
1615,16,85,19.56,MEDIUM,5376,960,5440,1024,64,64,   8,1.00,0.20,0.0350
1651,17,19,34.13,MEDIUM,1152,1024,1216,1088,64,64,   6,1.00,0.20,0.0811
1652,17,20,40.60,MEDIUM,1216,1024,1280,1088,64,64,   8,1.00,0.20,0.1362
1653,17,21,42.43,MEDIUM,1280,1024,1344,1088,64,64,   3,1.00,0.20,0.0863
1654,17,22,44.56,MEDIUM,1344,1024,1408,1088,64,64,   6,1.00,0.20,0.1324
1655,17,23,65.53,MEDIUM,1408,1024,1472,1088,64,64,  10,1.00,0.20,0.3155
1656,17,24,57.47,MEDIUM,1472,1024,1536,1088,64,64,   5,1.00,0.20,0.1937
1657,17,25,66.14,MEDIUM,1536,1024,1600,1088,64,64,  13,1.00,0.20,0.3555
