Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 6882x2755
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 6882x2755
Scaled Tile Size: 64x64
Total Mask: 89.28%, Total Tissue: 10.72%
Tiles: 108x44 = 4752
   400 ( 8.42%) tiles >=80% tissue
   263 ( 5.53%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
488,5,56,21.19,MEDIUM,3520,256,3584,320,64,64, 109,1.00,0.20,0.1231
489,5,57,48.17,MEDIUM,3584,256,3648,320,64,64, 304,1.00,0.20,0.4889
490,5,58,57.25,MEDIUM,3648,256,3712,320,64,64, 559,1.00,0.20,0.6077
491,5,59,44.95,MEDIUM,3712,256,3776,320,64,64, 371,1.00,0.20,0.4661
492,5,60,26.66,MEDIUM,3776,256,3840,320,64,64,  66,1.00,0.20,0.1586
588,6,48,15.31,MEDIUM,3008,320,3072,384,64,64, 245,1.00,0.20,0.0840
589,6,49,30.49,MEDIUM,3072,320,3136,384,64,64, 385,1.00,0.20,0.2883
590,6,50,35.23,MEDIUM,3136,320,3200,384,64,64, 259,1.00,0.20,0.3298
591,6,51,56.08,MEDIUM,3200,320,3264,384,64,64, 376,1.00,0.20,0.5768
592,6,52,63.99,MEDIUM,3264,320,3328,384,64,64, 457,1.00,0.20,0.6496
593,6,53,26.98,MEDIUM,3328,320,3392,384,64,64, 442,1.00,0.20,0.2464
594,6,54,44.29,MEDIUM,3392,320,3456,384,64,64, 489,1.00,0.20,0.4739
595,6,55,64.79,MEDIUM,3456,320,3520,384,64,64, 503,1.00,0.20,0.6599
596,6,56,86.91,HIGH,3520,320,3584,384,64,64,1290,1.00,1.00,0.8440
597,6,57,98.10,HIGH,3584,320,3648,384,64,64,1617,0.49,1.00,0.8653
598,6,58,98.66,HIGH,3648,320,3712,384,64,64,1624,0.49,1.00,0.8667
599,6,59,98.36,HIGH,3712,320,3776,384,64,64,1574,0.49,1.00,0.8655
600,6,60,97.05,HIGH,3776,320,3840,384,64,64,1049,0.49,1.00,0.8547
601,6,61,66.21,MEDIUM,3840,320,3904,384,64,64, 574,1.00,0.20,0.6757
602,6,62,22.02,MEDIUM,3904,320,3968,384,64,64, 117,1.00,0.20,0.1341
695,7,47,54.96,MEDIUM,2944,384,3008,448,64,64,1272,1.00,0.20,0.6260
696,7,48,86.94,HIGH,3008,384,3072,448,64,64, 730,1.00,1.00,0.8329
697,7,49,95.04,HIGH,3072,384,3136,448,64,64, 728,0.49,1.00,0.8416
698,7,50,97.24,HIGH,3136,384,3200,448,64,64, 882,0.49,1.00,0.8516
699,7,51,96.12,HIGH,3200,384,3264,448,64,64, 841,0.49,1.00,0.8477
700,7,52,98.80,HIGH,3264,384,3328,448,64,64,1022,0.49,1.00,0.8586
701,7,53,94.65,HIGH,3328,384,3392,448,64,64,1117,1.00,1.00,0.8628
702,7,54,63.40,MEDIUM,3392,384,3456,448,64,64, 707,1.00,0.20,0.6659
703,7,55,48.29,MEDIUM,3456,384,3520,448,64,64, 970,1.00,0.20,0.5515
704,7,56,59.55,MEDIUM,3520,384,3584,448,64,64,1577,1.00,0.20,0.6712
705,7,57,98.56,HIGH,3584,384,3648,448,64,64,1728,0.49,1.00,0.8675
706,7,58,97.85,HIGH,3648,384,3712,448,64,64,1597,0.49,1.00,0.8645
707,7,59,98.02,HIGH,3712,384,3776,448,64,64,1455,0.49,1.00,0.8633
708,7,60,92.90,HIGH,3776,384,3840,448,64,64,1817,1.00,1.00,0.8663
709,7,61,97.51,HIGH,3840,384,3904,448,64,64,1735,0.49,1.00,0.8651
710,7,62,65.77,MEDIUM,3904,384,3968,448,64,64, 746,1.00,0.20,0.6844
801,8,45,13.72,MEDIUM,2816,448,2880,512,64,64,1938,0.49,0.20,0.0900
802,8,46,88.50,HIGH,2880,448,2944,512,64,64,1835,1.00,1.00,0.8548
803,8,47,92.04,HIGH,2944,448,3008,512,64,64, 916,0.49,1.00,0.8381
804,8,48,94.85,HIGH,3008,448,3072,512,64,64, 684,0.49,1.00,0.8396
805,8,49,96.41,HIGH,3072,448,3136,512,64,64, 817,0.49,1.00,0.8478
806,8,50,97.97,HIGH,3136,448,3200,512,64,64, 618,0.49,1.00,0.8459
807,8,51,94.85,HIGH,3200,448,3264,512,64,64, 549,0.49,1.00,0.8343
808,8,52,98.00,HIGH,3264,448,3328,512,64,64, 683,0.49,1.00,0.8481
809,8,53,97.73,HIGH,3328,448,3392,512,64,64, 277,0.49,1.00,0.8244
810,8,54,89.01,HIGH,3392,448,3456,512,64,64, 383,1.00,1.00,0.8250
811,8,55,69.80,MEDIUM,3456,448,3520,512,64,64,1176,1.00,0.20,0.7269
812,8,56,62.26,MEDIUM,3520,448,3584,512,64,64, 542,1.00,0.20,0.6454
813,8,57,95.68,HIGH,3584,448,3648,512,64,64,1990,0.49,1.00,0.8630
814,8,58,98.05,HIGH,3648,448,3712,512,64,64,1898,0.49,1.00,0.8679
815,8,59,98.10,HIGH,3712,448,3776,512,64,64,1569,0.49,1.00,0.8648
