Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1408x1408
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 1408x1408
Scaled Tile Size: 64x64
Total Mask: 96.83%, Total Tissue: 3.17%
Tiles: 22x22 = 484
     5 ( 1.03%) tiles >=80% tissue
    28 ( 5.79%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
47,3,3,28.15,MEDIUM,128,128,192,192,64,64, 311,1.00,0.20,0.2473
69,4,3,33.79,MEDIUM,128,192,192,256,64,64, 233,1.00,0.20,0.3061
91,5,3,48.41,MEDIUM,128,256,192,320,64,64, 158,1.00,0.20,0.4494
112,6,2,41.46,MEDIUM,64,320,128,384,64,64, 182,1.00,0.20,0.3837
113,6,3,37.92,MEDIUM,128,320,192,384,64,64, 112,1.00,0.20,0.3122
134,7,2,57.03,MEDIUM,64,384,128,448,64,64, 147,1.00,0.20,0.5262
135,7,3,48.14,MEDIUM,128,384,192,448,64,64, 241,1.00,0.20,0.4745
136,7,4,23.00,MEDIUM,192,384,256,448,64,64,2184,1.00,0.20,0.2434
137,7,5,18.12,MEDIUM,256,384,320,448,64,64,1617,0.49,0.20,0.1427
156,8,2,80.64,HIGH,64,448,128,512,64,64,  76,1.00,1.00,0.7388
157,8,3,52.03,MEDIUM,128,448,192,512,64,64, 180,1.00,0.20,0.4943
178,9,2,95.70,HIGH,64,512,128,576,64,64,  90,1.00,1.00,0.8051
179,9,3,45.78,MEDIUM,128,512,192,576,64,64, 150,1.00,0.20,0.4187
200,10,2,91.85,HIGH,64,576,128,640,64,64,  71,1.00,1.00,0.7830
201,10,3,51.20,MEDIUM,128,576,192,640,64,64, 189,1.00,0.20,0.4895
222,11,2,88.77,HIGH,64,640,128,704,64,64,  38,1.00,1.00,0.7421
223,11,3,50.59,MEDIUM,128,640,192,704,64,64, 169,1.00,0.20,0.4762
244,12,2,81.25,HIGH,64,704,128,768,64,64,  90,1.00,1.00,0.7486
245,12,3,52.76,MEDIUM,128,704,192,768,64,64, 161,1.00,0.20,0.4937
246,12,4,23.29,MEDIUM,192,704,256,768,64,64, 904,1.00,0.20,0.2201
247,12,5,20.21,MEDIUM,256,704,320,768,64,64,2974,1.00,0.20,0.2070
266,13,2,57.89,MEDIUM,64,768,128,832,64,64,  93,1.00,0.20,0.4989
267,13,3,60.74,MEDIUM,128,768,192,832,64,64, 487,1.00,0.20,0.6287
289,14,3,74.85,MEDIUM,128,832,192,896,64,64, 319,1.00,0.20,0.7003
290,14,4,16.14,MEDIUM,192,832,256,896,64,64, 511,1.00,0.20,0.1077
312,15,4,23.14,MEDIUM,192,896,256,960,64,64, 649,1.00,0.20,0.2070
314,15,6,17.50,MEDIUM,320,896,384,960,64,64,2220,0.49,0.20,0.1417
334,16,4,30.25,MEDIUM,192,960,256,1024,64,64, 626,1.00,0.20,0.3069
356,17,4,22.49,MEDIUM,192,1024,256,1088,64,64, 188,1.00,0.20,0.1559
357,17,5,15.28,MEDIUM,256,1024,320,1088,64,64, 910,1.00,0.20,0.1085
379,18,5,16.55,MEDIUM,256,1088,320,1152,64,64, 870,1.00,0.20,0.1240
381,18,7,23.88,MEDIUM,384,1088,448,1152,64,64,4406,1.00,0.20,0.2788
402,19,6,21.12,MEDIUM,320,1152,384,1216,64,64, 312,1.00,0.20,0.1561
