Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2688x4992
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2688x4992
Scaled Tile Size: 64x64
Total Mask: 89.04%, Total Tissue: 10.96%
Tiles: 42x78 = 3276
   165 ( 5.04%) tiles >=80% tissue
   409 (12.48%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
275,7,23,19.95,MEDIUM,1408,384,1472,448,64,64,   0,1.00,0.20,0.0000
276,7,24,53.52,MEDIUM,1472,384,1536,448,64,64,   0,1.00,0.20,0.0043
314,8,20,34.64,MEDIUM,1216,448,1280,512,64,64,   0,1.00,0.20,0.0005
315,8,21,47.56,MEDIUM,1280,448,1344,512,64,64,   0,1.00,0.20,0.0162
316,8,22,56.84,MEDIUM,1344,448,1408,512,64,64,   0,1.00,0.20,0.0083
317,8,23,73.36,MEDIUM,1408,448,1472,512,64,64,   0,1.00,0.20,0.0080
318,8,24,63.89,MEDIUM,1472,448,1536,512,64,64,   0,1.00,0.20,0.0306
356,9,20,18.85,MEDIUM,1216,512,1280,576,64,64,   0,1.00,0.20,0.0013
357,9,21,53.03,MEDIUM,1280,512,1344,576,64,64,   0,1.00,0.20,0.0000
358,9,22,53.56,MEDIUM,1344,512,1408,576,64,64,   0,1.00,0.20,0.0006
359,9,23,61.94,MEDIUM,1408,512,1472,576,64,64,   1,1.00,0.20,0.0451
360,9,24,68.87,MEDIUM,1472,512,1536,576,64,64,   0,1.00,0.20,0.0000
361,9,25,16.46,MEDIUM,1536,512,1600,576,64,64,   0,1.00,0.20,0.0002
398,10,20,23.49,MEDIUM,1216,576,1280,640,64,64,   0,1.00,0.20,0.0033
399,10,21,29.52,MEDIUM,1280,576,1344,640,64,64,   0,1.00,0.20,0.0006
400,10,22,63.53,MEDIUM,1344,576,1408,640,64,64,   1,1.00,0.20,0.0665
401,10,23,65.31,MEDIUM,1408,576,1472,640,64,64,   0,1.00,0.20,0.0024
402,10,24,56.59,MEDIUM,1472,576,1536,640,64,64,   0,1.00,0.20,0.0022
403,10,25,40.43,MEDIUM,1536,576,1600,640,64,64,   1,1.00,0.20,0.0187
426,11,6,14.62,MEDIUM,320,640,384,704,64,64,   0,1.00,0.20,0.0000
428,11,8,25.00,MEDIUM,448,640,512,704,64,64,   0,1.00,0.20,0.0011
429,11,9,27.29,MEDIUM,512,640,576,704,64,64,   0,1.00,0.20,0.0013
441,11,21,15.33,MEDIUM,1280,640,1344,704,64,64,   0,1.00,0.20,0.0000
442,11,22,39.77,MEDIUM,1344,640,1408,704,64,64,   0,1.00,0.20,0.0066
443,11,23,69.17,MEDIUM,1408,640,1472,704,64,64,   0,1.00,0.20,0.0052
444,11,24,62.62,MEDIUM,1472,640,1536,704,64,64,   0,1.00,0.20,0.0007
445,11,25,47.92,MEDIUM,1536,640,1600,704,64,64,   0,1.00,0.20,0.0000
470,12,8,16.97,MEDIUM,448,704,512,768,64,64,   0,1.00,0.20,0.0008
473,12,11,19.51,MEDIUM,640,704,704,768,64,64,   0,1.00,0.20,0.0000
485,12,23,66.11,MEDIUM,1408,704,1472,768,64,64,   0,1.00,0.20,0.0047
486,12,24,62.08,MEDIUM,1472,704,1536,768,64,64,   0,1.00,0.20,0.0000
487,12,25,40.14,MEDIUM,1536,704,1600,768,64,64,   0,1.00,0.20,0.0000
527,13,23,39.33,MEDIUM,1408,768,1472,832,64,64,   0,1.00,0.20,0.0040
528,13,24,39.06,MEDIUM,1472,768,1536,832,64,64,   0,1.00,0.20,0.0009
548,14,2,46.29,MEDIUM,64,832,128,896,64,64,   0,1.00,0.20,0.0055
549,14,3,35.11,MEDIUM,128,832,192,896,64,64,   0,1.00,0.20,0.0000
559,14,13,17.65,MEDIUM,768,832,832,896,64,64,   0,1.00,0.20,0.0005
579,14,33,23.07,MEDIUM,2048,832,2112,896,64,64,   1,1.00,0.20,0.0089
591,15,3,15.36,MEDIUM,128,896,192,960,64,64,   0,1.00,0.20,0.0009
592,15,4,22.90,MEDIUM,192,896,256,960,64,64,   0,1.00,0.20,0.0000
613,15,25,14.55,MEDIUM,1536,896,1600,960,64,64,   0,1.00,0.20,0.0000
619,15,31,14.48,MEDIUM,1920,896,1984,960,64,64,   0,1.00,0.20,0.0000
620,15,32,79.13,MEDIUM,1984,896,2048,960,64,64,   0,1.00,0.20,0.0000
621,15,33,47.07,MEDIUM,2048,896,2112,960,64,64,   2,1.00,0.20,0.0615
653,16,23,20.17,MEDIUM,1408,960,1472,1024,64,64,   0,1.00,0.20,0.0000
661,16,31,43.09,MEDIUM,1920,960,1984,1024,64,64,   1,1.00,0.20,0.0252
662,16,32,86.06,HIGH,1984,960,2048,1024,64,64,   0,1.00,1.00,0.1907
663,16,33,87.57,HIGH,2048,960,2112,1024,64,64,   1,1.00,1.00,0.3939
664,16,34,40.45,MEDIUM,2112,960,2176,1024,64,64,   0,1.00,0.20,0.0113
677,17,5,17.50,MEDIUM,256,1024,320,1088,64,64,   0,1.00,0.20,0.0003
692,17,20,23.12,MEDIUM,1216,1024,1280,1088,64,64,   0,1.00,0.20,0.0000
695,17,23,16.89,MEDIUM,1408,1024,1472,1088,64,64,   0,1.00,0.20,0.0000
699,17,27,15.06,MEDIUM,1664,1024,1728,1088,64,64,   0,1.00,0.20,0.0000
703,17,31,55.32,MEDIUM,1920,1024,1984,1088,64,64,   0,1.00,0.20,0.0000
704,17,32,84.99,HIGH,1984,1024,2048,1088,64,64,   0,1.00,1.00,0.1727
705,17,33,81.91,HIGH,2048,1024,2112,1088,64,64,   3,1.00,1.00,0.4985
706,17,34,81.35,HIGH,2112,1024,2176,1088,64,64,   2,1.00,1.00,0.4059
734,18,20,49.29,MEDIUM,1216,1088,1280,1152,64,64,   0,1.00,0.20,0.0000
735,18,21,17.70,MEDIUM,1280,1088,1344,1152,64,64,   0,1.00,0.20,0.0028
738,18,24,42.36,MEDIUM,1472,1088,1536,1152,64,64,   0,1.00,0.20,0.0015
742,18,28,30.22,MEDIUM,1728,1088,1792,1152,64,64,   0,1.00,0.20,0.0021
744,18,30,36.67,MEDIUM,1856,1088,1920,1152,64,64,   0,1.00,0.20,0.0079
745,18,31,69.43,MEDIUM,1920,1088,1984,1152,64,64,   0,1.00,0.20,0.0000
746,18,32,81.01,HIGH,1984,1088,2048,1152,64,64,   1,1.00,1.00,0.3127
747,18,33,84.84,HIGH,2048,1088,2112,1152,64,64,   4,1.00,1.00,0.5507
748,18,34,97.12,HIGH,2112,1088,2176,1152,64,64,   5,1.00,1.00,0.6220
749,18,35,82.74,HIGH,2176,1088,2240,1152,64,64,   7,1.00,1.00,0.5921
763,19,7,17.63,MEDIUM,384,1152,448,1216,64,64,   0,1.00,0.20,0.0029
773,19,17,29.00,MEDIUM,1024,1152,1088,1216,64,64,   0,1.00,0.20,0.0003
784,19,28,37.62,MEDIUM,1728,1152,1792,1216,64,64,   0,1.00,0.20,0.0017
785,19,29,34.30,MEDIUM,1792,1152,1856,1216,64,64,   0,1.00,0.20,0.0073
786,19,30,47.44,MEDIUM,1856,1152,1920,1216,64,64,   5,1.00,0.20,0.1398
787,19,31,50.90,MEDIUM,1920,1152,1984,1216,64,64,   2,1.00,0.20,0.0908
788,19,32,95.85,HIGH,1984,1152,2048,1216,64,64,   4,1.00,1.00,0.5837
789,19,33,84.40,HIGH,2048,1152,2112,1216,64,64,   3,1.00,1.00,0.4858
790,19,34,92.11,HIGH,2112,1152,2176,1216,64,64,  13,1.00,1.00,0.6928
791,19,35,96.83,HIGH,2176,1152,2240,1216,64,64,  12,1.00,1.00,0.7067
792,19,36,26.93,MEDIUM,2240,1152,2304,1216,64,64,   4,1.00,0.20,0.0420
803,20,5,21.26,MEDIUM,256,1216,320,1280,64,64,   0,1.00,0.20,0.0000
825,20,27,30.79,MEDIUM,1664,1216,1728,1280,64,64,   0,1.00,0.20,0.0000
826,20,28,18.87,MEDIUM,1728,1216,1792,1280,64,64,   0,1.00,0.20,0.0000
829,20,31,22.97,MEDIUM,1920,1216,1984,1280,64,64,   3,1.00,0.20,0.0253
830,20,32,48.44,MEDIUM,1984,1216,2048,1280,64,64,   1,1.00,0.20,0.0323
831,20,33,93.41,HIGH,2048,1216,2112,1280,64,64,   1,1.00,1.00,0.3027
832,20,34,89.82,HIGH,2112,1216,2176,1280,64,64,  39,1.00,1.00,0.7483
833,20,35,95.97,HIGH,2176,1216,2240,1280,64,64,   6,1.00,1.00,0.6467
834,20,36,83.52,HIGH,2240,1216,2304,1280,64,64,  38,1.00,1.00,0.7187
846,21,6,41.89,MEDIUM,320,1280,384,1344,64,64,   0,1.00,0.20,0.0019
871,21,31,20.70,MEDIUM,1920,1280,1984,1344,64,64,   5,1.00,0.20,0.0277
872,21,32,58.98,MEDIUM,1984,1280,2048,1344,64,64,   0,1.00,0.20,0.0316
873,21,33,83.20,HIGH,2048,1280,2112,1344,64,64,   0,1.00,1.00,0.1535
874,21,34,85.99,HIGH,2112,1280,2176,1344,64,64,   0,1.00,1.00,0.0194
875,21,35,93.26,HIGH,2176,1280,2240,1344,64,64,   1,1.00,1.00,0.3615
876,21,36,98.66,HIGH,2240,1280,2304,1344,64,64,  16,1.00,1.00,0.7324
877,21,37,62.52,MEDIUM,2304,1280,2368,1344,64,64,   5,1.00,0.20,0.2058
889,22,7,26.64,MEDIUM,384,1344,448,1408,64,64,   0,1.00,0.20,0.0023
890,22,8,26.61,MEDIUM,448,1344,512,1408,64,64,   0,1.00,0.20,0.0000
906,22,24,19.68,MEDIUM,1472,1344,1536,1408,64,64,   0,1.00,0.20,0.0000
912,22,30,36.60,MEDIUM,1856,1344,1920,1408,64,64,   0,1.00,0.20,0.0015
913,22,31,52.73,MEDIUM,1920,1344,1984,1408,64,64,   1,1.00,0.20,0.0379
914,22,32,79.25,MEDIUM,1984,1344,2048,1408,64,64,   0,1.00,0.20,0.0202
915,22,33,82.76,HIGH,2048,1344,2112,1408,64,64,   0,1.00,1.00,0.0000
