Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2560x3904
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2560x3904
Scaled Tile Size: 64x64
Total Mask: 80.17%, Total Tissue: 19.83%
Tiles: 40x61 = 2440
   317 (12.99%) tiles >=80% tissue
   369 (15.12%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
134,4,14,81.20,HIGH,832,192,896,256,64,64,   2,1.00,1.00,0.4116
135,4,15,85.21,HIGH,896,192,960,256,64,64,   3,1.00,1.00,0.5170
136,4,16,89.43,HIGH,960,192,1024,256,64,64,   3,1.00,1.00,0.5120
137,4,17,79.74,MEDIUM,1024,192,1088,256,64,64,   4,1.00,0.20,0.2574
138,4,18,30.13,MEDIUM,1088,192,1152,256,64,64,   5,1.00,0.20,0.0606
173,5,13,59.86,MEDIUM,768,256,832,320,64,64,   5,1.00,0.20,0.1923
174,5,14,97.88,HIGH,832,256,896,320,64,64,   1,1.00,1.00,0.4080
175,5,15,89.18,HIGH,896,256,960,320,64,64,  10,1.00,1.00,0.6576
176,5,16,89.23,HIGH,960,256,1024,320,64,64,   3,1.00,1.00,0.5194
177,5,17,94.65,HIGH,1024,256,1088,320,64,64,   1,1.00,1.00,0.3907
178,5,18,94.09,HIGH,1088,256,1152,320,64,64,   3,1.00,1.00,0.5636
179,5,19,57.76,MEDIUM,1152,256,1216,320,64,64,   3,1.00,0.20,0.1204
180,5,20,30.74,MEDIUM,1216,256,1280,320,64,64,   2,1.00,0.20,0.0339
181,5,21,45.53,MEDIUM,1280,256,1344,320,64,64,   4,1.00,0.20,0.1001
182,5,22,41.80,MEDIUM,1344,256,1408,320,64,64,  12,1.00,0.20,0.1761
183,5,23,26.66,MEDIUM,1408,256,1472,320,64,64,   7,1.00,0.20,0.0573
213,6,13,64.58,MEDIUM,768,320,832,384,64,64,   8,1.00,0.20,0.2788
214,6,14,92.90,HIGH,832,320,896,384,64,64,   1,1.00,1.00,0.4178
215,6,15,76.07,MEDIUM,896,320,960,384,64,64,   1,1.00,0.20,0.1114
216,6,16,93.82,HIGH,960,320,1024,384,64,64,   3,1.00,1.00,0.5650
217,6,17,95.00,HIGH,1024,320,1088,384,64,64,   2,1.00,1.00,0.5032
218,6,18,82.89,HIGH,1088,320,1152,384,64,64,   2,1.00,1.00,0.4429
219,6,19,90.62,HIGH,1152,320,1216,384,64,64,   1,1.00,1.00,0.3740
220,6,20,93.29,HIGH,1216,320,1280,384,64,64,   2,1.00,1.00,0.5145
221,6,21,91.85,HIGH,1280,320,1344,384,64,64,   3,1.00,1.00,0.5354
222,6,22,95.24,HIGH,1344,320,1408,384,64,64,   5,1.00,1.00,0.6206
223,6,23,93.75,HIGH,1408,320,1472,384,64,64,   8,1.00,1.00,0.6624
224,6,24,89.38,HIGH,1472,320,1536,384,64,64,   7,1.00,1.00,0.6174
225,6,25,42.90,MEDIUM,1536,320,1600,384,64,64,   4,1.00,0.20,0.0974
252,7,12,13.70,MEDIUM,704,384,768,448,64,64,   0,1.00,0.20,0.0017
253,7,13,84.69,HIGH,768,384,832,448,64,64,   0,1.00,1.00,0.0000
254,7,14,87.72,HIGH,832,384,896,448,64,64,   2,1.00,1.00,0.4149
255,7,15,27.66,MEDIUM,896,384,960,448,64,64,   0,1.00,0.20,0.0003
256,7,16,75.00,MEDIUM,960,384,1024,448,64,64,   4,1.00,0.20,0.2354
257,7,17,88.50,HIGH,1024,384,1088,448,64,64,   2,1.00,1.00,0.4879
258,7,18,78.81,MEDIUM,1088,384,1152,448,64,64,   5,1.00,0.20,0.2949
259,7,19,59.57,MEDIUM,1152,384,1216,448,64,64,   1,1.00,0.20,0.0488
260,7,20,87.52,HIGH,1216,384,1280,448,64,64,   0,1.00,1.00,0.0667
261,7,21,88.70,HIGH,1280,384,1344,448,64,64,   1,1.00,1.00,0.3415
262,7,22,91.50,HIGH,1344,384,1408,448,64,64,   1,1.00,1.00,0.2741
263,7,23,90.45,HIGH,1408,384,1472,448,64,64,   1,1.00,1.00,0.3638
264,7,24,95.21,HIGH,1472,384,1536,448,64,64,   2,1.00,1.00,0.5161
265,7,25,96.29,HIGH,1536,384,1600,448,64,64,   7,1.00,1.00,0.6587
266,7,26,57.96,MEDIUM,1600,384,1664,448,64,64,   3,1.00,0.20,0.1444
292,8,12,49.68,MEDIUM,704,448,768,512,64,64,   3,1.00,0.20,0.1152
293,8,13,66.28,MEDIUM,768,448,832,512,64,64,   2,1.00,0.20,0.1416
