Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2432x1184
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2432x1184
Scaled Tile Size: 64x64
Total Mask: 83.70%, Total Tissue: 16.30%
Tiles: 38x19 = 722
    66 ( 9.14%) tiles >=80% tissue
    99 (13.71%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
103,3,27,36.67,MEDIUM,1664,128,1728,192,64,64,   1,1.00,0.20,0.0328
104,3,28,88.79,HIGH,1728,128,1792,192,64,64,   2,1.00,1.00,0.4694
105,3,29,91.21,HIGH,1792,128,1856,192,64,64,   0,1.00,1.00,0.0500
106,3,30,56.30,MEDIUM,1856,128,1920,192,64,64,   0,1.00,0.20,0.0138
141,4,27,69.02,MEDIUM,1664,192,1728,256,64,64,  63,1.00,0.20,0.5536
142,4,28,87.01,HIGH,1728,192,1792,256,64,64,   1,1.00,1.00,0.4056
143,4,29,85.74,HIGH,1792,192,1856,256,64,64,   0,1.00,1.00,0.0212
144,4,30,83.11,HIGH,1856,192,1920,256,64,64,   0,1.00,1.00,0.0452
145,4,31,25.32,MEDIUM,1920,192,1984,256,64,64,   0,1.00,0.20,0.0028
154,5,2,15.89,MEDIUM,64,256,128,320,64,64,   2,1.00,0.20,0.0068
166,5,14,42.02,MEDIUM,832,256,896,320,64,64,  22,1.00,0.20,0.2281
167,5,15,73.78,MEDIUM,896,256,960,320,64,64,   1,1.00,0.20,0.0916
179,5,27,73.93,MEDIUM,1664,256,1728,320,64,64, 482,1.00,0.20,0.7145
180,5,28,80.32,HIGH,1728,256,1792,320,64,64,   1,1.00,1.00,0.3534
181,5,29,79.52,MEDIUM,1792,256,1856,320,64,64,   0,1.00,0.20,0.0079
182,5,30,67.14,MEDIUM,1856,256,1920,320,64,64,   1,1.00,0.20,0.0539
183,5,31,61.23,MEDIUM,1920,256,1984,320,64,64,   1,1.00,0.20,0.0540
192,6,2,14.23,MEDIUM,64,320,128,384,64,64, 273,1.00,0.20,0.0753
193,6,3,59.94,MEDIUM,128,320,192,384,64,64,   1,1.00,0.20,0.0480
203,6,13,24.80,MEDIUM,768,320,832,384,64,64,  50,1.00,0.20,0.1289
204,6,14,63.50,MEDIUM,832,320,896,384,64,64, 166,1.00,0.20,0.5874
205,6,15,86.94,HIGH,896,320,960,384,64,64,   2,1.00,1.00,0.4367
206,6,16,92.55,HIGH,960,320,1024,384,64,64,   1,1.00,1.00,0.4255
207,6,17,27.69,MEDIUM,1024,320,1088,384,64,64,   1,1.00,0.20,0.0157
217,6,27,44.87,MEDIUM,1664,320,1728,384,64,64, 151,1.00,0.20,0.4095
218,6,28,93.29,HIGH,1728,320,1792,384,64,64,  64,1.00,1.00,0.7844
219,6,29,52.25,MEDIUM,1792,320,1856,384,64,64,   3,1.00,0.20,0.1047
220,6,30,65.55,MEDIUM,1856,320,1920,384,64,64,   0,1.00,0.20,0.0309
221,6,31,77.22,MEDIUM,1920,320,1984,384,64,64,   2,1.00,0.20,0.1570
222,6,32,43.51,MEDIUM,1984,320,2048,384,64,64,   0,1.00,0.20,0.0000
230,7,2,24.80,MEDIUM,64,384,128,448,64,64, 704,1.00,0.20,0.2336
231,7,3,96.04,HIGH,128,384,192,448,64,64,   2,1.00,1.00,0.4586
241,7,13,37.04,MEDIUM,768,384,832,448,64,64,   0,1.00,0.20,0.0018
242,7,14,66.06,MEDIUM,832,384,896,448,64,64,   2,1.00,0.20,0.1148
243,7,15,88.84,HIGH,896,384,960,448,64,64,   1,1.00,1.00,0.4080
244,7,16,98.00,HIGH,960,384,1024,448,64,64,   2,1.00,1.00,0.5031
245,7,17,86.11,HIGH,1024,384,1088,448,64,64,   1,1.00,1.00,0.3087
255,7,27,29.22,MEDIUM,1664,384,1728,448,64,64, 405,1.00,0.20,0.2735
256,7,28,64.04,MEDIUM,1728,384,1792,448,64,64,   1,1.00,0.20,0.0930
257,7,29,75.66,MEDIUM,1792,384,1856,448,64,64,   0,1.00,0.20,0.0368
258,7,30,84.77,HIGH,1856,384,1920,448,64,64,   1,1.00,1.00,0.2981
259,7,31,83.91,HIGH,1920,384,1984,448,64,64,   2,1.00,1.00,0.3961
260,7,32,92.07,HIGH,1984,384,2048,448,64,64,   1,1.00,1.00,0.3655
261,7,33,25.61,MEDIUM,2048,384,2112,448,64,64,   1,1.00,0.20,0.0159
268,8,2,17.82,MEDIUM,64,448,128,512,64,64, 453,1.00,0.20,0.1255
269,8,3,97.00,HIGH,128,448,192,512,64,64,   0,1.00,1.00,0.1246
270,8,4,51.61,MEDIUM,192,448,256,512,64,64,   2,1.00,0.20,0.0740
279,8,13,60.38,MEDIUM,768,448,832,512,64,64, 968,1.00,0.20,0.6577
280,8,14,71.85,MEDIUM,832,448,896,512,64,64,   1,1.00,0.20,0.0761
281,8,15,82.52,HIGH,896,448,960,512,64,64,   2,1.00,1.00,0.4457
282,8,16,96.46,HIGH,960,448,1024,512,64,64,   2,1.00,1.00,0.5074
283,8,17,99.29,HIGH,1024,448,1088,512,64,64,   1,1.00,1.00,0.3106
284,8,18,30.93,MEDIUM,1088,448,1152,512,64,64,   1,1.00,0.20,0.0094
294,8,28,23.17,MEDIUM,1728,448,1792,512,64,64,   1,1.00,0.20,0.0112
295,8,29,68.14,MEDIUM,1792,448,1856,512,64,64,   2,1.00,0.20,0.1345
296,8,30,74.73,MEDIUM,1856,448,1920,512,64,64,   3,1.00,0.20,0.2162
297,8,31,79.10,MEDIUM,1920,448,1984,512,64,64,   2,1.00,0.20,0.2020
298,8,32,88.60,HIGH,1984,448,2048,512,64,64,   1,1.00,1.00,0.3111
299,8,33,86.38,HIGH,2048,448,2112,512,64,64,   0,1.00,1.00,0.1813
306,9,2,52.44,MEDIUM,64,512,128,576,64,64, 391,1.00,0.20,0.5459
307,9,3,96.14,HIGH,128,512,192,576,64,64,   1,1.00,1.00,0.3563
308,9,4,85.40,HIGH,192,512,256,576,64,64,   1,1.00,1.00,0.3388
317,9,13,56.79,MEDIUM,768,512,832,576,64,64,  39,1.00,0.20,0.4113
318,9,14,64.84,MEDIUM,832,512,896,576,64,64,   0,1.00,0.20,0.0155
319,9,15,85.23,HIGH,896,512,960,576,64,64,   0,1.00,1.00,0.0000
320,9,16,88.57,HIGH,960,512,1024,576,64,64,   3,1.00,1.00,0.4968
321,9,17,96.51,HIGH,1024,512,1088,576,64,64,   3,1.00,1.00,0.5397
322,9,18,86.72,HIGH,1088,512,1152,576,64,64,   1,1.00,1.00,0.2494
332,9,28,43.43,MEDIUM,1728,512,1792,576,64,64, 846,1.00,0.20,0.4921
333,9,29,74.66,MEDIUM,1792,512,1856,576,64,64,   0,1.00,0.20,0.0197
334,9,30,69.78,MEDIUM,1856,512,1920,576,64,64,   0,1.00,0.20,0.0021
335,9,31,75.05,MEDIUM,1920,512,1984,576,64,64,   1,1.00,0.20,0.0984
336,9,32,87.38,HIGH,1984,512,2048,576,64,64,   0,1.00,1.00,0.1780
337,9,33,91.75,HIGH,2048,512,2112,576,64,64,   1,1.00,1.00,0.2691
338,9,34,64.33,MEDIUM,2112,512,2176,576,64,64,   0,1.00,0.20,0.0332
344,10,2,67.55,MEDIUM,64,576,128,640,64,64,  62,1.00,0.20,0.5427
