Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2176x3360
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2176x3360
Scaled Tile Size: 64x64
Total Mask: 76.11%, Total Tissue: 23.89%
Tiles: 34x53 = 1802
   235 (13.04%) tiles >=80% tissue
   389 (21.59%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
47,2,13,31.32,MEDIUM,768,64,832,128,64,64,   1,1.00,0.20,0.0093
57,2,23,29.98,MEDIUM,1408,64,1472,128,64,64,  32,1.00,0.20,0.1528
58,2,24,46.66,MEDIUM,1472,64,1536,128,64,64,  24,1.00,0.20,0.2762
59,2,25,28.05,MEDIUM,1536,64,1600,128,64,64,  14,1.00,0.20,0.0934
91,3,23,44.24,MEDIUM,1408,128,1472,192,64,64, 113,1.00,0.20,0.3820
92,3,24,94.82,HIGH,1472,128,1536,192,64,64,   7,1.00,1.00,0.6498
93,3,25,95.17,HIGH,1536,128,1600,192,64,64,   8,1.00,1.00,0.6700
94,3,26,82.62,HIGH,1600,128,1664,192,64,64,  12,1.00,1.00,0.6370
95,3,27,35.84,MEDIUM,1664,128,1728,192,64,64,  17,1.00,0.20,0.1597
125,4,23,60.86,MEDIUM,1408,192,1472,256,64,64,  60,1.00,0.20,0.4880
126,4,24,88.33,HIGH,1472,192,1536,256,64,64,  23,1.00,1.00,0.7130
127,4,25,93.82,HIGH,1536,192,1600,256,64,64,  16,1.00,1.00,0.7131
128,4,26,96.61,HIGH,1600,192,1664,256,64,64,   3,0.49,1.00,0.4452
129,4,27,95.53,HIGH,1664,192,1728,256,64,64,  11,1.00,1.00,0.6950
130,4,28,73.14,MEDIUM,1728,192,1792,256,64,64,  34,1.00,0.20,0.5251
131,4,29,26.88,MEDIUM,1792,192,1856,256,64,64,  12,1.00,0.20,0.0828
146,5,10,19.31,MEDIUM,576,256,640,320,64,64,   1,1.00,0.20,0.0056
152,5,16,25.39,MEDIUM,960,256,1024,320,64,64,  54,1.00,0.20,0.1372
159,5,23,71.34,MEDIUM,1408,256,1472,320,64,64, 771,1.00,0.20,0.7197
160,5,24,77.44,MEDIUM,1472,256,1536,320,64,64,  14,1.00,0.20,0.4449
161,5,25,81.64,HIGH,1536,256,1600,320,64,64,   1,1.00,1.00,0.2660
162,5,26,86.47,HIGH,1600,256,1664,320,64,64,   0,1.00,1.00,0.1600
163,5,27,84.62,HIGH,1664,256,1728,320,64,64,   3,1.00,1.00,0.5023
164,5,28,96.97,HIGH,1728,256,1792,320,64,64,  74,1.00,1.00,0.8026
165,5,29,87.30,HIGH,1792,256,1856,320,64,64,  24,1.00,1.00,0.7104
166,5,30,48.66,MEDIUM,1856,256,1920,320,64,64,   6,1.00,0.20,0.1586
180,6,10,85.84,HIGH,576,320,640,384,64,64,   8,1.00,1.00,0.6126
181,6,11,96.53,HIGH,640,320,704,384,64,64,   8,1.00,1.00,0.6664
182,6,12,87.92,HIGH,704,320,768,384,64,64,  15,1.00,1.00,0.6831
183,6,13,68.09,MEDIUM,768,320,832,384,64,64,   1,1.00,0.20,0.0962
184,6,14,64.65,MEDIUM,832,320,896,384,64,64,  18,1.00,0.20,0.3904
185,6,15,42.07,MEDIUM,896,320,960,384,64,64,   2,1.00,0.20,0.0450
186,6,16,41.80,MEDIUM,960,320,1024,384,64,64,   2,1.00,0.20,0.0653
187,6,17,16.53,MEDIUM,1024,320,1088,384,64,64,   5,1.00,0.20,0.0197
193,6,23,74.27,MEDIUM,1408,320,1472,384,64,64, 137,1.00,0.20,0.6484
194,6,24,71.07,MEDIUM,1472,320,1536,384,64,64,  31,1.00,0.20,0.4987
195,6,25,67.58,MEDIUM,1536,320,1600,384,64,64,  22,1.00,0.20,0.4335
196,6,26,86.77,HIGH,1600,320,1664,384,64,64,   0,1.00,1.00,0.1837
197,6,27,86.99,HIGH,1664,320,1728,384,64,64,   1,1.00,1.00,0.2766
198,6,28,93.24,HIGH,1728,320,1792,384,64,64,  17,1.00,1.00,0.7147
199,6,29,91.14,HIGH,1792,320,1856,384,64,64, 122,1.00,1.00,0.7998
200,6,30,92.63,HIGH,1856,320,1920,384,64,64,  26,1.00,1.00,0.7391
201,6,31,16.77,MEDIUM,1920,320,1984,384,64,64,   1,1.00,0.20,0.0072
214,7,10,54.42,MEDIUM,576,384,640,448,64,64,  14,1.00,0.20,0.2865
215,7,11,96.19,HIGH,640,384,704,448,64,64,  28,1.00,1.00,0.7574
216,7,12,88.72,HIGH,704,384,768,448,64,64,   5,1.00,1.00,0.5946
217,7,13,78.61,MEDIUM,768,384,832,448,64,64,   2,1.00,0.20,0.1860
218,7,14,81.76,HIGH,832,384,896,448,64,64,   1,1.00,1.00,0.3357
219,7,15,75.39,MEDIUM,896,384,960,448,64,64,   0,1.00,0.20,0.0210
220,7,16,66.31,MEDIUM,960,384,1024,448,64,64,  16,1.00,0.20,0.3862
221,7,17,54.22,MEDIUM,1024,384,1088,448,64,64, 302,1.00,0.20,0.5476
227,7,23,84.35,HIGH,1408,384,1472,448,64,64,  25,1.00,1.00,0.6992
228,7,24,91.77,HIGH,1472,384,1536,448,64,64,   6,1.00,1.00,0.6157
229,7,25,89.45,HIGH,1536,384,1600,448,64,64,   6,1.00,1.00,0.6130
230,7,26,90.06,HIGH,1600,384,1664,448,64,64,   1,1.00,1.00,0.2571
231,7,27,82.32,HIGH,1664,384,1728,448,64,64,   5,1.00,1.00,0.5455
232,7,28,95.63,HIGH,1728,384,1792,448,64,64,  23,1.00,1.00,0.7428
233,7,29,89.62,HIGH,1792,384,1856,448,64,64, 145,1.00,1.00,0.8001
234,7,30,94.09,HIGH,1856,384,1920,448,64,64,  76,1.00,1.00,0.7938
235,7,31,30.13,MEDIUM,1920,384,1984,448,64,64,  12,1.00,0.20,0.0988
249,8,11,71.46,MEDIUM,640,448,704,512,64,64,  36,1.00,0.20,0.5169
250,8,12,89.72,HIGH,704,448,768,512,64,64,  13,1.00,1.00,0.6823
251,8,13,79.96,MEDIUM,768,448,832,512,64,64,   1,1.00,0.20,0.0899
252,8,14,83.57,HIGH,832,448,896,512,64,64,   1,1.00,1.00,0.2354
253,8,15,63.70,MEDIUM,896,448,960,512,64,64,   0,1.00,0.20,0.0025
254,8,16,41.65,MEDIUM,960,448,1024,512,64,64,   3,1.00,0.20,0.0785
255,8,17,26.81,MEDIUM,1024,448,1088,512,64,64,  17,1.00,0.20,0.0962
257,8,19,26.20,MEDIUM,1152,448,1216,512,64,64,  25,1.00,0.20,0.1087
261,8,23,73.66,MEDIUM,1408,448,1472,512,64,64,  25,1.00,0.20,0.4936
262,8,24,87.77,HIGH,1472,448,1536,512,64,64,   1,1.00,1.00,0.2715
263,8,25,85.45,HIGH,1536,448,1600,512,64,64,   0,1.00,1.00,0.1914
264,8,26,74.00,MEDIUM,1600,448,1664,512,64,64,   0,1.00,0.20,0.0310
265,8,27,71.58,MEDIUM,1664,448,1728,512,64,64,   3,1.00,0.20,0.1869
266,8,28,89.77,HIGH,1728,448,1792,512,64,64,  15,1.00,1.00,0.6886
267,8,29,88.26,HIGH,1792,448,1856,512,64,64,  79,1.00,1.00,0.7734
268,8,30,93.19,HIGH,1856,448,1920,512,64,64, 128,1.00,1.00,0.8084
269,8,31,70.19,MEDIUM,1920,448,1984,512,64,64,  34,1.00,0.20,0.5017
283,9,11,30.62,MEDIUM,640,512,704,576,64,64,  11,1.00,0.20,0.0991
284,9,12,94.41,HIGH,704,512,768,576,64,64,   5,1.00,1.00,0.6056
285,9,13,78.54,MEDIUM,768,512,832,576,64,64,   4,1.00,0.20,0.2813
286,9,14,74.63,MEDIUM,832,512,896,576,64,64,   0,1.00,0.20,0.0139
287,9,15,80.27,HIGH,896,512,960,576,64,64,   3,1.00,1.00,0.4584
288,9,16,34.03,MEDIUM,960,512,1024,576,64,64, 308,1.00,0.20,0.3239
295,9,23,42.14,MEDIUM,1408,512,1472,576,64,64, 104,1.00,0.20,0.3539
296,9,24,74.58,MEDIUM,1472,512,1536,576,64,64,   0,1.00,0.20,0.0217
297,9,25,82.89,HIGH,1536,512,1600,576,64,64,   1,1.00,1.00,0.3260
298,9,26,78.74,MEDIUM,1600,512,1664,576,64,64,   0,1.00,0.20,0.0449
299,9,27,67.68,MEDIUM,1664,512,1728,576,64,64,  14,1.00,0.20,0.3801
300,9,28,79.83,MEDIUM,1728,512,1792,576,64,64,   3,1.00,0.20,0.2337
301,9,29,92.72,HIGH,1792,512,1856,576,64,64,  16,1.00,1.00,0.7099
302,9,30,89.06,HIGH,1856,512,1920,576,64,64,  78,1.00,1.00,0.7760
303,9,31,91.80,HIGH,1920,512,1984,576,64,64,  45,1.00,1.00,0.7630
317,10,11,28.61,MEDIUM,640,576,704,640,64,64,   9,1.00,0.20,0.0764
318,10,12,92.53,HIGH,704,576,768,640,64,64,   7,1.00,1.00,0.6405
319,10,13,71.31,MEDIUM,768,576,832,640,64,64,   2,1.00,0.20,0.1368
320,10,14,59.38,MEDIUM,832,576,896,640,64,64,   1,1.00,0.20,0.0783
321,10,15,77.73,MEDIUM,896,576,960,640,64,64,   2,1.00,0.20,0.1885
322,10,16,60.50,MEDIUM,960,576,1024,640,64,64, 129,1.00,0.20,0.5459
