Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1664x2496
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 1664x2496
Scaled Tile Size: 64x64
Total Mask: 75.09%, Total Tissue: 24.91%
Tiles: 26x39 = 1014
   191 (18.84%) tiles >=80% tissue
   136 (13.41%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
33,2,7,19.09,MEDIUM,384,64,448,128,64,64,   0,1.00,0.20,0.0000
34,2,8,49.02,MEDIUM,448,64,512,128,64,64,   0,1.00,0.20,0.0072
59,3,7,67.02,MEDIUM,384,128,448,192,64,64,   2,1.00,0.20,0.1073
60,3,8,99.56,HIGH,448,128,512,192,64,64,   1,1.00,1.00,0.4383
61,3,9,61.62,MEDIUM,512,128,576,192,64,64,   0,1.00,0.20,0.0000
84,4,6,35.08,MEDIUM,320,192,384,256,64,64,   2,1.00,0.20,0.0403
85,4,7,95.17,HIGH,384,192,448,256,64,64,   1,1.00,1.00,0.4505
86,4,8,99.29,HIGH,448,192,512,256,64,64,   0,1.00,1.00,0.0000
87,4,9,95.48,HIGH,512,192,576,256,64,64,   0,1.00,1.00,0.0000
88,4,10,54.59,MEDIUM,576,192,640,256,64,64,   0,1.00,0.20,0.0000
110,5,6,64.09,MEDIUM,320,256,384,320,64,64,   1,1.00,0.20,0.0815
111,5,7,99.54,HIGH,384,256,448,320,64,64,   2,1.00,1.00,0.5423
112,5,8,98.39,HIGH,448,256,512,320,64,64,   0,1.00,1.00,0.0000
113,5,9,91.28,HIGH,512,256,576,320,64,64,   1,1.00,1.00,0.4168
114,5,10,58.96,MEDIUM,576,256,640,320,64,64,   0,1.00,0.20,0.0000
136,6,6,99.76,HIGH,320,320,384,384,64,64,   4,1.00,1.00,0.6046
137,6,7,96.51,HIGH,384,320,448,384,64,64,   0,1.00,1.00,0.0304
138,6,8,97.95,HIGH,448,320,512,384,64,64,   3,1.00,1.00,0.5481
139,6,9,76.90,MEDIUM,512,320,576,384,64,64,   7,1.00,0.20,0.3482
161,7,5,66.09,MEDIUM,256,384,320,448,64,64,   5,1.00,0.20,0.2207
162,7,6,99.76,HIGH,320,384,384,448,64,64,   8,1.00,1.00,0.6892
163,7,7,79.93,MEDIUM,384,384,448,448,64,64,   1,1.00,0.20,0.0912
164,7,8,91.11,HIGH,448,384,512,448,64,64,   0,1.00,1.00,0.0000
165,7,9,19.09,MEDIUM,512,384,576,448,64,64,   0,1.00,0.20,0.0000
186,8,4,24.41,MEDIUM,192,448,256,512,64,64,   0,1.00,0.20,0.0008
187,8,5,99.05,HIGH,256,448,320,512,64,64,   6,1.00,1.00,0.6549
188,8,6,98.46,HIGH,320,448,384,512,64,64,   0,1.00,1.00,0.0000
189,8,7,67.97,MEDIUM,384,448,448,512,64,64,   0,1.00,0.20,0.0000
190,8,8,76.51,MEDIUM,448,448,512,512,64,64,   0,1.00,0.20,0.0000
212,9,4,27.93,MEDIUM,192,512,256,576,64,64,   0,1.00,0.20,0.0045
213,9,5,96.85,HIGH,256,512,320,576,64,64,   0,1.00,1.00,0.2718
214,9,6,97.85,HIGH,320,512,384,576,64,64,   0,1.00,1.00,0.0000
215,9,7,98.95,HIGH,384,512,448,576,64,64,   0,1.00,1.00,0.0000
216,9,8,62.92,MEDIUM,448,512,512,576,64,64,4826,1.00,0.20,0.7312
239,10,5,73.41,MEDIUM,256,576,320,640,64,64,   0,1.00,0.20,0.0233
240,10,6,97.88,HIGH,320,576,384,640,64,64,   0,1.00,1.00,0.0000
241,10,7,97.63,HIGH,384,576,448,640,64,64,   0,1.00,1.00,0.0000
242,10,8,73.36,MEDIUM,448,576,512,640,64,64,   0,1.00,0.20,0.0000
266,11,6,93.73,HIGH,320,640,384,704,64,64,   0,1.00,1.00,0.0972
267,11,7,97.78,HIGH,384,640,448,704,64,64,   1,1.00,1.00,0.3903
268,11,8,79.66,MEDIUM,448,640,512,704,64,64,   0,1.00,0.20,0.0000
270,11,10,60.38,MEDIUM,576,640,640,704,64,64,   3,1.00,0.20,0.1485
271,11,11,38.43,MEDIUM,640,640,704,704,64,64,   0,1.00,0.20,0.0120
292,12,6,23.46,MEDIUM,320,704,384,768,64,64,   0,1.00,0.20,0.0000
293,12,7,91.60,HIGH,384,704,448,768,64,64,   7,1.00,1.00,0.6346
294,12,8,77.73,MEDIUM,448,704,512,768,64,64,   4,1.00,0.20,0.2748
295,12,9,58.06,MEDIUM,512,704,576,768,64,64,   5,1.00,0.20,0.1926
296,12,10,94.48,HIGH,576,704,640,768,64,64,   0,1.00,1.00,0.0000
307,12,21,35.40,MEDIUM,1280,704,1344,768,64,64,  45,1.00,0.20,0.2244
308,12,22,76.07,MEDIUM,1344,704,1408,768,64,64,   7,1.00,0.20,0.3312
321,13,9,58.89,MEDIUM,512,768,576,832,64,64,   3,1.00,0.20,0.1377
322,13,10,95.36,HIGH,576,768,640,832,64,64,   0,1.00,1.00,0.0000
323,13,11,46.78,MEDIUM,640,768,704,832,64,64,   2,1.00,0.20,0.0620
332,13,20,71.46,MEDIUM,1216,768,1280,832,64,64,   5,1.00,0.20,0.2519
333,13,21,94.60,HIGH,1280,768,1344,832,64,64,  20,1.00,1.00,0.7310
334,13,22,99.37,HIGH,1344,768,1408,832,64,64,   5,1.00,1.00,0.6364
335,13,23,33.54,MEDIUM,1408,768,1472,832,64,64,   2,1.00,0.20,0.0336
347,14,9,67.70,MEDIUM,512,832,576,896,64,64,  23,1.00,0.20,0.4388
348,14,10,98.14,HIGH,576,832,640,896,64,64,   0,1.00,1.00,0.0145
349,14,11,93.65,HIGH,640,832,704,896,64,64,   0,1.00,1.00,0.2528
350,14,12,91.04,HIGH,704,832,768,896,64,64,   0,1.00,1.00,0.0000
351,14,13,26.98,MEDIUM,768,832,832,896,64,64,   0,1.00,0.20,0.0000
357,14,19,55.74,MEDIUM,1152,832,1216,896,64,64,   7,1.00,0.20,0.2084
358,14,20,99.46,HIGH,1216,832,1280,896,64,64,  10,1.00,1.00,0.7011
359,14,21,95.09,HIGH,1280,832,1344,896,64,64,   8,1.00,1.00,0.6667
360,14,22,94.26,HIGH,1344,832,1408,896,64,64,   0,1.00,1.00,0.0000
373,15,9,86.79,HIGH,512,896,576,960,64,64,   3,1.00,1.00,0.4968
374,15,10,97.07,HIGH,576,896,640,960,64,64,   0,1.00,1.00,0.1046
375,15,11,94.41,HIGH,640,896,704,960,64,64,   0,1.00,1.00,0.0985
376,15,12,85.69,HIGH,704,896,768,960,64,64,   4,1.00,1.00,0.5250
377,15,13,22.07,MEDIUM,768,896,832,960,64,64,   0,1.00,0.20,0.0000
382,15,18,32.37,MEDIUM,1088,896,1152,960,64,64,   4,1.00,0.20,0.0530
383,15,19,99.93,HIGH,1152,896,1216,960,64,64,  16,1.00,1.00,0.7408
384,15,20,98.61,HIGH,1216,896,1280,960,64,64,   4,1.00,1.00,0.6202
385,15,21,85.64,HIGH,1280,896,1344,960,64,64,   0,1.00,1.00,0.0000
386,15,22,64.36,MEDIUM,1344,896,1408,960,64,64,   0,1.00,0.20,0.0000
399,16,9,93.46,HIGH,512,960,576,1024,64,64,   3,1.00,1.00,0.5372
400,16,10,96.36,HIGH,576,960,640,1024,64,64,  37,1.00,1.00,0.7709
401,16,11,76.66,MEDIUM,640,960,704,1024,64,64,   9,1.00,0.20,0.3834
402,16,12,19.34,MEDIUM,704,960,768,1024,64,64,  54,1.00,0.20,0.0847
408,16,18,37.87,MEDIUM,1088,960,1152,1024,64,64,   4,1.00,0.20,0.0718
409,16,19,99.80,HIGH,1152,960,1216,1024,64,64,   5,1.00,1.00,0.6295
410,16,20,99.56,HIGH,1216,960,1280,1024,64,64,   8,1.00,1.00,0.6802
411,16,21,90.82,HIGH,1280,960,1344,1024,64,64,   8,1.00,1.00,0.6490
412,16,22,27.37,MEDIUM,1344,960,1408,1024,64,64,   0,1.00,0.20,0.0000
425,17,9,58.59,MEDIUM,512,1024,576,1088,64,64,   2,1.00,0.20,0.1083
426,17,10,98.63,HIGH,576,1024,640,1088,64,64,   1,1.00,1.00,0.4151
427,17,11,87.45,HIGH,640,1024,704,1088,64,64,  79,1.00,1.00,0.7701
428,17,12,68.04,MEDIUM,704,1024,768,1088,64,64,  25,1.00,0.20,0.4512
429,17,13,70.12,MEDIUM,768,1024,832,1088,64,64,   1,1.00,0.20,0.0739
430,17,14,16.75,MEDIUM,832,1024,896,1088,64,64,   0,1.00,0.20,0.0025
434,17,18,37.50,MEDIUM,1088,1024,1152,1088,64,64,   5,1.00,0.20,0.0845
435,17,19,99.88,HIGH,1152,1024,1216,1088,64,64,   3,0.49,1.00,0.4880
436,17,20,99.71,HIGH,1216,1024,1280,1088,64,64,   3,1.00,1.00,0.5988
437,17,21,85.72,HIGH,1280,1024,1344,1088,64,64,  10,1.00,1.00,0.6344
451,18,9,69.75,MEDIUM,512,1088,576,1152,64,64,   1,1.00,0.20,0.1064
452,18,10,99.27,HIGH,576,1088,640,1152,64,64,   1,1.00,1.00,0.4389
453,18,11,96.22,HIGH,640,1088,704,1152,64,64,   5,1.00,1.00,0.6178
454,18,12,92.58,HIGH,704,1088,768,1152,64,64,  10,1.00,1.00,0.6764
455,18,13,90.36,HIGH,768,1088,832,1152,64,64,   0,1.00,1.00,0.2395
460,18,18,37.35,MEDIUM,1088,1088,1152,1152,64,64,   1,1.00,0.20,0.0242
461,18,19,99.90,HIGH,1152,1088,1216,1152,64,64,   3,1.00,1.00,0.5670
462,18,20,99.44,HIGH,1216,1088,1280,1152,64,64,   3,1.00,1.00,0.5906
463,18,21,89.38,HIGH,1280,1088,1344,1152,64,64,  10,1.00,1.00,0.6542
477,19,9,59.38,MEDIUM,512,1152,576,1216,64,64,   2,1.00,0.20,0.0863
478,19,10,97.90,HIGH,576,1152,640,1216,64,64,   5,1.00,1.00,0.6267
479,19,11,97.61,HIGH,640,1152,704,1216,64,64,   3,1.00,1.00,0.5529
480,19,12,93.41,HIGH,704,1152,768,1216,64,64,   0,1.00,1.00,0.0000
481,19,13,84.62,HIGH,768,1152,832,1216,64,64,  19,1.00,1.00,0.6832
482,19,14,23.58,MEDIUM,832,1152,896,1216,64,64,   0,1.00,0.20,0.0000
486,19,18,46.48,MEDIUM,1088,1152,1152,1216,64,64,   8,1.00,0.20,0.1656
487,19,19,99.61,HIGH,1152,1152,1216,1216,64,64,   4,1.00,1.00,0.6267
488,19,20,98.80,HIGH,1216,1152,1280,1216,64,64,   2,1.00,1.00,0.5447
489,19,21,96.02,HIGH,1280,1152,1344,1216,64,64,   2,1.00,1.00,0.4763
490,19,22,43.92,MEDIUM,1344,1152,1408,1216,64,64,   0,1.00,0.20,0.0000
498,20,4,53.93,MEDIUM,192,1216,256,1280,64,64,   0,1.00,0.20,0.0000
503,20,9,48.05,MEDIUM,512,1216,576,1280,64,64,   1,1.00,0.20,0.0561
504,20,10,98.00,HIGH,576,1216,640,1280,64,64,   4,1.00,1.00,0.6049
505,20,11,98.29,HIGH,640,1216,704,1280,64,64,   1,1.00,1.00,0.3703
506,20,12,83.86,HIGH,704,1216,768,1280,64,64,   9,1.00,1.00,0.6227
