Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2816x3264
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2816x3264
Scaled Tile Size: 64x64
Total Mask: 69.47%, Total Tissue: 30.53%
Tiles: 44x51 = 2244
   415 (18.49%) tiles >=80% tissue
   614 (27.36%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
121,3,33,63.72,MEDIUM,2048,128,2112,192,64,64,  22,1.00,0.20,0.4051
149,4,17,21.63,MEDIUM,1024,192,1088,256,64,64,   3,1.00,0.20,0.0205
156,4,24,29.54,MEDIUM,1472,192,1536,256,64,64, 170,1.00,0.20,0.2368
158,4,26,22.97,MEDIUM,1600,192,1664,256,64,64,   0,1.00,0.20,0.0006
161,4,29,25.22,MEDIUM,1792,192,1856,256,64,64,   0,1.00,0.20,0.0015
167,4,35,33.47,MEDIUM,2176,192,2240,256,64,64, 294,1.00,0.20,0.3143
190,5,14,38.35,MEDIUM,832,256,896,320,64,64,  33,1.00,0.20,0.2300
191,5,15,55.22,MEDIUM,896,256,960,320,64,64,  14,1.00,0.20,0.2863
192,5,16,88.92,HIGH,960,256,1024,320,64,64,  25,1.00,1.00,0.7214
193,5,17,91.99,HIGH,1024,256,1088,320,64,64,   1,1.00,1.00,0.3529
194,5,18,18.92,MEDIUM,1088,256,1152,320,64,64,   0,1.00,0.20,0.0014
200,5,24,17.41,MEDIUM,1472,256,1536,320,64,64,   0,1.00,0.20,0.0000
203,5,27,21.92,MEDIUM,1664,256,1728,320,64,64,   0,1.00,0.20,0.0007
205,5,29,20.78,MEDIUM,1792,256,1856,320,64,64,   0,1.00,0.20,0.0004
209,5,33,30.42,MEDIUM,2048,256,2112,320,64,64,   0,1.00,0.20,0.0000
211,5,35,40.58,MEDIUM,2176,256,2240,320,64,64, 398,1.00,0.20,0.4195
234,6,14,50.05,MEDIUM,832,320,896,384,64,64,   4,1.00,0.20,0.1254
235,6,15,91.06,HIGH,896,320,960,384,64,64,   5,1.00,1.00,0.5887
236,6,16,87.82,HIGH,960,320,1024,384,64,64,   5,1.00,1.00,0.5708
237,6,17,74.83,MEDIUM,1024,320,1088,384,64,64,   2,1.00,0.20,0.1366
238,6,18,34.33,MEDIUM,1088,320,1152,384,64,64,   1,1.00,0.20,0.0286
239,6,19,80.35,HIGH,1152,320,1216,384,64,64,   1,1.00,1.00,0.2216
240,6,20,80.18,HIGH,1216,320,1280,384,64,64,   1,1.00,1.00,0.2137
241,6,21,25.73,MEDIUM,1280,320,1344,384,64,64,   7,1.00,0.20,0.0532
253,6,33,16.41,MEDIUM,2048,320,2112,384,64,64,   0,1.00,0.20,0.0000
254,6,34,31.23,MEDIUM,2112,320,2176,384,64,64,   5,1.00,0.20,0.0634
255,6,35,39.31,MEDIUM,2176,320,2240,384,64,64, 647,1.00,0.20,0.4294
