Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1024x2816
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 1024x2816
Scaled Tile Size: 64x64
Total Mask: 93.53%, Total Tissue: 6.47%
Tiles: 16x44 = 704
     9 ( 1.28%) tiles >=80% tissue
    78 (11.08%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
20,2,4,15.11,MEDIUM,192,64,256,128,64,64, 252,1.00,0.20,0.0826
21,2,5,25.29,MEDIUM,256,64,320,128,64,64, 398,1.00,0.20,0.2193
38,3,6,42.33,MEDIUM,320,128,384,192,64,64, 221,1.00,0.20,0.4057
55,4,7,24.93,MEDIUM,384,192,448,256,64,64, 133,1.00,0.20,0.1708
71,5,7,32.71,MEDIUM,384,256,448,320,64,64, 105,1.00,0.20,0.2485
87,6,7,55.83,MEDIUM,384,320,448,384,64,64,  57,1.00,0.20,0.4405
104,7,8,29.37,MEDIUM,448,384,512,448,64,64,  71,1.00,0.20,0.1901
120,8,8,19.85,MEDIUM,448,448,512,512,64,64,  45,1.00,0.20,0.0833
133,9,5,19.90,MEDIUM,256,512,320,576,64,64, 275,1.00,0.20,0.1375
136,9,8,39.23,MEDIUM,448,512,512,576,64,64,  44,1.00,0.20,0.2600
151,10,7,57.45,MEDIUM,384,576,448,640,64,64,  60,1.00,0.20,0.4588
167,11,7,59.94,MEDIUM,384,640,448,704,64,64,  37,1.00,0.20,0.4342
183,12,7,73.93,MEDIUM,384,704,448,768,64,64,  26,1.00,0.20,0.4976
199,13,7,86.30,HIGH,384,768,448,832,64,64,  41,1.00,1.00,0.7359
212,14,4,15.06,MEDIUM,192,832,256,896,64,64, 110,0.49,0.20,0.0530
213,14,5,13.65,MEDIUM,256,832,320,896,64,64,  70,0.49,0.20,0.0370
215,14,7,76.73,MEDIUM,384,832,448,896,64,64,  18,1.00,0.20,0.4747
216,14,8,47.80,MEDIUM,448,832,512,896,64,64,  15,1.00,0.20,0.2383
