Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3320x9591
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 3320x9591
Scaled Tile Size: 64x64
Total Mask: 96.98%, Total Tissue: 3.02%
Tiles: 52x150 = 7800
   195 ( 2.50%) tiles >=80% tissue
    90 ( 1.15%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
1525,30,17,64.58,MEDIUM,1024,1856,1088,1920,64,64, 135,1.00,0.20,0.5817
1526,30,18,63.01,MEDIUM,1088,1856,1152,1920,64,64, 389,1.00,0.20,0.6342
1576,31,16,40.33,MEDIUM,960,1920,1024,1984,64,64,  10,1.00,0.20,0.1540
1577,31,17,97.61,HIGH,1024,1920,1088,1984,64,64, 102,1.00,1.00,0.8154
1578,31,18,96.36,HIGH,1088,1920,1152,1984,64,64, 169,1.00,1.00,0.8267
1579,31,19,94.68,HIGH,1152,1920,1216,1984,64,64, 298,1.00,1.00,0.8363
1580,31,20,37.99,MEDIUM,1216,1920,1280,1984,64,64,1152,1.00,0.20,0.4400
1629,32,17,88.04,HIGH,1024,1984,1088,2048,64,64,  37,1.00,1.00,0.7378
1630,32,18,92.02,HIGH,1088,1984,1152,2048,64,64,  63,1.00,1.00,0.7789
1631,32,19,94.48,HIGH,1152,1984,1216,2048,64,64,  98,1.00,1.00,0.8040
1632,32,20,78.37,MEDIUM,1216,1984,1280,2048,64,64, 344,1.00,0.20,0.7228
1633,32,21,26.42,MEDIUM,1280,1984,1344,2048,64,64, 873,1.00,0.20,0.2651
1679,33,15,18.99,MEDIUM,896,2048,960,2112,64,64, 180,1.00,0.20,0.1152
1680,33,16,60.11,MEDIUM,960,2048,1024,2112,64,64,  98,1.00,0.20,0.5222
1681,33,17,96.04,HIGH,1024,2048,1088,2112,64,64,  50,1.00,1.00,0.7841
1682,33,18,95.61,HIGH,1088,2048,1152,2112,64,64, 100,1.00,1.00,0.8083
1683,33,19,97.51,HIGH,1152,2048,1216,2112,64,64, 224,1.00,1.00,0.8373
1684,33,20,99.66,HIGH,1216,2048,1280,2112,64,64,1005,1.00,1.00,0.8729
1685,33,21,91.60,HIGH,1280,2048,1344,2112,64,64, 917,1.00,1.00,0.8513
1731,34,15,74.37,MEDIUM,896,2112,960,2176,64,64,  66,1.00,0.20,0.5951
1732,34,16,79.27,MEDIUM,960,2112,1024,2176,64,64, 213,1.00,0.20,0.7034
1733,34,17,97.75,HIGH,1024,2112,1088,2176,64,64,  64,1.00,1.00,0.7994
1734,34,18,96.61,HIGH,1088,2112,1152,2176,64,64,  58,1.00,1.00,0.7916
1735,34,19,99.49,HIGH,1152,2112,1216,2176,64,64, 191,1.00,1.00,0.8388
1736,34,20,99.90,HIGH,1216,2112,1280,2176,64,64,1454,1.00,1.00,0.8791
1737,34,21,99.73,HIGH,1280,2112,1344,2176,64,64,1065,1.00,1.00,0.8740
1738,34,22,54.96,MEDIUM,1344,2112,1408,2176,64,64, 786,1.00,0.20,0.6047
1782,35,14,35.62,MEDIUM,832,2176,896,2240,64,64,  18,1.00,0.20,0.1623
1783,35,15,94.87,HIGH,896,2176,960,2240,64,64,  53,1.00,1.00,0.7823
1784,35,16,96.80,HIGH,960,2176,1024,2240,64,64,  87,1.00,1.00,0.8076
1785,35,17,98.44,HIGH,1024,2176,1088,2240,64,64,  78,1.00,1.00,0.8089
1786,35,18,97.97,HIGH,1088,2176,1152,2240,64,64, 101,1.00,1.00,0.8162
1787,35,19,99.58,HIGH,1152,2176,1216,2240,64,64, 274,1.00,1.00,0.8478
1788,35,20,99.93,HIGH,1216,2176,1280,2240,64,64,1429,0.49,1.00,0.8674
1789,35,21,99.85,HIGH,1280,2176,1344,2240,64,64,1455,1.00,1.00,0.8790
1790,35,22,67.77,MEDIUM,1344,2176,1408,2240,64,64, 936,1.00,0.20,0.7064
1834,36,14,34.03,MEDIUM,832,2240,896,2304,64,64,  15,1.00,0.20,0.1398
1835,36,15,70.12,MEDIUM,896,2240,960,2304,64,64,  64,1.00,0.20,0.5633
1836,36,16,97.17,HIGH,960,2240,1024,2304,64,64, 112,1.00,1.00,0.8170
1837,36,17,97.90,HIGH,1024,2240,1088,2304,64,64, 191,1.00,1.00,0.8344
1838,36,18,98.17,HIGH,1088,2240,1152,2304,64,64,  82,1.00,1.00,0.8097
1839,36,19,99.58,HIGH,1152,2240,1216,2304,64,64, 707,1.00,1.00,0.8668
1840,36,20,99.90,HIGH,1216,2240,1280,2304,64,64,1395,1.00,1.00,0.8785
1841,36,21,99.61,HIGH,1280,2240,1344,2304,64,64,1185,1.00,1.00,0.8754
1842,36,22,56.67,MEDIUM,1344,2240,1408,2304,64,64, 838,1.00,0.20,0.6221
1888,37,16,96.39,HIGH,960,2304,1024,2368,64,64,  98,1.00,1.00,0.8101
1889,37,17,98.66,HIGH,1024,2304,1088,2368,64,64, 109,1.00,1.00,0.8206
1890,37,18,97.95,HIGH,1088,2304,1152,2368,64,64,  74,1.00,1.00,0.8055
1891,37,19,99.68,HIGH,1152,2304,1216,2368,64,64, 692,1.00,1.00,0.8667
1892,37,20,97.29,HIGH,1216,2304,1280,2368,64,64,1321,1.00,1.00,0.8718
1893,37,21,99.98,HIGH,1280,2304,1344,2368,64,64, 895,1.00,1.00,0.8717
1894,37,22,72.41,MEDIUM,1344,2304,1408,2368,64,64, 860,1.00,0.20,0.7299
1938,38,14,24.78,MEDIUM,832,2368,896,2432,64,64,  17,1.00,0.20,0.0827
1939,38,15,86.11,HIGH,896,2368,960,2432,64,64,  36,1.00,1.00,0.7279
1940,38,16,97.05,HIGH,960,2368,1024,2432,64,64, 144,1.00,1.00,0.8241
1941,38,17,98.36,HIGH,1024,2368,1088,2432,64,64, 155,1.00,1.00,0.8301
1942,38,18,98.44,HIGH,1088,2368,1152,2432,64,64, 102,1.00,1.00,0.8178
1943,38,19,99.49,HIGH,1152,2368,1216,2432,64,64,1154,1.00,1.00,0.8747
1944,38,20,100.00,HIGH,1216,2368,1280,2432,64,64,1204,1.00,1.00,0.8765
1945,38,21,99.93,HIGH,1280,2368,1344,2432,64,64, 922,1.00,1.00,0.8721
1946,38,22,59.35,MEDIUM,1344,2368,1408,2432,64,64, 940,1.00,0.20,0.6487
1990,39,14,34.08,MEDIUM,832,2432,896,2496,64,64,  22,1.00,0.20,0.1649
1991,39,15,94.21,HIGH,896,2432,960,2496,64,64,  82,1.00,1.00,0.7969
1992,39,16,97.90,HIGH,960,2432,1024,2496,64,64, 209,1.00,1.00,0.8367
1993,39,17,98.22,HIGH,1024,2432,1088,2496,64,64, 145,1.00,1.00,0.8279
1994,39,18,98.93,HIGH,1088,2432,1152,2496,64,64, 126,1.00,1.00,0.8258
1995,39,19,99.83,HIGH,1152,2432,1216,2496,64,64,1172,1.00,1.00,0.8757
1996,39,20,99.98,HIGH,1216,2432,1280,2496,64,64,1077,1.00,1.00,0.8747
1997,39,21,99.61,HIGH,1280,2432,1344,2496,64,64,1024,1.00,1.00,0.8731
1998,39,22,29.71,MEDIUM,1344,2432,1408,2496,64,64, 896,1.00,0.20,0.3144
2042,40,14,46.29,MEDIUM,832,2496,896,2560,64,64,  26,1.00,0.20,0.2822
2043,40,15,93.43,HIGH,896,2496,960,2560,64,64,  82,1.00,1.00,0.7943
2044,40,16,97.78,HIGH,960,2496,1024,2560,64,64,  96,1.00,1.00,0.8140
2045,40,17,98.49,HIGH,1024,2496,1088,2560,64,64,  71,1.00,1.00,0.8060
2046,40,18,97.71,HIGH,1088,2496,1152,2560,64,64, 339,1.00,1.00,0.8476
2047,40,19,99.88,HIGH,1152,2496,1216,2560,64,64,1288,1.00,1.00,0.8772
2048,40,20,98.75,HIGH,1216,2496,1280,2560,64,64, 821,1.00,1.00,0.8675
2049,40,21,89.06,HIGH,1280,2496,1344,2560,64,64, 772,1.00,1.00,0.8406
2094,41,14,25.90,MEDIUM,832,2560,896,2624,64,64,  12,1.00,0.20,0.0754
2095,41,15,76.46,MEDIUM,896,2560,960,2624,64,64,  95,1.00,0.20,0.6362
2096,41,16,90.75,HIGH,960,2560,1024,2624,64,64, 115,1.00,1.00,0.7965
2097,41,17,98.90,HIGH,1024,2560,1088,2624,64,64,  99,1.00,1.00,0.8184
2098,41,18,99.15,HIGH,1088,2560,1152,2624,64,64, 600,1.00,1.00,0.8628
2099,41,19,96.24,HIGH,1152,2560,1216,2624,64,64, 936,1.00,1.00,0.8637
2100,41,20,88.48,HIGH,1216,2560,1280,2624,64,64, 743,1.00,1.00,0.8381
2101,41,21,46.51,MEDIUM,1280,2560,1344,2624,64,64, 668,1.00,0.20,0.5147
2147,42,15,60.28,MEDIUM,896,2624,960,2688,64,64,  19,1.00,0.20,0.3619
2148,42,16,92.07,HIGH,960,2624,1024,2688,64,64, 174,1.00,1.00,0.8141
2149,42,17,97.80,HIGH,1024,2624,1088,2688,64,64, 151,1.00,1.00,0.8277
2150,42,18,99.71,HIGH,1088,2624,1152,2688,64,64, 459,1.00,1.00,0.8591
2151,42,19,96.24,HIGH,1152,2624,1216,2688,64,64, 839,1.00,1.00,0.8618
2152,42,20,68.90,MEDIUM,1216,2624,1280,2688,64,64, 780,1.00,0.20,0.7059
2200,43,16,23.14,MEDIUM,960,2688,1024,2752,64,64,  52,1.00,0.20,0.1154
2201,43,17,90.70,HIGH,1024,2688,1088,2752,64,64, 194,1.00,1.00,0.8126
2202,43,18,53.96,MEDIUM,1088,2688,1152,2752,64,64,1027,1.00,0.20,0.6081
2721,53,17,63.77,MEDIUM,1024,3328,1088,3392,64,64, 250,1.00,0.20,0.6153
2722,53,18,59.94,MEDIUM,1088,3328,1152,3392,64,64, 416,1.00,0.20,0.6142
2772,54,16,33.67,MEDIUM,960,3392,1024,3456,64,64,  15,1.00,0.20,0.1350
2773,54,17,92.09,HIGH,1024,3392,1088,3456,64,64, 106,1.00,1.00,0.7985
2774,54,18,91.65,HIGH,1088,3392,1152,3456,64,64, 113,1.00,1.00,0.7990
2775,54,19,95.48,HIGH,1152,3392,1216,3456,64,64, 435,1.00,1.00,0.8471
2776,54,20,22.44,MEDIUM,1216,3392,1280,3456,64,64,1113,1.00,0.20,0.2140
2824,55,16,38.82,MEDIUM,960,3456,1024,3520,64,64,  19,1.00,0.20,0.1901
2825,55,17,98.83,HIGH,1024,3456,1088,3520,64,64,  23,1.00,1.00,0.7569
2826,55,18,96.36,HIGH,1088,3456,1152,3520,64,64,  65,1.00,1.00,0.7957
