Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2432x3264
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2432x3264
Scaled Tile Size: 64x64
Total Mask: 72.89%, Total Tissue: 27.11%
Tiles: 38x51 = 1938
   323 (16.67%) tiles >=80% tissue
   438 (22.60%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
57,2,19,33.25,MEDIUM,1152,64,1216,128,64,64,   1,1.00,0.20,0.0248
58,2,20,17.50,MEDIUM,1216,64,1280,128,64,64,   0,1.00,0.20,0.0014
91,3,15,31.15,MEDIUM,896,128,960,192,64,64,   3,1.00,0.20,0.0406
92,3,16,65.43,MEDIUM,960,128,1024,192,64,64,   6,1.00,0.20,0.2443
93,3,17,92.90,HIGH,1024,128,1088,192,64,64,   2,1.00,1.00,0.4658
94,3,18,98.49,HIGH,1088,128,1152,192,64,64,   7,1.00,1.00,0.6638
95,3,19,82.76,HIGH,1152,128,1216,192,64,64,  12,1.00,1.00,0.6406
126,4,12,74.98,MEDIUM,704,192,768,256,64,64,  13,1.00,0.20,0.4163
127,4,13,99.58,HIGH,768,192,832,256,64,64,  20,1.00,1.00,0.7506
128,4,14,97.95,HIGH,832,192,896,256,64,64,  14,1.00,1.00,0.7231
129,4,15,94.73,HIGH,896,192,960,256,64,64,   9,1.00,1.00,0.6757
130,4,16,91.55,HIGH,960,192,1024,256,64,64,   5,1.00,1.00,0.5891
131,4,17,66.99,MEDIUM,1024,192,1088,256,64,64,   1,1.00,0.20,0.0967
132,4,18,48.19,MEDIUM,1088,192,1152,256,64,64,  12,1.00,0.20,0.2175
133,4,19,59.06,MEDIUM,1152,192,1216,256,64,64,   1,1.00,0.20,0.0738
162,5,10,60.79,MEDIUM,576,256,640,320,64,64,   1,1.00,0.20,0.0575
163,5,11,86.25,HIGH,640,256,704,320,64,64,   4,1.00,1.00,0.5500
164,5,12,99.41,HIGH,704,256,768,320,64,64,  27,1.00,1.00,0.7667
165,5,13,99.22,HIGH,768,256,832,320,64,64,  28,1.00,1.00,0.7682
166,5,14,90.04,HIGH,832,256,896,320,64,64,  18,1.00,1.00,0.7042
167,5,15,31.40,MEDIUM,896,256,960,320,64,64,   1,1.00,0.20,0.0142
169,5,17,21.75,MEDIUM,1024,256,1088,320,64,64,   0,1.00,0.20,0.0000
170,5,18,28.27,MEDIUM,1088,256,1152,320,64,64,   2,1.00,0.20,0.0265
171,5,19,33.52,MEDIUM,1152,256,1216,320,64,64,   0,1.00,0.20,0.0049
172,5,20,32.23,MEDIUM,1216,256,1280,320,64,64,  10,1.00,0.20,0.1038
173,5,21,24.76,MEDIUM,1280,256,1344,320,64,64,  67,1.00,0.20,0.1406
199,6,9,90.84,HIGH,512,320,576,384,64,64,   0,1.00,1.00,0.1423
200,6,10,99.61,HIGH,576,320,640,384,64,64,   4,1.00,1.00,0.6077
201,6,11,99.66,HIGH,640,320,704,384,64,64,   3,1.00,1.00,0.5752
202,6,12,99.46,HIGH,704,320,768,384,64,64,   4,1.00,1.00,0.6007
203,6,13,83.69,HIGH,768,320,832,384,64,64,  16,1.00,1.00,0.6629
204,6,14,42.99,MEDIUM,832,320,896,384,64,64,   0,1.00,0.20,0.0120
210,6,20,31.40,MEDIUM,1216,320,1280,384,64,64,   0,1.00,0.20,0.0000
236,7,8,45.78,MEDIUM,448,384,512,448,64,64,   2,1.00,0.20,0.0718
237,7,9,99.44,HIGH,512,384,576,448,64,64,   1,1.00,1.00,0.3995
238,7,10,99.37,HIGH,576,384,640,448,64,64,   1,1.00,1.00,0.4587
239,7,11,98.80,HIGH,640,384,704,448,64,64,   5,1.00,1.00,0.6261
240,7,12,90.16,HIGH,704,384,768,448,64,64,   5,1.00,1.00,0.5951
241,7,13,49.54,MEDIUM,768,384,832,448,64,64,   4,1.00,0.20,0.1262
243,7,15,15.87,MEDIUM,896,384,960,448,64,64,   0,1.00,0.20,0.0000
247,7,19,16.26,MEDIUM,1152,384,1216,448,64,64,   0,1.00,0.20,0.0018
274,8,8,49.54,MEDIUM,448,448,512,512,64,64,   2,1.00,0.20,0.0689
275,8,9,99.27,HIGH,512,448,576,512,64,64,   3,1.00,1.00,0.5599
276,8,10,99.29,HIGH,576,448,640,512,64,64,   3,1.00,1.00,0.5861
277,8,11,90.26,HIGH,640,448,704,512,64,64,   4,1.00,1.00,0.5797
278,8,12,35.40,MEDIUM,704,448,768,512,64,64,   2,1.00,0.20,0.0467
282,8,16,19.75,MEDIUM,960,448,1024,512,64,64,   1,1.00,0.20,0.0070
283,8,17,24.39,MEDIUM,1024,448,1088,512,64,64,   0,1.00,0.20,0.0000
284,8,18,55.59,MEDIUM,1088,448,1152,512,64,64,   3,1.00,0.20,0.1310
285,8,19,64.23,MEDIUM,1152,448,1216,512,64,64,   5,1.00,0.20,0.2149
312,9,8,18.85,MEDIUM,448,512,512,576,64,64,   1,1.00,0.20,0.0048
313,9,9,99.68,HIGH,512,512,576,576,64,64,   3,1.00,1.00,0.5740
