Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2176x3552
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2176x3552
Scaled Tile Size: 64x64
Total Mask: 77.92%, Total Tissue: 22.08%
Tiles: 34x56 = 1904
   231 (12.13%) tiles >=80% tissue
   347 (18.22%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
61,2,27,37.13,MEDIUM,1664,64,1728,128,64,64,   9,1.00,0.20,0.1226
62,2,28,32.37,MEDIUM,1728,64,1792,128,64,64,   1,1.00,0.20,0.0186
93,3,25,68.73,MEDIUM,1536,128,1600,192,64,64,   4,1.00,0.20,0.2137
94,3,26,75.90,MEDIUM,1600,128,1664,192,64,64,   1,1.00,0.20,0.0870
95,3,27,80.27,HIGH,1664,128,1728,192,64,64,   2,1.00,1.00,0.4086
96,3,28,89.14,HIGH,1728,128,1792,192,64,64,   6,1.00,1.00,0.6014
97,3,29,38.92,MEDIUM,1792,128,1856,192,64,64,   3,1.00,0.20,0.0588
126,4,24,25.56,MEDIUM,1472,192,1536,256,64,64,  85,1.00,0.20,0.1590
127,4,25,54.49,MEDIUM,1536,192,1600,256,64,64,   2,1.00,0.20,0.0932
128,4,26,68.53,MEDIUM,1600,192,1664,256,64,64,  24,1.00,0.20,0.4503
129,4,27,88.13,HIGH,1664,192,1728,256,64,64,  48,1.00,1.00,0.7512
130,4,28,89.65,HIGH,1728,192,1792,256,64,64,  13,1.00,1.00,0.6767
131,4,29,83.15,HIGH,1792,192,1856,256,64,64,  33,1.00,1.00,0.7093
160,5,24,25.12,MEDIUM,1472,256,1536,320,64,64,  17,1.00,0.20,0.0845
161,5,25,62.77,MEDIUM,1536,256,1600,320,64,64,  60,1.00,0.20,0.5028
162,5,26,86.04,HIGH,1600,256,1664,320,64,64,   6,1.00,1.00,0.5900
163,5,27,93.51,HIGH,1664,256,1728,320,64,64,  20,1.00,1.00,0.7254
164,5,28,84.25,HIGH,1728,256,1792,320,64,64,  13,1.00,1.00,0.6496
165,5,29,79.05,MEDIUM,1792,256,1856,320,64,64,   4,1.00,0.20,0.2704
166,5,30,43.65,MEDIUM,1856,256,1920,320,64,64,   5,1.00,0.20,0.1229
194,6,24,55.18,MEDIUM,1472,320,1536,384,64,64,   7,1.00,0.20,0.2147
195,6,25,64.31,MEDIUM,1536,320,1600,384,64,64,   2,1.00,0.20,0.1178
196,6,26,70.53,MEDIUM,1600,320,1664,384,64,64,   1,1.00,0.20,0.0928
197,6,27,76.59,MEDIUM,1664,320,1728,384,64,64,   1,1.00,0.20,0.1163
198,6,28,72.68,MEDIUM,1728,320,1792,384,64,64,   7,1.00,0.20,0.3214
199,6,29,69.26,MEDIUM,1792,320,1856,384,64,64,   6,1.00,0.20,0.2758
200,6,30,64.84,MEDIUM,1856,320,1920,384,64,64,   5,1.00,0.20,0.2275
227,7,23,23.10,MEDIUM,1408,384,1472,448,64,64,  25,1.00,0.20,0.0872
228,7,24,64.50,MEDIUM,1472,384,1536,448,64,64,  12,1.00,0.20,0.3414
229,7,25,69.43,MEDIUM,1536,384,1600,448,64,64,   0,1.00,0.20,0.0072
230,7,26,68.60,MEDIUM,1600,384,1664,448,64,64,   0,1.00,0.20,0.0000
231,7,27,75.95,MEDIUM,1664,384,1728,448,64,64,   0,1.00,0.20,0.0000
232,7,28,75.00,MEDIUM,1728,384,1792,448,64,64,   0,1.00,0.20,0.0083
233,7,29,70.04,MEDIUM,1792,384,1856,448,64,64,   0,1.00,0.20,0.0368
234,7,30,67.82,MEDIUM,1856,384,1920,448,64,64,   6,1.00,0.20,0.2763
235,7,31,27.22,MEDIUM,1920,384,1984,448,64,64,   1,1.00,0.20,0.0072
