Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 6000x3240
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 6000x3240
Scaled Tile Size: 64x64
Total Mask: 84.51%, Total Tissue: 15.49%
Tiles: 94x51 = 4794
   265 ( 5.53%) tiles >=80% tissue
   931 (19.42%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
242,3,54,32.25,MEDIUM,3392,128,3456,192,64,64,  15,1.00,0.20,0.1253
309,4,27,14.92,MEDIUM,1664,192,1728,256,64,64, 106,1.00,0.20,0.0645
310,4,28,36.13,MEDIUM,1728,192,1792,256,64,64,  23,1.00,0.20,0.1834
311,4,29,21.14,MEDIUM,1792,192,1856,256,64,64,   9,1.00,0.20,0.0431
337,4,55,21.04,MEDIUM,3456,192,3520,256,64,64,  10,1.00,0.20,0.0463
431,5,55,16.28,MEDIUM,3456,256,3520,320,64,64,   6,1.00,0.20,0.0200
504,6,34,22.63,MEDIUM,2112,320,2176,384,64,64,  10,1.00,0.20,0.0523
584,7,20,20.78,MEDIUM,1216,384,1280,448,64,64,   0,1.00,0.20,0.0000
592,7,28,14.01,MEDIUM,1728,384,1792,448,64,64,  78,1.00,0.20,0.0524
598,7,34,29.27,MEDIUM,2112,384,2176,448,64,64,  12,1.00,0.20,0.0937
599,7,35,53.86,MEDIUM,2176,384,2240,448,64,64,  15,1.00,0.20,0.2877
601,7,37,24.95,MEDIUM,2304,384,2368,448,64,64, 170,1.00,0.20,0.1812
676,8,18,15.92,MEDIUM,1088,448,1152,512,64,64,   0,1.00,0.20,0.0000
677,8,19,21.26,MEDIUM,1152,448,1216,512,64,64,  42,1.00,0.20,0.0919
693,8,35,37.57,MEDIUM,2176,448,2240,512,64,64,  16,1.00,0.20,0.1697
695,8,37,19.92,MEDIUM,2304,448,2368,512,64,64,  56,1.00,0.20,0.0904
716,8,58,31.86,MEDIUM,3648,448,3712,512,64,64,  15,1.00,0.20,0.1227
770,9,18,21.92,MEDIUM,1088,512,1152,576,64,64,   6,1.00,0.20,0.0352
782,9,30,16.82,MEDIUM,1856,512,1920,576,64,64,  23,1.00,0.20,0.0466
789,9,37,56.05,MEDIUM,2304,512,2368,576,64,64,   1,1.00,0.20,0.0666
790,9,38,39.72,MEDIUM,2368,512,2432,576,64,64,   9,1.00,0.20,0.1379
810,9,58,22.22,MEDIUM,3648,512,3712,576,64,64,   8,1.00,0.20,0.0452
841,9,89,14.89,MEDIUM,5632,512,5696,576,64,64,   2,1.00,0.20,0.0073
876,10,30,14.11,MEDIUM,1856,576,1920,640,64,64,   3,1.00,0.20,0.0090
883,10,37,33.72,MEDIUM,2304,576,2368,640,64,64,  12,1.00,0.20,0.1220
902,10,56,19.87,MEDIUM,3520,576,3584,640,64,64,   2,1.00,0.20,0.0129
904,10,58,43.41,MEDIUM,3648,576,3712,640,64,64,   1,1.00,0.20,0.0251
952,11,12,15.53,MEDIUM,704,640,768,704,64,64,  22,1.00,0.20,0.0393
953,11,13,47.27,MEDIUM,768,640,832,704,64,64,   2,1.00,0.20,0.0640
954,11,14,28.15,MEDIUM,832,640,896,704,64,64,   0,1.00,0.20,0.0000
955,11,15,13.33,MEDIUM,896,640,960,704,64,64,   0,1.00,0.20,0.0005
966,11,26,52.29,MEDIUM,1600,640,1664,704,64,64,   0,1.00,0.20,0.0008
967,11,27,21.92,MEDIUM,1664,640,1728,704,64,64,   0,1.00,0.20,0.0008
968,11,28,37.01,MEDIUM,1728,640,1792,704,64,64,   5,1.00,0.20,0.0845
973,11,33,16.97,MEDIUM,2048,640,2112,704,64,64,   0,1.00,0.20,0.0007
974,11,34,31.67,MEDIUM,2112,640,2176,704,64,64,   0,1.00,0.20,0.0000
975,11,35,23.39,MEDIUM,2176,640,2240,704,64,64,   3,1.00,0.20,0.0260
976,11,36,39.60,MEDIUM,2240,640,2304,704,64,64,  20,1.00,0.20,0.2007
