Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 5552x12584
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 5552x12584
Scaled Tile Size: 64x64
Total Mask: 97.94%, Total Tissue: 2.06%
Tiles: 87x197 = 17139
    26 ( 0.15%) tiles >=80% tissue
   749 ( 4.37%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
2241,26,66,42.97,MEDIUM,4160,1600,4224,1664,64,64,24053,1.00,0.20,0.6102
2242,26,67,53.64,MEDIUM,4224,1600,4288,1664,64,64,9882,1.00,0.20,0.6859
2329,27,67,63.99,MEDIUM,4224,1664,4288,1728,64,64,20494,1.00,0.20,0.7730
2330,27,68,55.49,MEDIUM,4288,1664,4352,1728,64,64,13089,1.00,0.20,0.7079
2418,28,69,58.13,MEDIUM,4352,1728,4416,1792,64,64,9795,1.00,0.20,0.7192
2504,29,68,17.72,MEDIUM,4288,1792,4352,1856,64,64,56907,0.49,0.20,0.2132
2505,29,69,49.68,MEDIUM,4352,1792,4416,1856,64,64,35054,1.00,0.20,0.6861
2506,29,70,15.80,MEDIUM,4416,1792,4480,1856,64,64,1797,1.00,0.20,0.1281
2592,30,69,24.54,MEDIUM,4352,1856,4416,1920,64,64,26749,1.00,0.20,0.3407
2593,30,70,34.28,MEDIUM,4416,1856,4480,1920,64,64,9354,1.00,0.20,0.4696
2677,31,67,34.23,MEDIUM,4224,1920,4288,1984,64,64,1598,1.00,0.20,0.4034
2679,31,69,40.14,MEDIUM,4352,1920,4416,1984,64,64,31328,1.00,0.20,0.5848
2680,31,70,33.69,MEDIUM,4416,1920,4480,1984,64,64,8031,1.00,0.20,0.4559
2764,32,67,47.51,MEDIUM,4224,1984,4288,2048,64,64,4048,1.00,0.20,0.6019
2765,32,68,14.58,MEDIUM,4288,1984,4352,2048,64,64,2512,1.00,0.20,0.1167
2766,32,69,35.94,MEDIUM,4352,1984,4416,2048,64,64,8302,1.00,0.20,0.4892
2767,32,70,25.34,MEDIUM,4416,1984,4480,2048,64,64,14017,1.00,0.20,0.3377
2768,32,71,33.15,MEDIUM,4480,1984,4544,2048,64,64, 529,1.00,0.20,0.3393
2851,33,67,12.87,MEDIUM,4224,2048,4288,2112,64,64, 474,1.00,0.20,0.0702
2853,33,69,35.16,MEDIUM,4352,2048,4416,2112,64,64,3076,1.00,0.20,0.4426
2854,33,70,47.66,MEDIUM,4416,2048,4480,2112,64,64,13410,1.00,0.20,0.6420
2936,34,65,13.53,MEDIUM,4096,2112,4160,2176,64,64,1004,1.00,0.20,0.0885
2940,34,69,46.12,MEDIUM,4352,2112,4416,2176,64,64,6280,1.00,0.20,0.6028
2941,34,70,64.28,MEDIUM,4416,2112,4480,2176,64,64,18665,1.00,0.20,0.7727
3027,35,69,59.01,MEDIUM,4352,2176,4416,2240,64,64,14361,1.00,0.20,0.7349
3028,35,70,58.45,MEDIUM,4416,2176,4480,2240,64,64,6453,1.00,0.20,0.7099
3029,35,71,14.48,MEDIUM,4480,2176,4544,2240,64,64, 325,1.00,0.20,0.0807
3113,36,68,45.00,MEDIUM,4288,2240,4352,2304,64,64,10588,1.00,0.20,0.6079
3114,36,69,79.49,MEDIUM,4352,2240,4416,2304,64,64,18600,1.00,0.20,0.8386
3115,36,70,15.58,MEDIUM,4416,2240,4480,2304,64,64,1158,1.00,0.20,0.1168
3199,37,67,61.91,MEDIUM,4224,2304,4288,2368,64,64,20060,1.00,0.20,0.7608
3200,37,68,74.27,MEDIUM,4288,2304,4352,2368,64,64,11724,1.00,0.20,0.8106
3201,37,69,24.78,MEDIUM,4352,2304,4416,2368,64,64,1198,1.00,0.20,0.2519
3286,38,67,24.00,MEDIUM,4224,2368,4288,2432,64,64,4356,1.00,0.20,0.2806
3326,39,20,30.71,MEDIUM,1216,2432,1280,2496,64,64,21566,1.00,0.20,0.4412
3327,39,21,42.65,MEDIUM,1280,2432,1344,2496,64,64,5996,1.00,0.20,0.5633
3328,39,22,45.70,MEDIUM,1344,2432,1408,2496,64,64,2902,1.00,0.20,0.5707
3329,39,23,21.63,MEDIUM,1408,2432,1472,2496,64,64,2539,1.00,0.20,0.2258
3416,40,23,44.65,MEDIUM,1408,2496,1472,2560,64,64,29723,1.00,0.20,0.6341
3417,40,24,38.31,MEDIUM,1472,2496,1536,2560,64,64,3072,1.00,0.20,0.4852
3503,41,23,16.02,MEDIUM,1408,2560,1472,2624,64,64,46389,1.00,0.20,0.1898
3504,41,24,52.66,MEDIUM,1472,2560,1536,2624,64,64,38049,1.00,0.20,0.7125
3505,41,25,33.69,MEDIUM,1536,2560,1600,2624,64,64,3392,1.00,0.20,0.4254
3591,42,24,24.17,MEDIUM,1472,2624,1536,2688,64,64,55169,1.00,0.20,0.3523
3592,42,25,56.86,MEDIUM,1536,2624,1600,2688,64,64,14835,1.00,0.20,0.7211
3593,42,26,23.02,MEDIUM,1600,2624,1664,2688,64,64,7723,1.00,0.20,0.2802
3678,43,24,18.82,MEDIUM,1472,2688,1536,2752,64,64,13033,1.00,0.20,0.2180
3679,43,25,23.88,MEDIUM,1536,2688,1600,2752,64,64,24889,1.00,0.20,0.3267
3680,43,26,63.55,MEDIUM,1600,2688,1664,2752,64,64,11677,1.00,0.20,0.7580
3716,43,62,34.42,MEDIUM,3904,2688,3968,2752,64,64,26042,1.00,0.20,0.5035
3717,43,63,27.27,MEDIUM,3968,2688,4032,2752,64,64,9368,1.00,0.20,0.3592
3766,44,25,44.97,MEDIUM,1536,2752,1600,2816,64,64,11739,1.00,0.20,0.6108
3767,44,26,62.52,MEDIUM,1600,2752,1664,2816,64,64,42017,1.00,0.20,0.7794
3768,44,27,48.36,MEDIUM,1664,2752,1728,2816,64,64,2715,1.00,0.20,0.5957
3803,44,62,36.25,MEDIUM,3904,2752,3968,2816,64,64,27989,1.00,0.20,0.5315
3804,44,63,84.84,HIGH,3968,2752,4032,2816,64,64,24823,1.00,1.00,0.8793
3805,44,64,36.21,MEDIUM,4032,2752,4096,2816,64,64,11487,1.00,0.20,0.5036
3853,45,25,31.45,MEDIUM,1536,2816,1600,2880,64,64,3952,1.00,0.20,0.3976
3854,45,26,92.19,HIGH,1600,2816,1664,2880,64,64,15511,1.00,1.00,0.8913
3855,45,27,65.41,MEDIUM,1664,2816,1728,2880,64,64,11595,1.00,0.20,0.7683
