Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2688x3168
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2688x3168
Scaled Tile Size: 64x64
Total Mask: 70.65%, Total Tissue: 29.35%
Tiles: 42x50 = 2100
   433 (20.62%) tiles >=80% tissue
   384 (18.29%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
58,2,16,66.89,MEDIUM,960,64,1024,128,64,64,  88,1.00,0.20,0.5669
59,2,17,57.62,MEDIUM,1024,64,1088,128,64,64,  11,1.00,0.20,0.2786
60,2,18,48.51,MEDIUM,1088,64,1152,128,64,64,  25,1.00,0.20,0.2954
99,3,15,49.12,MEDIUM,896,128,960,192,64,64,  18,1.00,0.20,0.2668
100,3,16,87.89,HIGH,960,128,1024,192,64,64,   2,1.00,1.00,0.4521
101,3,17,90.53,HIGH,1024,128,1088,192,64,64,   2,1.00,1.00,0.4946
102,3,18,89.92,HIGH,1088,128,1152,192,64,64,   0,1.00,1.00,0.1851
103,3,19,94.17,HIGH,1152,128,1216,192,64,64,  18,1.00,1.00,0.7233
104,3,20,60.52,MEDIUM,1216,128,1280,192,64,64,  96,1.00,0.20,0.5244
141,4,15,70.02,MEDIUM,896,192,960,256,64,64,  33,1.00,0.20,0.4985
142,4,16,89.79,HIGH,960,192,1024,256,64,64,  23,1.00,1.00,0.7187
143,4,17,70.43,MEDIUM,1024,192,1088,256,64,64,   3,1.00,0.20,0.1857
144,4,18,79.71,MEDIUM,1088,192,1152,256,64,64,   4,1.00,0.20,0.2788
145,4,19,89.26,HIGH,1152,192,1216,256,64,64,   3,1.00,1.00,0.5060
146,4,20,98.17,HIGH,1216,192,1280,256,64,64,  53,1.00,1.00,0.7933
147,4,21,96.70,HIGH,1280,192,1344,256,64,64,  45,1.00,1.00,0.7820
148,4,22,21.34,MEDIUM,1344,192,1408,256,64,64,  46,1.00,0.20,0.0959
183,5,15,35.52,MEDIUM,896,256,960,320,64,64,  22,1.00,0.20,0.1756
184,5,16,58.15,MEDIUM,960,256,1024,320,64,64,  83,1.00,0.20,0.4928
185,5,17,33.18,MEDIUM,1024,256,1088,320,64,64,   6,1.00,0.20,0.0817
186,5,18,63.11,MEDIUM,1088,256,1152,320,64,64,  20,1.00,0.20,0.3912
187,5,19,40.38,MEDIUM,1152,256,1216,320,64,64,   2,1.00,0.20,0.0592
188,5,20,78.08,MEDIUM,1216,256,1280,320,64,64,   4,1.00,0.20,0.2576
189,5,21,95.26,HIGH,1280,256,1344,320,64,64,  33,1.00,1.00,0.7625
190,5,22,52.54,MEDIUM,1344,256,1408,320,64,64,  40,1.00,0.20,0.3770
227,6,17,55.86,MEDIUM,1024,320,1088,384,64,64, 284,1.00,0.20,0.5587
228,6,18,67.50,MEDIUM,1088,320,1152,384,64,64,  96,1.00,0.20,0.5780
229,6,19,76.98,MEDIUM,1152,320,1216,384,64,64,  29,1.00,0.20,0.5304
230,6,20,95.80,HIGH,1216,320,1280,384,64,64,  12,1.00,1.00,0.7012
231,6,21,88.94,HIGH,1280,320,1344,384,64,64,  24,1.00,1.00,0.7189
232,6,22,87.50,HIGH,1344,320,1408,384,64,64,   7,1.00,1.00,0.6144
233,6,23,68.29,MEDIUM,1408,320,1472,384,64,64,  38,1.00,0.20,0.5020
270,7,18,24.78,MEDIUM,1088,384,1152,448,64,64, 213,1.00,0.20,0.1882
271,7,19,74.88,MEDIUM,1152,384,1216,448,64,64,  21,1.00,0.20,0.4800
272,7,20,88.60,HIGH,1216,384,1280,448,64,64,   5,1.00,1.00,0.5848
273,7,21,92.60,HIGH,1280,384,1344,448,64,64,   3,1.00,1.00,0.5326
274,7,22,88.50,HIGH,1344,384,1408,448,64,64,   5,1.00,1.00,0.5850
275,7,23,98.68,HIGH,1408,384,1472,448,64,64,  20,1.00,1.00,0.7479
307,8,13,49.10,MEDIUM,768,448,832,512,64,64,  64,1.00,0.20,0.3871
308,8,14,79.61,MEDIUM,832,448,896,512,64,64,  59,1.00,0.20,0.6175
309,8,15,95.46,HIGH,896,448,960,512,64,64,  69,1.00,1.00,0.7947
312,8,18,24.61,MEDIUM,1088,448,1152,512,64,64,1294,1.00,0.20,0.2519
313,8,19,49.80,MEDIUM,1152,448,1216,512,64,64,  20,1.00,0.20,0.2845
314,8,20,82.40,HIGH,1216,448,1280,512,64,64,   4,1.00,1.00,0.5086
315,8,21,89.92,HIGH,1280,448,1344,512,64,64,  88,1.00,1.00,0.7838
316,8,22,97.41,HIGH,1344,448,1408,512,64,64,  51,1.00,1.00,0.7894
317,8,23,97.00,HIGH,1408,448,1472,512,64,64,  23,1.00,1.00,0.7504
322,8,28,62.70,MEDIUM,1728,448,1792,512,64,64,  15,1.00,0.20,0.3544
348,9,12,27.54,MEDIUM,704,512,768,576,64,64,  57,1.00,0.20,0.1607
349,9,13,55.62,MEDIUM,768,512,832,576,64,64,  48,1.00,0.20,0.4217
350,9,14,88.33,HIGH,832,512,896,576,64,64,   6,1.00,1.00,0.6013
351,9,15,89.65,HIGH,896,512,960,576,64,64,  15,1.00,1.00,0.6909
352,9,16,60.67,MEDIUM,960,512,1024,576,64,64,  58,1.00,0.20,0.4829
354,9,18,29.93,MEDIUM,1088,512,1152,576,64,64,60189,1.00,0.20,0.4570
355,9,19,78.64,MEDIUM,1152,512,1216,576,64,64,   0,1.00,0.20,0.0000
356,9,20,81.88,HIGH,1216,512,1280,576,64,64,  27,1.00,1.00,0.6904
357,9,21,91.77,HIGH,1280,512,1344,576,64,64,   2,1.00,1.00,0.4802
358,9,22,99.15,HIGH,1344,512,1408,576,64,64,   4,0.49,1.00,0.4973
359,9,23,70.48,MEDIUM,1408,512,1472,576,64,64,  30,1.00,0.20,0.4901
363,9,27,29.74,MEDIUM,1664,512,1728,576,64,64,   1,1.00,0.20,0.0157
364,9,28,95.95,HIGH,1728,512,1792,576,64,64,   2,1.00,1.00,0.5176
365,9,29,49.63,MEDIUM,1792,512,1856,576,64,64,   7,1.00,0.20,0.1765
366,9,30,34.16,MEDIUM,1856,512,1920,576,64,64,  50,1.00,0.20,0.2184
367,9,31,71.83,MEDIUM,1920,512,1984,576,64,64,  55,1.00,0.20,0.5624
368,9,32,93.90,HIGH,1984,512,2048,576,64,64,  58,1.00,1.00,0.7824
369,9,33,89.16,HIGH,2048,512,2112,576,64,64, 122,1.00,1.00,0.7927
370,9,34,48.97,MEDIUM,2112,512,2176,576,64,64, 175,1.00,0.20,0.4622
390,10,12,18.07,MEDIUM,704,576,768,640,64,64,  54,1.00,0.20,0.0745
391,10,13,55.35,MEDIUM,768,576,832,640,64,64, 175,1.00,0.20,0.5234
392,10,14,65.41,MEDIUM,832,576,896,640,64,64,  13,1.00,0.20,0.3496
393,10,15,82.01,HIGH,896,576,960,640,64,64,  20,1.00,1.00,0.6717
394,10,16,67.99,MEDIUM,960,576,1024,640,64,64,  13,1.00,0.20,0.3740
395,10,17,43.51,MEDIUM,1024,576,1088,640,64,64, 125,1.00,0.20,0.3817
397,10,19,38.50,MEDIUM,1152,576,1216,640,64,64,   4,1.00,0.20,0.0790
398,10,20,69.51,MEDIUM,1216,576,1280,640,64,64,  21,1.00,0.20,0.4441
399,10,21,93.38,HIGH,1280,576,1344,640,64,64,   3,1.00,1.00,0.5643
400,10,22,94.31,HIGH,1344,576,1408,640,64,64,   8,1.00,1.00,0.6619
405,10,27,60.64,MEDIUM,1664,576,1728,640,64,64,   3,1.00,0.20,0.1396
406,10,28,83.01,HIGH,1728,576,1792,640,64,64,   0,1.00,1.00,0.0451
407,10,29,97.95,HIGH,1792,576,1856,640,64,64,   2,1.00,1.00,0.5289
408,10,30,98.05,HIGH,1856,576,1920,640,64,64,  26,1.00,1.00,0.7592
409,10,31,90.55,HIGH,1920,576,1984,640,64,64,   9,1.00,1.00,0.6524
410,10,32,88.18,HIGH,1984,576,2048,640,64,64,   3,1.00,1.00,0.4989
411,10,33,85.23,HIGH,2048,576,2112,640,64,64,  46,1.00,1.00,0.7370
412,10,34,96.41,HIGH,2112,576,2176,640,64,64,   8,0.49,1.00,0.5941
413,10,35,31.15,MEDIUM,2176,576,2240,640,64,64, 140,1.00,0.20,0.2465
433,11,13,30.98,MEDIUM,768,640,832,704,64,64,  46,1.00,0.20,0.1820
434,11,14,35.72,MEDIUM,832,640,896,704,64,64, 952,1.00,0.20,0.4013
435,11,15,85.99,HIGH,896,640,960,704,64,64,   0,1.00,1.00,0.1114
436,11,16,86.40,HIGH,960,640,1024,704,64,64, 143,1.00,1.00,0.7877
437,11,17,95.36,HIGH,1024,640,1088,704,64,64, 192,1.00,1.00,0.8271
438,11,18,27.64,MEDIUM,1088,640,1152,704,64,64, 199,1.00,0.20,0.2207
